index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,10,1000,5,158.978,123205184,1000,1|10,0.00647658,391650,0.0558
cspg,2,10,1000,5,158.978,123205184,1000,1|20,0.0115629,758053,0.1406
cspg,2,10,1000,5,158.978,123205184,1000,1|30,0.0165987,1001424,0.1556
cspg,2,10,1000,5,158.978,123205184,1000,1|40,0.019439,1232815,0.1639
cspg,2,10,1000,5,158.978,123205184,1000,1|50,0.0237539,1528881,0.17
cspg,2,10,1000,5,158.978,123205184,1000,1|60,0.0277514,1743751,0.176
cspg,2,10,1000,5,158.978,123205184,1000,1|70,0.0330852,2010212,0.1783
cspg,2,10,1000,5,158.978,123205184,1000,1|80,0.0362177,2238551,0.1807
cspg,2,10,1000,5,158.978,123205184,1000,1|90,0.0409681,2560051,0.1828
cspg,2,10,1000,5,158.978,123205184,1000,1|100,0.0433249,2784154,0.1848
cspg,2,10,1000,5,158.978,123205184,1000,1|110,0.0474805,2960075,0.1856
cspg,2,10,1000,5,158.978,123205184,1000,1|120,0.0573242,3159443,0.1867
cspg,2,10,1000,5,158.978,123205184,1000,1|130,0.0583245,3361790,0.1875
cspg,2,10,1000,5,158.978,123205184,1000,1|140,0.0611489,3572343,0.1879
cspg,2,10,1000,5,158.978,123205184,1000,1|150,0.0658244,3761765,0.1885
cspg,2,10,1000,5,158.978,123205184,1000,1|160,0.0722343,3968051,0.1888
cspg,2,10,1000,5,158.978,123205184,1000,1|170,0.0736652,4185988,0.1894
cspg,2,10,1000,5,158.978,123205184,1000,1|180,0.0791444,4377244,0.1899
cspg,2,10,1000,5,158.978,123205184,1000,1|190,0.0839005,4579198,0.1904
cspg,2,10,1000,5,158.978,123205184,1000,1|200,0.0868942,4801599,0.1908
cspg,2,10,1000,5,158.978,123205184,1000,1|210,0.0907051,5059013,0.1918
cspg,2,10,1000,5,158.978,123205184,1000,1|220,0.0990185,5303459,0.1926
cspg,2,10,1000,5,158.978,123205184,1000,1|230,0.10121,5535103,0.1932
cspg,2,10,1000,5,158.978,123205184,1000,1|240,0.110235,5728837,0.1954
cspg,2,10,1000,5,158.978,123205184,1000,1|250,0.111435,5953944,0.1977
cspg,2,10,1000,5,158.978,123205184,1000,1|260,0.118015,6201416,0.201
cspg,2,10,1000,5,158.978,123205184,1000,1|270,0.126121,6486299,0.2089
cspg,2,10,1000,5,158.978,123205184,1000,1|280,0.133264,6783720,0.2213
cspg,2,10,1000,5,158.978,123205184,1000,1|290,0.137228,7051788,0.2274
cspg,2,10,1000,5,158.978,123205184,1000,1|300,0.15047,7323204,0.2334
