index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,32,1.2,128,170.311,144000000,1000,10,0.00499497,312109,0.019
vamana,1,32,1.2,128,170.311,144000000,1000,20,0.0105346,623220,0.0893
vamana,1,32,1.2,128,170.311,144000000,1000,30,0.0152762,932545,0.1394
vamana,1,32,1.2,128,170.311,144000000,1000,40,0.0221456,1241163,0.1998
vamana,1,32,1.2,128,170.311,144000000,1000,50,0.0287747,1548937,0.2799
vamana,1,32,1.2,128,170.311,144000000,1000,60,0.0361279,1856184,0.374
vamana,1,32,1.2,128,170.311,144000000,1000,70,0.0427857,2163313,0.4062
vamana,1,32,1.2,128,170.311,144000000,1000,80,0.0505828,2469173,0.4587
vamana,1,32,1.2,128,170.311,144000000,1000,90,0.0594248,2773574,0.499
vamana,1,32,1.2,128,170.311,144000000,1000,100,0.0665768,3078895,0.5141
vamana,1,32,1.2,128,170.311,144000000,1000,110,0.0768092,3381660,0.5485
vamana,1,32,1.2,128,170.311,144000000,1000,120,0.0879049,3684874,0.5729
vamana,1,32,1.2,128,170.311,144000000,1000,130,0.094088,3988046,0.5852
vamana,1,32,1.2,128,170.311,144000000,1000,140,0.102468,4288577,0.6236
vamana,1,32,1.2,128,170.311,144000000,1000,150,0.115785,4589494,0.6472
vamana,1,32,1.2,128,170.311,144000000,1000,160,0.128332,4892865,0.6517
vamana,1,32,1.2,128,170.311,144000000,1000,170,0.13653,5193986,0.6675
vamana,1,32,1.2,128,170.311,144000000,1000,180,0.147502,5491711,0.687
vamana,1,32,1.2,128,170.311,144000000,1000,190,0.161443,5792004,0.6937
vamana,1,32,1.2,128,170.311,144000000,1000,200,0.175114,6092859,0.7063
vamana,1,32,1.2,128,170.311,144000000,1000,210,0.179886,6389975,0.7162
vamana,1,32,1.2,128,170.311,144000000,1000,220,0.193204,6687418,0.7276
vamana,1,32,1.2,128,170.311,144000000,1000,230,0.210896,6987322,0.7236
vamana,1,32,1.2,128,170.311,144000000,1000,240,0.212433,7285252,0.7385
vamana,1,32,1.2,128,170.311,144000000,1000,250,0.235738,7582552,0.7427
vamana,1,32,1.2,128,170.311,144000000,1000,260,0.240742,7879940,0.7361
vamana,1,32,1.2,128,170.311,144000000,1000,270,0.249918,8178151,0.7483
vamana,1,32,1.2,128,170.311,144000000,1000,280,0.277521,8474664,0.7413
vamana,1,32,1.2,128,170.311,144000000,1000,290,0.289191,8770390,0.7589
vamana,1,32,1.2,128,170.311,144000000,1000,300,0.295599,9065999,0.7541
