index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,1.2,128,244.561,216000000,1000,1|10,0.0049199,459290,0.1025
cspg,2,32,1.2,128,244.561,216000000,1000,1|20,0.016785,1102445,0.2869
cspg,2,32,1.2,128,244.561,216000000,1000,1|30,0.0249674,1548581,0.4328
cspg,2,32,1.2,128,244.561,216000000,1000,1|40,0.0337343,1920777,0.5429
cspg,2,32,1.2,128,244.561,216000000,1000,1|50,0.044095,2334409,0.6716
cspg,2,32,1.2,128,244.561,216000000,1000,1|60,0.0490092,2592501,0.6941
cspg,2,32,1.2,128,244.561,216000000,1000,1|70,0.0572947,2827979,0.7182
cspg,2,32,1.2,128,244.561,216000000,1000,1|80,0.0623386,3036573,0.7359
cspg,2,32,1.2,128,244.561,216000000,1000,1|90,0.0637173,3252574,0.7507
cspg,2,32,1.2,128,244.561,216000000,1000,1|100,0.0732246,3469696,0.7656
cspg,2,32,1.2,128,244.561,216000000,1000,1|110,0.0766451,3747925,0.7995
cspg,2,32,1.2,128,244.561,216000000,1000,1|120,0.0888052,4071121,0.8422
cspg,2,32,1.2,128,244.561,216000000,1000,1|130,0.0955969,4380870,0.8768
cspg,2,32,1.2,128,244.561,216000000,1000,1|140,0.105534,4626456,0.8962
cspg,2,32,1.2,128,244.561,216000000,1000,1|150,0.11593,4880298,0.9184
cspg,2,32,1.2,128,244.561,216000000,1000,1|160,0.113725,5113849,0.9359
cspg,2,32,1.2,128,244.561,216000000,1000,1|170,0.126532,5347127,0.9523
cspg,2,32,1.2,128,244.561,216000000,1000,1|180,0.125908,5558260,0.9615
cspg,2,32,1.2,128,244.561,216000000,1000,1|190,0.131122,5739246,0.9663
cspg,2,32,1.2,128,244.561,216000000,1000,1|200,0.140949,5917117,0.9677
