num_queries,nlist,nprobe,query_time,recall
1000,1204,10,1.15907083,0.6862
1000,1204,20,2.1880874020000003,0.8203
1000,1204,30,2.993070769,0.8875
1000,1204,40,4.241837041,0.9239
1000,1204,50,4.9049169720000005,0.9461
1000,1204,60,5.583919281,0.9603
1000,1204,70,6.365343911,0.9691
1000,1204,80,7.168963497,0.9769
1000,1204,90,7.862064343,0.9815
1000,1204,100,8.571070977,0.9862
1000,1204,110,9.944888558,0.9881
1000,1204,120,10.783939218,0.9897
1000,1204,130,11.148695449,0.9924
1000,1204,140,11.972785723000001,0.9938
1000,1204,150,14.333090646,0.9953
1000,1204,160,15.132426287000001,0.9961
1000,1204,170,17.088843271000002,0.9964
1000,1204,180,17.493074508,0.9969
1000,1204,190,19.230919038,0.9974
1000,1204,200,22.251000242,0.998
