index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng,1,10,1000,5,103.867,86664320,1000,10,0.00561374,312447,0.011
hcnng,1,10,1000,5,103.867,86664320,1000,20,0.00975643,633929,0.0339
hcnng,1,10,1000,5,103.867,86664320,1000,30,0.0151007,947535,0.0559
hcnng,1,10,1000,5,103.867,86664320,1000,40,0.0202114,1266540,0.0748
hcnng,1,10,1000,5,103.867,86664320,1000,50,0.024221,1579385,0.1012
hcnng,1,10,1000,5,103.867,86664320,1000,60,0.0300079,1894649,0.1104
hcnng,1,10,1000,5,103.867,86664320,1000,70,0.0365572,2214087,0.1271
hcnng,1,10,1000,5,103.867,86664320,1000,80,0.0415226,2525727,0.1478
hcnng,1,10,1000,5,103.867,86664320,1000,90,0.0477234,2853515,0.1623
hcnng,1,10,1000,5,103.867,86664320,1000,100,0.0546745,3162039,0.1748
hcnng,1,10,1000,5,103.867,86664320,1000,110,0.0598907,3479431,0.189
hcnng,1,10,1000,5,103.867,86664320,1000,120,0.0658769,3799917,0.2011
hcnng,1,10,1000,5,103.867,86664320,1000,130,0.0720913,4109715,0.2123
hcnng,1,10,1000,5,103.867,86664320,1000,140,0.0793514,4431932,0.2259
hcnng,1,10,1000,5,103.867,86664320,1000,150,0.0855664,4755918,0.2327
hcnng,1,10,1000,5,103.867,86664320,1000,160,0.0926916,5061813,0.2509
hcnng,1,10,1000,5,103.867,86664320,1000,170,0.100795,5384291,0.2564
hcnng,1,10,1000,5,103.867,86664320,1000,180,0.10687,5709752,0.2619
hcnng,1,10,1000,5,103.867,86664320,1000,190,0.114853,6023787,0.2743
hcnng,1,10,1000,5,103.867,86664320,1000,200,0.125078,6341547,0.2823
hcnng,1,10,1000,5,103.867,86664320,1000,210,0.131298,6663247,0.2892
hcnng,1,10,1000,5,103.867,86664320,1000,220,0.140296,6974074,0.2965
hcnng,1,10,1000,5,103.867,86664320,1000,230,0.150276,7301662,0.3095
hcnng,1,10,1000,5,103.867,86664320,1000,240,0.159155,7616558,0.3115
hcnng,1,10,1000,5,103.867,86664320,1000,250,0.168856,7932484,0.3191
hcnng,1,10,1000,5,103.867,86664320,1000,260,0.175171,8251293,0.3324
hcnng,1,10,1000,5,103.867,86664320,1000,270,0.187065,8574913,0.3365
hcnng,1,10,1000,5,103.867,86664320,1000,280,0.1975,8892639,0.3416
hcnng,1,10,1000,5,103.867,86664320,1000,290,0.209073,9214357,0.3551
hcnng,1,10,1000,5,103.867,86664320,1000,300,0.220368,9532501,0.3606
