index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,10,1000,5,153.408,129615400,1000,1|10,0.0189225,691651,0.1349
cspg,2,10,1000,5,153.408,129615400,1000,1|20,0.0312085,1155665,0.2308
cspg,2,10,1000,5,153.408,129615400,1000,1|30,0.0436788,1568564,0.2969
cspg,2,10,1000,5,153.408,129615400,1000,1|40,0.0540248,1981351,0.3553
cspg,2,10,1000,5,153.408,129615400,1000,1|50,0.0666915,2351436,0.4004
cspg,2,10,1000,5,153.408,129615400,1000,1|60,0.0724287,2710740,0.4439
cspg,2,10,1000,5,153.408,129615400,1000,1|70,0.0829965,3057268,0.4812
cspg,2,10,1000,5,153.408,129615400,1000,1|80,0.094989,3410607,0.5129
cspg,2,10,1000,5,153.408,129615400,1000,1|90,0.105718,3733882,0.5372
cspg,2,10,1000,5,153.408,129615400,1000,1|100,0.105107,4032328,0.5564
cspg,2,10,1000,5,153.408,129615400,1000,1|110,0.117945,4353341,0.5746
cspg,2,10,1000,5,153.408,129615400,1000,1|120,0.1298,4667338,0.5914
cspg,2,10,1000,5,153.408,129615400,1000,1|130,0.131781,4972779,0.6063
cspg,2,10,1000,5,153.408,129615400,1000,1|140,0.13738,5275315,0.6185
cspg,2,10,1000,5,153.408,129615400,1000,1|150,0.146226,5593681,0.6344
cspg,2,10,1000,5,153.408,129615400,1000,1|160,0.155929,5902415,0.6469
cspg,2,10,1000,5,153.408,129615400,1000,1|170,0.158773,6207577,0.6588
cspg,2,10,1000,5,153.408,129615400,1000,1|180,0.168179,6521144,0.6705
cspg,2,10,1000,5,153.408,129615400,1000,1|190,0.181714,6809741,0.679
cspg,2,10,1000,5,153.408,129615400,1000,1|200,0.184414,7120176,0.6894
cspg,2,10,1000,5,153.408,129615400,1000,1|210,0.192992,7438105,0.6985
cspg,2,10,1000,5,153.408,129615400,1000,1|220,0.197834,7740112,0.7055
cspg,2,10,1000,5,153.408,129615400,1000,1|230,0.219109,8057699,0.714
cspg,2,10,1000,5,153.408,129615400,1000,1|240,0.210474,8356712,0.7226
cspg,2,10,1000,5,153.408,129615400,1000,1|250,0.205076,8666832,0.7318
cspg,2,10,1000,5,153.408,129615400,1000,1|260,0.225378,8962489,0.7393
cspg,2,10,1000,5,153.408,129615400,1000,1|270,0.245862,9280605,0.7482
cspg,2,10,1000,5,153.408,129615400,1000,1|280,0.234136,9591960,0.7548
cspg,2,10,1000,5,153.408,129615400,1000,1|290,0.24901,9883890,0.7593
cspg,2,10,1000,5,153.408,129615400,1000,1|300,0.253056,10200230,0.7683
