index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,32,128,127.117,280376344,1000,10,0.0148752,1048521,0.3293
hnsw,1,32,128,127.117,280376344,1000,20,0.0260487,1732605,0.4163
hnsw,1,32,128,127.117,280376344,1000,30,0.0348668,2333113,0.4626
hnsw,1,32,128,127.117,280376344,1000,40,0.0437536,2891252,0.4945
hnsw,1,32,128,127.117,280376344,1000,50,0.0504787,3428238,0.5185
hnsw,1,32,128,127.117,280376344,1000,60,0.0587692,3971003,0.5418
hnsw,1,32,128,127.117,280376344,1000,70,0.0666185,4482155,0.5601
hnsw,1,32,128,127.117,280376344,1000,80,0.0733053,4996676,0.5773
hnsw,1,32,128,127.117,280376344,1000,90,0.0809418,5490043,0.5924
hnsw,1,32,128,127.117,280376344,1000,100,0.0879258,6002614,0.6082
hnsw,1,32,128,127.117,280376344,1000,110,0.0949328,6489327,0.6187
hnsw,1,32,128,127.117,280376344,1000,120,0.103974,6993290,0.6329
hnsw,1,32,128,127.117,280376344,1000,130,0.110874,7478939,0.6414
hnsw,1,32,128,127.117,280376344,1000,140,0.118276,7963217,0.6517
hnsw,1,32,128,127.117,280376344,1000,150,0.125606,8460020,0.6625
hnsw,1,32,128,127.117,280376344,1000,160,0.134376,8962584,0.6721
hnsw,1,32,128,127.117,280376344,1000,170,0.139421,9460021,0.6815
hnsw,1,32,128,127.117,280376344,1000,180,0.147055,9954984,0.691
hnsw,1,32,128,127.117,280376344,1000,190,0.152709,10439747,0.6989
hnsw,1,32,128,127.117,280376344,1000,200,0.159491,10927517,0.7072
hnsw,1,32,128,127.117,280376344,1000,210,0.167575,11415343,0.7135
hnsw,1,32,128,127.117,280376344,1000,220,0.174413,11896617,0.7189
hnsw,1,32,128,127.117,280376344,1000,230,0.178823,12379890,0.7266
hnsw,1,32,128,127.117,280376344,1000,240,0.187301,12869833,0.7335
hnsw,1,32,128,127.117,280376344,1000,250,0.196861,13362148,0.7412
hnsw,1,32,128,127.117,280376344,1000,260,0.200839,13842579,0.7488
hnsw,1,32,128,127.117,280376344,1000,270,0.209883,14320760,0.7539
hnsw,1,32,128,127.117,280376344,1000,280,0.220515,14799400,0.7596
hnsw,1,32,128,127.117,280376344,1000,290,0.227121,15301942,0.7661
hnsw,1,32,128,127.117,280376344,1000,300,0.230169,15778355,0.7701
