num_queries,nlist,nprobe,query_time,recall
1000,1204,10,0.087582424,0.2208
1000,1204,20,0.15607576,0.2887
1000,1204,30,0.223297342,0.3439
1000,1204,40,0.28561369600000003,0.3861
1000,1204,50,0.350114816,0.4256
1000,1204,60,0.42516267100000005,0.4606
1000,1204,70,0.46538599300000005,0.4894
1000,1204,80,0.509958176,0.5152
1000,1204,90,0.559335054,0.5369
1000,1204,100,0.6198762560000001,0.5614
1000,1204,110,0.672020758,0.5817
1000,1204,120,0.745590135,0.6013
1000,1204,130,0.816652724,0.6213
1000,1204,140,0.874244078,0.639
1000,1204,150,0.9132879250000001,0.6551
1000,1204,160,0.9540790090000001,0.6717
1000,1204,170,0.9766114650000001,0.6864
1000,1204,180,1.074250038,0.699
1000,1204,190,1.148484812,0.7129
1000,1204,200,1.2031806040000002,0.7264
