index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,32,128,103.026,144000000,1000,10,0.00807678,311914,0.0458
nsg,1,32,128,103.026,144000000,1000,20,0.0176008,620124,0.1242
nsg,1,32,128,103.026,144000000,1000,30,0.0260292,927352,0.1818
nsg,1,32,128,103.026,144000000,1000,40,0.035677,1234706,0.2165
nsg,1,32,128,103.026,144000000,1000,50,0.0442042,1540431,0.2457
nsg,1,32,128,103.026,144000000,1000,60,0.0526593,1846714,0.2737
nsg,1,32,128,103.026,144000000,1000,70,0.0635772,2152180,0.2915
nsg,1,32,128,103.026,144000000,1000,80,0.0712332,2457196,0.3171
nsg,1,32,128,103.026,144000000,1000,90,0.0816145,2762787,0.3353
nsg,1,32,128,103.026,144000000,1000,100,0.0896368,3067953,0.3503
nsg,1,32,128,103.026,144000000,1000,110,0.102514,3373243,0.3585
nsg,1,32,128,103.026,144000000,1000,120,0.113492,3678895,0.372
nsg,1,32,128,103.026,144000000,1000,130,0.124724,3984004,0.3827
nsg,1,32,128,103.026,144000000,1000,140,0.136498,4289142,0.3915
nsg,1,32,128,103.026,144000000,1000,150,0.147743,4593912,0.4021
nsg,1,32,128,103.026,144000000,1000,160,0.160704,4898485,0.41
nsg,1,32,128,103.026,144000000,1000,170,0.178207,5203470,0.4179
nsg,1,32,128,103.026,144000000,1000,180,0.184246,5507669,0.4279
nsg,1,32,128,103.026,144000000,1000,190,0.195289,5811893,0.4344
nsg,1,32,128,103.026,144000000,1000,200,0.205956,6117547,0.4425
nsg,1,32,128,103.026,144000000,1000,210,0.217692,6421344,0.4519
nsg,1,32,128,103.026,144000000,1000,220,0.232572,6726127,0.4599
nsg,1,32,128,103.026,144000000,1000,230,0.235591,7030609,0.465
nsg,1,32,128,103.026,144000000,1000,240,0.265191,7334844,0.4717
nsg,1,32,128,103.026,144000000,1000,250,0.295384,7639281,0.4782
nsg,1,32,128,103.026,144000000,1000,260,0.296869,7943296,0.4846
nsg,1,32,128,103.026,144000000,1000,270,0.32531,8247552,0.4903
nsg,1,32,128,103.026,144000000,1000,280,0.338761,8550686,0.4969
nsg,1,32,128,103.026,144000000,1000,290,0.346533,8853915,0.5036
nsg,1,32,128,103.026,144000000,1000,300,0.36272,9157097,0.5072
