index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,128,150.557,216000000,1000,1|10,0.015434,626576,0.2904
cspg,2,32,128,150.557,216000000,1000,1|20,0.0269547,1026982,0.4197
cspg,2,32,128,150.557,216000000,1000,1|30,0.0374154,1428825,0.5201
cspg,2,32,128,150.557,216000000,1000,1|40,0.0471496,1783358,0.5831
cspg,2,32,128,150.557,216000000,1000,1|50,0.0566493,2126238,0.6303
cspg,2,32,128,150.557,216000000,1000,1|60,0.0657145,2442298,0.6587
cspg,2,32,128,150.557,216000000,1000,1|70,0.0731713,2765998,0.6909
cspg,2,32,128,150.557,216000000,1000,1|80,0.0842341,3054776,0.7066
cspg,2,32,128,150.557,216000000,1000,1|90,0.0907962,3349987,0.7287
cspg,2,32,128,150.557,216000000,1000,1|100,0.0986854,3655801,0.7492
cspg,2,32,128,150.557,216000000,1000,1|110,0.104894,3940387,0.7628
cspg,2,32,128,150.557,216000000,1000,1|120,0.108569,4226904,0.7736
cspg,2,32,128,150.557,216000000,1000,1|130,0.122744,4503713,0.7837
cspg,2,32,128,150.557,216000000,1000,1|140,0.132379,4774177,0.7956
cspg,2,32,128,150.557,216000000,1000,1|150,0.134857,5041465,0.803
cspg,2,32,128,150.557,216000000,1000,1|160,0.146056,5303040,0.8097
cspg,2,32,128,150.557,216000000,1000,1|170,0.15049,5571970,0.8187
cspg,2,32,128,150.557,216000000,1000,1|180,0.15278,5848459,0.8252
cspg,2,32,128,150.557,216000000,1000,1|190,0.157932,6127030,0.8311
cspg,2,32,128,150.557,216000000,1000,1|200,0.172336,6403413,0.8367
