index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,32,1.2,128,211.701,144000000,1000,10,0.00800639,314695,0.0642
vamana,1,32,1.2,128,211.701,144000000,1000,20,0.0172117,626728,0.1852
vamana,1,32,1.2,128,211.701,144000000,1000,30,0.0274852,938316,0.2646
vamana,1,32,1.2,128,211.701,144000000,1000,40,0.0353737,1249864,0.3252
vamana,1,32,1.2,128,211.701,144000000,1000,50,0.0442091,1561130,0.353
vamana,1,32,1.2,128,211.701,144000000,1000,60,0.0517517,1872093,0.3951
vamana,1,32,1.2,128,211.701,144000000,1000,70,0.0607509,2182734,0.4135
vamana,1,32,1.2,128,211.701,144000000,1000,80,0.0711684,2492976,0.4334
vamana,1,32,1.2,128,211.701,144000000,1000,90,0.0825243,2803159,0.4503
vamana,1,32,1.2,128,211.701,144000000,1000,100,0.0889153,3112688,0.4612
vamana,1,32,1.2,128,211.701,144000000,1000,110,0.0947254,3422307,0.475
vamana,1,32,1.2,128,211.701,144000000,1000,120,0.10845,3731266,0.4867
vamana,1,32,1.2,128,211.701,144000000,1000,130,0.119888,4040278,0.4984
vamana,1,32,1.2,128,211.701,144000000,1000,140,0.127979,4348900,0.5122
vamana,1,32,1.2,128,211.701,144000000,1000,150,0.137936,4658016,0.5172
vamana,1,32,1.2,128,211.701,144000000,1000,160,0.14824,4966791,0.5268
vamana,1,32,1.2,128,211.701,144000000,1000,170,0.160756,5275134,0.5313
vamana,1,32,1.2,128,211.701,144000000,1000,180,0.171041,5583638,0.5421
vamana,1,32,1.2,128,211.701,144000000,1000,190,0.189741,5892273,0.5488
vamana,1,32,1.2,128,211.701,144000000,1000,200,0.203299,6200406,0.5554
vamana,1,32,1.2,128,211.701,144000000,1000,210,0.215857,6508881,0.5616
vamana,1,32,1.2,128,211.701,144000000,1000,220,0.229169,6816422,0.5666
vamana,1,32,1.2,128,211.701,144000000,1000,230,0.241225,7124064,0.5702
vamana,1,32,1.2,128,211.701,144000000,1000,240,0.25212,7431981,0.5763
vamana,1,32,1.2,128,211.701,144000000,1000,250,0.274429,7739386,0.5821
vamana,1,32,1.2,128,211.701,144000000,1000,260,0.284078,8047264,0.5858
vamana,1,32,1.2,128,211.701,144000000,1000,270,0.308691,8354345,0.5919
vamana,1,32,1.2,128,211.701,144000000,1000,280,0.306317,8661642,0.5964
vamana,1,32,1.2,128,211.701,144000000,1000,290,0.332621,8968496,0.6026
vamana,1,32,1.2,128,211.701,144000000,1000,300,0.34086,9275546,0.6064
