index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,1.2,128,308.156,216000000,1000,1|10,0.0141053,611368,0.3139
cspg,2,32,1.2,128,308.156,216000000,1000,1|20,0.0253063,1039591,0.4845
cspg,2,32,1.2,128,308.156,216000000,1000,1|30,0.0358129,1441204,0.586
cspg,2,32,1.2,128,308.156,216000000,1000,1|40,0.0449025,1792332,0.6443
cspg,2,32,1.2,128,308.156,216000000,1000,1|50,0.052769,2132985,0.686
cspg,2,32,1.2,128,308.156,216000000,1000,1|60,0.0620026,2492954,0.7283
cspg,2,32,1.2,128,308.156,216000000,1000,1|70,0.0704018,2817130,0.7542
cspg,2,32,1.2,128,308.156,216000000,1000,1|80,0.0775019,3110774,0.7689
cspg,2,32,1.2,128,308.156,216000000,1000,1|90,0.0827994,3415834,0.7864
cspg,2,32,1.2,128,308.156,216000000,1000,1|100,0.0926961,3694468,0.7977
cspg,2,32,1.2,128,308.156,216000000,1000,1|110,0.0947787,3980496,0.8098
cspg,2,32,1.2,128,308.156,216000000,1000,1|120,0.102648,4267260,0.8221
cspg,2,32,1.2,128,308.156,216000000,1000,1|130,0.110361,4546501,0.8324
cspg,2,32,1.2,128,308.156,216000000,1000,1|140,0.120221,4826556,0.8429
cspg,2,32,1.2,128,308.156,216000000,1000,1|150,0.121994,5093720,0.8487
cspg,2,32,1.2,128,308.156,216000000,1000,1|160,0.126191,5361466,0.8552
cspg,2,32,1.2,128,308.156,216000000,1000,1|170,0.132367,5632812,0.8608
cspg,2,32,1.2,128,308.156,216000000,1000,1|180,0.139853,5902974,0.868
cspg,2,32,1.2,128,308.156,216000000,1000,1|190,0.143877,6174265,0.8728
cspg,2,32,1.2,128,308.156,216000000,1000,1|200,0.155269,6433041,0.8768
