index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,32,128,80.3881,280376344,1000,10,0.0130784,923180,0.511
hnsw,1,32,128,80.3881,280376344,1000,20,0.0226833,1442019,0.6101
hnsw,1,32,128,80.3881,280376344,1000,30,0.0288647,1915821,0.6777
hnsw,1,32,128,80.3881,280376344,1000,40,0.0350856,2374550,0.7289
hnsw,1,32,128,80.3881,280376344,1000,50,0.0400781,2821159,0.7678
hnsw,1,32,128,80.3881,280376344,1000,60,0.0466641,3254308,0.795
hnsw,1,32,128,80.3881,280376344,1000,70,0.0516665,3684408,0.8203
hnsw,1,32,128,80.3881,280376344,1000,80,0.0594231,4105648,0.8408
hnsw,1,32,128,80.3881,280376344,1000,90,0.0660315,4527163,0.8598
hnsw,1,32,128,80.3881,280376344,1000,100,0.0718292,4936454,0.8771
hnsw,1,32,128,80.3881,280376344,1000,110,0.0771934,5336808,0.8868
hnsw,1,32,128,80.3881,280376344,1000,120,0.082921,5736284,0.8972
hnsw,1,32,128,80.3881,280376344,1000,130,0.0889157,6130771,0.9051
hnsw,1,32,128,80.3881,280376344,1000,140,0.0952062,6514523,0.9117
hnsw,1,32,128,80.3881,280376344,1000,150,0.102596,6899210,0.9194
hnsw,1,32,128,80.3881,280376344,1000,160,0.107307,7277862,0.9264
hnsw,1,32,128,80.3881,280376344,1000,170,0.114924,7645484,0.9309
hnsw,1,32,128,80.3881,280376344,1000,180,0.117271,8009678,0.935
hnsw,1,32,128,80.3881,280376344,1000,190,0.124888,8370595,0.938
hnsw,1,32,128,80.3881,280376344,1000,200,0.131549,8726801,0.9421
hnsw,1,32,128,80.3881,280376344,1000,210,0.138162,9076212,0.945
hnsw,1,32,128,80.3881,280376344,1000,220,0.140936,9421828,0.9481
hnsw,1,32,128,80.3881,280376344,1000,230,0.146141,9763127,0.9511
hnsw,1,32,128,80.3881,280376344,1000,240,0.15576,10097757,0.9545
hnsw,1,32,128,80.3881,280376344,1000,250,0.160325,10430806,0.9559
hnsw,1,32,128,80.3881,280376344,1000,260,0.165581,10757852,0.9575
hnsw,1,32,128,80.3881,280376344,1000,270,0.167357,11084541,0.9592
hnsw,1,32,128,80.3881,280376344,1000,280,0.174332,11404696,0.9617
hnsw,1,32,128,80.3881,280376344,1000,290,0.178278,11720512,0.963
hnsw,1,32,128,80.3881,280376344,1000,300,0.182997,12034993,0.9645
