index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,128,108.428,420608920,1000,1|10,0.0229022,932062,0.6515
cspg,2,32,128,108.428,420608920,1000,1|20,0.0354347,1484729,0.7619
cspg,2,32,128,108.428,420608920,1000,1|30,0.0513999,1975331,0.8208
cspg,2,32,128,108.428,420608920,1000,1|40,0.0623773,2452424,0.8567
cspg,2,32,128,108.428,420608920,1000,1|50,0.0749924,2914445,0.8799
cspg,2,32,128,108.428,420608920,1000,1|60,0.0854479,3369813,0.8976
cspg,2,32,128,108.428,420608920,1000,1|70,0.100464,3819968,0.9124
cspg,2,32,128,108.428,420608920,1000,1|80,0.11288,4246940,0.9224
cspg,2,32,128,108.428,420608920,1000,1|90,0.116522,4664938,0.931
cspg,2,32,128,108.428,420608920,1000,1|100,0.134222,5102266,0.936
cspg,2,32,128,108.428,420608920,1000,1|110,0.138061,5521257,0.9399
cspg,2,32,128,108.428,420608920,1000,1|120,0.15584,5941190,0.9437
cspg,2,32,128,108.428,420608920,1000,1|130,0.1612,6352720,0.9458
cspg,2,32,128,108.428,420608920,1000,1|140,0.170471,6768880,0.9476
cspg,2,32,128,108.428,420608920,1000,1|150,0.18048,7179323,0.9491
cspg,2,32,128,108.428,420608920,1000,1|160,0.192011,7583353,0.9504
cspg,2,32,128,108.428,420608920,1000,1|170,0.199208,7979003,0.9516
cspg,2,32,128,108.428,420608920,1000,1|180,0.206406,8372788,0.9521
cspg,2,32,128,108.428,420608920,1000,1|190,0.227586,8763069,0.953
cspg,2,32,128,108.428,420608920,1000,1|200,0.237323,9148587,0.9535
cspg,2,32,128,108.428,420608920,1000,1|210,0.238508,9537289,0.9541
cspg,2,32,128,108.428,420608920,1000,1|220,0.256713,9915552,0.9543
cspg,2,32,128,108.428,420608920,1000,1|230,0.251627,10289481,0.9547
cspg,2,32,128,108.428,420608920,1000,1|240,0.256236,10662095,0.9545
cspg,2,32,128,108.428,420608920,1000,1|250,0.24628,11027595,0.9547
cspg,2,32,128,108.428,420608920,1000,1|260,0.265093,11390285,0.9548
cspg,2,32,128,108.428,420608920,1000,1|270,0.278629,11751076,0.9549
cspg,2,32,128,108.428,420608920,1000,1|280,0.293102,12109329,0.9553
cspg,2,32,128,108.428,420608920,1000,1|290,0.286682,12461040,0.9554
cspg,2,32,128,108.428,420608920,1000,1|300,0.314103,12812322,0.9555
