index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,128,113.514,216000000,1000,1|10,0.0126798,583599,0.5399
cspg,2,32,128,113.514,216000000,1000,1|20,0.0223892,912100,0.7031
cspg,2,32,128,113.514,216000000,1000,1|30,0.0291956,1206678,0.789
cspg,2,32,128,113.514,216000000,1000,1|40,0.0384367,1469954,0.8312
cspg,2,32,128,113.514,216000000,1000,1|50,0.0437349,1717475,0.8635
cspg,2,32,128,113.514,216000000,1000,1|60,0.0500184,1964635,0.8893
cspg,2,32,128,113.514,216000000,1000,1|70,0.0584338,2210991,0.9139
cspg,2,32,128,113.514,216000000,1000,1|80,0.0646607,2441638,0.9286
cspg,2,32,128,113.514,216000000,1000,1|90,0.0709109,2674589,0.9409
cspg,2,32,128,113.514,216000000,1000,1|100,0.0753739,2909861,0.9489
cspg,2,32,128,113.514,216000000,1000,1|110,0.0795248,3133584,0.957
cspg,2,32,128,113.514,216000000,1000,1|120,0.0907325,3361813,0.9615
cspg,2,32,128,113.514,216000000,1000,1|130,0.0927653,3585338,0.9661
cspg,2,32,128,113.514,216000000,1000,1|140,0.103607,3812562,0.9692
cspg,2,32,128,113.514,216000000,1000,1|150,0.109743,4039634,0.9757
cspg,2,32,128,113.514,216000000,1000,1|160,0.115726,4263379,0.9799
cspg,2,32,128,113.514,216000000,1000,1|170,0.118147,4481005,0.9828
cspg,2,32,128,113.514,216000000,1000,1|180,0.114403,4700903,0.9857
cspg,2,32,128,113.514,216000000,1000,1|190,0.124082,4917511,0.9876
cspg,2,32,128,113.514,216000000,1000,1|200,0.134877,5132918,0.9886
