num_queries,nlist,nprobe,query_time,recall
10000,1204,10,1.039288073,0.86089
10000,1204,20,1.732633222,0.94347
10000,1204,30,2.3984668,0.97121
10000,1204,40,3.1111289340000003,0.98265
10000,1204,50,3.740405173,0.98926
10000,1204,60,4.578852011,0.99315
10000,1204,70,5.253260036,0.99532
10000,1204,80,5.879179607,0.99681
10000,1204,90,6.656942719000001,0.99767
10000,1204,100,7.032528319000001,0.99822
10000,1204,110,7.931741695,0.99853
10000,1204,120,8.830484569000001,0.99879
10000,1204,130,9.407810378,0.99893
10000,1204,140,10.144058745,0.99905
10000,1204,150,10.614743219000001,0.99917
0,1204,160,12.754341925,0.99927
10000,1204,170,15.391189647000001,0.99931
10000,1204,180,17.622809513,0.99934
10000,1204,190,18.425028532000002,0.99937
10000,1204,200,19.450027751,0.9994
