index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng,1,5,750,3,65.1436,44473368,10000,10,0.0418204,926530,0.02181
hcnng,1,5,750,3,65.1436,44473368,10000,20,0.0375885,1896053,0.21614
hcnng,1,5,750,3,65.1436,44473368,10000,30,0.0542203,2863413,0.42132
hcnng,1,5,750,3,65.1436,44473368,10000,40,0.0731849,3802972,0.5408
hcnng,1,5,750,3,65.1436,44473368,10000,50,0.0907799,4737680,0.61672
hcnng,1,5,750,3,65.1436,44473368,10000,60,0.114297,5661109,0.66935
hcnng,1,5,750,3,65.1436,44473368,10000,70,0.136601,6570034,0.70781
hcnng,1,5,750,3,65.1436,44473368,10000,80,0.16167,7479998,0.73765
hcnng,1,5,750,3,65.1436,44473368,10000,90,0.193792,8379701,0.76248
hcnng,1,5,750,3,65.1436,44473368,10000,100,0.2272,9272326,0.78102
hcnng,1,5,750,3,65.1436,44473368,10000,110,0.254579,10161869,0.7982
hcnng,1,5,750,3,65.1436,44473368,10000,120,0.286829,11047127,0.81119
hcnng,1,5,750,3,65.1436,44473368,10000,130,0.319687,11929472,0.82368
hcnng,1,5,750,3,65.1436,44473368,10000,140,0.368331,12799058,0.83345
hcnng,1,5,750,3,65.1436,44473368,10000,150,0.392628,13675493,0.84318
hcnng,1,5,750,3,65.1436,44473368,10000,160,0.436403,14547158,0.85079
hcnng,1,5,750,3,65.1436,44473368,10000,170,0.489061,15415893,0.8577
hcnng,1,5,750,3,65.1436,44473368,10000,180,0.54696,16287062,0.86495
hcnng,1,5,750,3,65.1436,44473368,10000,190,0.588748,17144493,0.87069
hcnng,1,5,750,3,65.1436,44473368,10000,200,0.631137,18011588,0.87645
hcnng,1,5,750,3,65.1436,44473368,10000,210,0.682989,18867254,0.88139
hcnng,1,5,750,3,65.1436,44473368,10000,220,0.725648,19720909,0.88616
hcnng,1,5,750,3,65.1436,44473368,10000,230,0.791092,20579843,0.8896
hcnng,1,5,750,3,65.1436,44473368,10000,240,0.853141,21426438,0.89473
hcnng,1,5,750,3,65.1436,44473368,10000,250,0.916083,22274889,0.89816
hcnng,1,5,750,3,65.1436,44473368,10000,260,0.993959,23129838,0.90103
hcnng,1,5,750,3,65.1436,44473368,10000,270,1.06938,23974821,0.90508
hcnng,1,5,750,3,65.1436,44473368,10000,280,1.1388,24822166,0.90786
hcnng,1,5,750,3,65.1436,44473368,10000,290,1.20648,25663100,0.91034
hcnng,1,5,750,3,65.1436,44473368,10000,300,1.28444,26507921,0.91317
hcnng,1,5,750,5,67.12,44242504,10000,10,0.0445084,1007864,0.02597
hcnng,1,5,750,5,67.12,44242504,10000,20,0.0437805,2128008,0.24859
hcnng,1,5,750,5,67.12,44242504,10000,30,0.0631147,3227187,0.45599
hcnng,1,5,750,5,67.12,44242504,10000,40,0.0846736,4309497,0.57018
hcnng,1,5,750,5,67.12,44242504,10000,50,0.103648,5370486,0.64227
hcnng,1,5,750,5,67.12,44242504,10000,60,0.127297,6418215,0.6885
hcnng,1,5,750,5,67.12,44242504,10000,70,0.150358,7451462,0.72454
hcnng,1,5,750,5,67.12,44242504,10000,80,0.172998,8484351,0.75273
hcnng,1,5,750,5,67.12,44242504,10000,90,0.200795,9514625,0.77455
hcnng,1,5,750,5,67.12,44242504,10000,100,0.224043,10533834,0.79434
hcnng,1,5,750,5,67.12,44242504,10000,110,0.256015,11548805,0.80823
hcnng,1,5,750,5,67.12,44242504,10000,120,0.287652,12562118,0.82092
hcnng,1,5,750,5,67.12,44242504,10000,130,0.324513,13556539,0.83259
hcnng,1,5,750,5,67.12,44242504,10000,140,0.363776,14561594,0.84255
hcnng,1,5,750,5,67.12,44242504,10000,150,0.405539,15561388,0.85085
hcnng,1,5,750,5,67.12,44242504,10000,160,0.448379,16561775,0.85809
hcnng,1,5,750,5,67.12,44242504,10000,170,0.4924,17539816,0.86434
hcnng,1,5,750,5,67.12,44242504,10000,180,0.543997,18542662,0.87055
hcnng,1,5,750,5,67.12,44242504,10000,190,0.592597,19530297,0.87667
hcnng,1,5,750,5,67.12,44242504,10000,200,0.645067,20509309,0.88059
hcnng,1,5,750,5,67.12,44242504,10000,210,0.71916,21491400,0.88708
hcnng,1,5,750,5,67.12,44242504,10000,220,0.810971,22469421,0.89072
hcnng,1,5,750,5,67.12,44242504,10000,230,0.852311,23455221,0.89479
hcnng,1,5,750,5,67.12,44242504,10000,240,0.873938,24428021,0.89857
hcnng,1,5,750,5,67.12,44242504,10000,250,0.936797,25402798,0.90185
hcnng,1,5,750,5,67.12,44242504,10000,260,1.00881,26362752,0.9047
hcnng,1,5,750,5,67.12,44242504,10000,270,1.07641,27352632,0.90834
hcnng,1,5,750,5,67.12,44242504,10000,280,1.14003,28314840,0.91068
hcnng,1,5,750,5,67.12,44242504,10000,290,1.22827,29270088,0.91263
hcnng,1,5,750,5,67.12,44242504,10000,300,1.32046,30248744,0.91604
hcnng,1,5,750,7,65.4364,44205576,10000,10,0.0522085,1041479,0.02767
hcnng,1,5,750,7,65.4364,44205576,10000,20,0.0423894,2216285,0.25544
hcnng,1,5,750,7,65.4364,44205576,10000,30,0.060119,3370499,0.46164
hcnng,1,5,750,7,65.4364,44205576,10000,40,0.0802305,4490280,0.57659
hcnng,1,5,750,7,65.4364,44205576,10000,50,0.10131,5594254,0.64652
hcnng,1,5,750,7,65.4364,44205576,10000,60,0.12303,6695033,0.69521
hcnng,1,5,750,7,65.4364,44205576,10000,70,0.148218,7774484,0.72692
hcnng,1,5,750,7,65.4364,44205576,10000,80,0.171252,8855753,0.75571
hcnng,1,5,750,7,65.4364,44205576,10000,90,0.198891,9925043,0.77796
hcnng,1,5,750,7,65.4364,44205576,10000,100,0.226773,10987296,0.79512
hcnng,1,5,750,7,65.4364,44205576,10000,110,0.259126,12047349,0.80971
hcnng,1,5,750,7,65.4364,44205576,10000,120,0.293242,13095965,0.82115
hcnng,1,5,750,7,65.4364,44205576,10000,130,0.332459,14152468,0.83349
hcnng,1,5,750,7,65.4364,44205576,10000,140,0.36547,15202315,0.84246
hcnng,1,5,750,7,65.4364,44205576,10000,150,0.407234,16247327,0.85085
hcnng,1,5,750,7,65.4364,44205576,10000,160,0.44592,17281623,0.85839
hcnng,1,5,750,7,65.4364,44205576,10000,170,0.495489,18337211,0.86633
hcnng,1,5,750,7,65.4364,44205576,10000,180,0.542755,19367454,0.87173
hcnng,1,5,750,7,65.4364,44205576,10000,190,0.594204,20393533,0.87756
hcnng,1,5,750,7,65.4364,44205576,10000,200,0.650746,21426613,0.88202
hcnng,1,5,750,7,65.4364,44205576,10000,210,0.706502,22453545,0.8868
hcnng,1,5,750,7,65.4364,44205576,10000,220,0.763386,23476902,0.89124
hcnng,1,5,750,7,65.4364,44205576,10000,230,0.82332,24508342,0.89475
hcnng,1,5,750,7,65.4364,44205576,10000,240,0.895296,25534902,0.89967
hcnng,1,5,750,7,65.4364,44205576,10000,250,0.952403,26547135,0.90246
hcnng,1,5,750,7,65.4364,44205576,10000,260,1.02641,27583863,0.90578
hcnng,1,5,750,7,65.4364,44205576,10000,270,1.09583,28589826,0.9087
hcnng,1,5,750,7,65.4364,44205576,10000,280,1.14778,29608659,0.91141
hcnng,1,5,750,7,65.4364,44205576,10000,290,1.25925,30629780,0.91398
hcnng,1,5,750,7,65.4364,44205576,10000,300,1.31682,31645265,0.91586
hcnng,1,5,1000,3,100.214,44121608,10000,10,0.042908,918171,0.02109
hcnng,1,5,1000,3,100.214,44121608,10000,20,0.0392514,1881869,0.22223
hcnng,1,5,1000,3,100.214,44121608,10000,30,0.056443,2834361,0.42045
hcnng,1,5,1000,3,100.214,44121608,10000,40,0.0760084,3774033,0.54545
hcnng,1,5,1000,3,100.214,44121608,10000,50,0.09359,4696038,0.6188
hcnng,1,5,1000,3,100.214,44121608,10000,60,0.113198,5606586,0.67097
hcnng,1,5,1000,3,100.214,44121608,10000,70,0.134747,6509093,0.70981
hcnng,1,5,1000,3,100.214,44121608,10000,80,0.159681,7405295,0.73869
hcnng,1,5,1000,3,100.214,44121608,10000,90,0.184185,8299896,0.76317
hcnng,1,5,1000,3,100.214,44121608,10000,100,0.214884,9181130,0.78301
hcnng,1,5,1000,3,100.214,44121608,10000,110,0.244155,10058377,0.79925
hcnng,1,5,1000,3,100.214,44121608,10000,120,0.275846,10931394,0.81263
hcnng,1,5,1000,3,100.214,44121608,10000,130,0.309053,11805618,0.82483
hcnng,1,5,1000,3,100.214,44121608,10000,140,0.350049,12677932,0.83531
hcnng,1,5,1000,3,100.214,44121608,10000,150,0.395817,13541994,0.84527
hcnng,1,5,1000,3,100.214,44121608,10000,160,0.431057,14404831,0.85418
hcnng,1,5,1000,3,100.214,44121608,10000,170,0.473406,15261983,0.8605
hcnng,1,5,1000,3,100.214,44121608,10000,180,0.524938,16120915,0.86664
hcnng,1,5,1000,3,100.214,44121608,10000,190,0.5749,16980285,0.87367
hcnng,1,5,1000,3,100.214,44121608,10000,200,0.625176,17829552,0.878
hcnng,1,5,1000,3,100.214,44121608,10000,210,0.674074,18677333,0.88389
hcnng,1,5,1000,3,100.214,44121608,10000,220,0.78649,19521971,0.88768
hcnng,1,5,1000,3,100.214,44121608,10000,230,0.796113,20370714,0.89197
hcnng,1,5,1000,3,100.214,44121608,10000,240,0.856865,21213239,0.8957
hcnng,1,5,1000,3,100.214,44121608,10000,250,0.920092,22057757,0.90032
hcnng,1,5,1000,3,100.214,44121608,10000,260,0.98899,22901732,0.90297
hcnng,1,5,1000,3,100.214,44121608,10000,270,1.05253,23735865,0.90611
hcnng,1,5,1000,3,100.214,44121608,10000,280,1.13086,24563738,0.90928
hcnng,1,5,1000,3,100.214,44121608,10000,290,1.20762,25410536,0.91269
hcnng,1,5,1000,3,100.214,44121608,10000,300,1.28357,26243615,0.91493
hcnng,1,5,1000,5,95.6357,43791480,10000,10,0.0426556,995235,0.02648
hcnng,1,5,1000,5,95.6357,43791480,10000,20,0.0421964,2096634,0.24683
hcnng,1,5,1000,5,95.6357,43791480,10000,30,0.0615759,3183655,0.45663
hcnng,1,5,1000,5,95.6357,43791480,10000,40,0.0776638,4251594,0.57338
hcnng,1,5,1000,5,95.6357,43791480,10000,50,0.0996259,5293590,0.64381
hcnng,1,5,1000,5,95.6357,43791480,10000,60,0.119,6331355,0.69397
hcnng,1,5,1000,5,95.6357,43791480,10000,70,0.142729,7352325,0.7304
hcnng,1,5,1000,5,95.6357,43791480,10000,80,0.166516,8369006,0.75641
hcnng,1,5,1000,5,95.6357,43791480,10000,90,0.194242,9381442,0.77976
hcnng,1,5,1000,5,95.6357,43791480,10000,100,0.223105,10384388,0.79822
hcnng,1,5,1000,5,95.6357,43791480,10000,110,0.251742,11390387,0.81196
hcnng,1,5,1000,5,95.6357,43791480,10000,120,0.283669,12380828,0.82439
hcnng,1,5,1000,5,95.6357,43791480,10000,130,0.317825,13377181,0.83601
hcnng,1,5,1000,5,95.6357,43791480,10000,140,0.358872,14362457,0.84599
hcnng,1,5,1000,5,95.6357,43791480,10000,150,0.401604,15356997,0.85521
hcnng,1,5,1000,5,95.6357,43791480,10000,160,0.44399,16341970,0.86212
hcnng,1,5,1000,5,95.6357,43791480,10000,170,0.490123,17313942,0.86854
hcnng,1,5,1000,5,95.6357,43791480,10000,180,0.531695,18286080,0.87455
hcnng,1,5,1000,5,95.6357,43791480,10000,190,0.604294,19255356,0.88062
hcnng,1,5,1000,5,95.6357,43791480,10000,200,0.653241,20226188,0.88588
hcnng,1,5,1000,5,95.6357,43791480,10000,210,0.706117,21185017,0.88923
hcnng,1,5,1000,5,95.6357,43791480,10000,220,0.759983,22149723,0.8937
hcnng,1,5,1000,5,95.6357,43791480,10000,230,0.813723,23122650,0.8988
hcnng,1,5,1000,5,95.6357,43791480,10000,240,0.8643,24086038,0.90223
hcnng,1,5,1000,5,95.6357,43791480,10000,250,0.929193,25033642,0.90523
hcnng,1,5,1000,5,95.6357,43791480,10000,260,1.00792,25992915,0.90786
hcnng,1,5,1000,5,95.6357,43791480,10000,270,1.13775,26946565,0.91122
hcnng,1,5,1000,5,95.6357,43791480,10000,280,1.19352,27902819,0.91429
hcnng,1,5,1000,5,95.6357,43791480,10000,290,1.23809,28859900,0.9165
hcnng,1,5,1000,5,95.6357,43791480,10000,300,1.39532,29808745,0.91902
hcnng,1,5,1000,7,98.5239,43882576,10000,10,0.052473,1034733,0.02686
hcnng,1,5,1000,7,98.5239,43882576,10000,20,0.0433296,2195769,0.2562
hcnng,1,5,1000,7,98.5239,43882576,10000,30,0.062144,3341226,0.46319
hcnng,1,5,1000,7,98.5239,43882576,10000,40,0.0816733,4455158,0.57754
hcnng,1,5,1000,7,98.5239,43882576,10000,50,0.100772,5544639,0.64825
hcnng,1,5,1000,7,98.5239,43882576,10000,60,0.123706,6631759,0.6951
hcnng,1,5,1000,7,98.5239,43882576,10000,70,0.145597,7718438,0.73123
hcnng,1,5,1000,7,98.5239,43882576,10000,80,0.169897,8780112,0.75947
hcnng,1,5,1000,7,98.5239,43882576,10000,90,0.197924,9842275,0.7785
hcnng,1,5,1000,7,98.5239,43882576,10000,100,0.227026,10899723,0.79763
hcnng,1,5,1000,7,98.5239,43882576,10000,110,0.259577,11937524,0.81204
hcnng,1,5,1000,7,98.5239,43882576,10000,120,0.293048,12996105,0.82546
hcnng,1,5,1000,7,98.5239,43882576,10000,130,0.330451,14036855,0.83681
hcnng,1,5,1000,7,98.5239,43882576,10000,140,0.367055,15075284,0.84479
hcnng,1,5,1000,7,98.5239,43882576,10000,150,0.409704,16110633,0.8545
hcnng,1,5,1000,7,98.5239,43882576,10000,160,0.452124,17140512,0.8616
hcnng,1,5,1000,7,98.5239,43882576,10000,170,0.498847,18177407,0.86789
hcnng,1,5,1000,7,98.5239,43882576,10000,180,0.549647,19200330,0.87425
hcnng,1,5,1000,7,98.5239,43882576,10000,190,0.596518,20233239,0.88022
hcnng,1,5,1000,7,98.5239,43882576,10000,200,0.652722,21264291,0.88576
hcnng,1,5,1000,7,98.5239,43882576,10000,210,0.701532,22284772,0.89055
hcnng,1,5,1000,7,98.5239,43882576,10000,220,0.761115,23300018,0.89463
hcnng,1,5,1000,7,98.5239,43882576,10000,230,0.820086,24319515,0.89782
hcnng,1,5,1000,7,98.5239,43882576,10000,240,0.908274,25324181,0.9018
hcnng,1,5,1000,7,98.5239,43882576,10000,250,1.01595,26347135,0.90485
hcnng,1,5,1000,7,98.5239,43882576,10000,260,1.07022,27350822,0.9077
hcnng,1,5,1000,7,98.5239,43882576,10000,270,1.12885,28353539,0.91077
hcnng,1,5,1000,7,98.5239,43882576,10000,280,1.16223,29373407,0.91376
hcnng,1,5,1000,7,98.5239,43882576,10000,290,1.24453,30388818,0.91574
hcnng,1,5,1000,7,98.5239,43882576,10000,300,1.38897,31397358,0.91834
hcnng,1,5,1250,3,135.432,43833200,10000,10,0.0400721,910062,0.02102
hcnng,1,5,1250,3,135.432,43833200,10000,20,0.0389319,1863035,0.21542
hcnng,1,5,1250,3,135.432,43833200,10000,30,0.0565983,2800561,0.42172
hcnng,1,5,1250,3,135.432,43833200,10000,40,0.0738032,3722787,0.54202
hcnng,1,5,1250,3,135.432,43833200,10000,50,0.0936777,4638988,0.62105
hcnng,1,5,1250,3,135.432,43833200,10000,60,0.114319,5541788,0.67384
hcnng,1,5,1250,3,135.432,43833200,10000,70,0.135629,6438885,0.71299
hcnng,1,5,1250,3,135.432,43833200,10000,80,0.162163,7318263,0.74388
hcnng,1,5,1250,3,135.432,43833200,10000,90,0.188097,8192504,0.7655
hcnng,1,5,1250,3,135.432,43833200,10000,100,0.218098,9073958,0.78777
hcnng,1,5,1250,3,135.432,43833200,10000,110,0.25207,9937311,0.80261
hcnng,1,5,1250,3,135.432,43833200,10000,120,0.281884,10805522,0.81703
hcnng,1,5,1250,3,135.432,43833200,10000,130,0.315253,11667801,0.82945
hcnng,1,5,1250,3,135.432,43833200,10000,140,0.348027,12524246,0.8402
hcnng,1,5,1250,3,135.432,43833200,10000,150,0.388681,13380212,0.84851
hcnng,1,5,1250,3,135.432,43833200,10000,160,0.433489,14229240,0.85781
hcnng,1,5,1250,3,135.432,43833200,10000,170,0.480516,15076555,0.86506
hcnng,1,5,1250,3,135.432,43833200,10000,180,0.519589,15920247,0.87135
hcnng,1,5,1250,3,135.432,43833200,10000,190,0.573388,16764172,0.87669
hcnng,1,5,1250,3,135.432,43833200,10000,200,0.626985,17607891,0.88196
hcnng,1,5,1250,3,135.432,43833200,10000,210,0.679096,18445861,0.88736
hcnng,1,5,1250,3,135.432,43833200,10000,220,0.735331,19279173,0.89156
hcnng,1,5,1250,3,135.432,43833200,10000,230,0.789279,20110716,0.89535
hcnng,1,5,1250,3,135.432,43833200,10000,240,0.853225,20942051,0.90013
hcnng,1,5,1250,3,135.432,43833200,10000,250,0.909222,21770201,0.90381
hcnng,1,5,1250,3,135.432,43833200,10000,260,0.986479,22604519,0.90652
hcnng,1,5,1250,3,135.432,43833200,10000,270,1.05322,23431832,0.91069
hcnng,1,5,1250,3,135.432,43833200,10000,280,1.12154,24260807,0.91302
