index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,15,1250,3,205.69,144674248,10000,1|10,0.0644046,4831926,0.82748
cspg,2,15,1250,3,205.69,144674248,10000,1|20,0.0928945,6692143,0.927
cspg,2,15,1250,3,205.69,144674248,10000,1|30,0.12,8367173,0.95997
cspg,2,15,1250,3,205.69,144674248,10000,1|40,0.14624,9979470,0.97539
cspg,2,15,1250,3,205.69,144674248,10000,1|50,0.173939,11549899,0.9834
cspg,2,15,1250,3,205.69,144674248,10000,1|60,0.196709,13082433,0.98873
cspg,2,15,1250,3,205.69,144674248,10000,1|70,0.22395,14575719,0.99148
cspg,2,15,1250,3,205.69,144674248,10000,1|80,0.248495,16050495,0.99416
cspg,2,15,1250,3,205.69,144674248,10000,1|90,0.273176,17488508,0.99523
cspg,2,15,1250,3,205.69,144674248,10000,1|100,0.299171,18915891,0.99606
cspg,2,15,1250,3,205.69,144674248,10000,1|110,0.320367,20309242,0.9972
cspg,2,15,1250,3,205.69,144674248,10000,1|120,0.342522,21687769,0.99771
cspg,2,15,1250,3,205.69,144674248,10000,1|130,0.369295,23048844,0.99815
cspg,2,15,1250,3,205.69,144674248,10000,1|140,0.385542,24390803,0.99838
cspg,2,15,1250,3,205.69,144674248,10000,1|150,0.408409,25711156,0.99883
cspg,2,15,1250,3,205.69,144674248,10000,1|160,0.424228,27018532,0.99903
cspg,2,15,1250,3,205.69,144674248,10000,1|170,0.446449,28315622,0.9992
cspg,2,15,1250,3,205.69,144674248,10000,1|180,0.466681,29598358,0.99934
cspg,2,15,1250,3,205.69,144674248,10000,1|190,0.482959,30859390,0.99947
cspg,2,15,1250,3,205.69,144674248,10000,1|200,0.506217,32113818,0.99953
cspg,2,15,1250,3,205.69,144674248,10000,1|210,0.522984,33353806,0.99958
cspg,2,15,1250,3,205.69,144674248,10000,1|220,0.560552,34582916,0.99966
cspg,2,15,1250,3,205.69,144674248,10000,1|230,0.577687,35801557,0.99967
cspg,2,15,1250,3,205.69,144674248,10000,1|240,0.596307,37009172,0.99971
cspg,2,15,1250,3,205.69,144674248,10000,1|250,0.618688,38206985,0.99972
cspg,2,15,1250,3,205.69,144674248,10000,1|260,0.632694,39397718,0.99975
cspg,2,15,1250,3,205.69,144674248,10000,1|270,0.649678,40578154,0.9998
cspg,2,15,1250,3,205.69,144674248,10000,1|280,0.672477,41747759,0.99984
cspg,2,15,1250,3,205.69,144674248,10000,1|290,0.689958,42904344,0.99985
cspg,2,15,1250,3,205.69,144674248,10000,1|300,0.713537,44055388,0.99985
