index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,16,64,17.2236,152785984,10000,10,0.0556076,3714497,0.66839
hnsw,1,16,64,17.2236,152785984,10000,20,0.0819853,5244730,0.79145
hnsw,1,16,64,17.2236,152785984,10000,30,0.105827,6656080,0.84889
hnsw,1,16,64,17.2236,152785984,10000,40,0.128517,8004770,0.88151
hnsw,1,16,64,17.2236,152785984,10000,50,0.149559,9319321,0.90338
hnsw,1,16,64,17.2236,152785984,10000,60,0.171628,10587513,0.91829
hnsw,1,16,64,17.2236,152785984,10000,70,0.192846,11832171,0.92937
hnsw,1,16,64,17.2236,152785984,10000,80,0.215792,13048607,0.93807
hnsw,1,16,64,17.2236,152785984,10000,90,0.239985,14234120,0.94487
hnsw,1,16,64,17.2236,152785984,10000,100,0.264185,15407479,0.95037
hnsw,1,16,64,17.2236,152785984,10000,110,0.280966,16551691,0.95494
hnsw,1,16,64,17.2236,152785984,10000,120,0.301793,17682555,0.95841
hnsw,1,16,64,17.2236,152785984,10000,130,0.321789,18791955,0.96144
hnsw,1,16,64,17.2236,152785984,10000,140,0.340039,19888069,0.96401
hnsw,1,16,64,17.2236,152785984,10000,150,0.364432,20964738,0.96614
hnsw,1,16,64,17.2236,152785984,10000,160,0.384323,22034032,0.96784
hnsw,1,16,64,17.2236,152785984,10000,170,0.403922,23087873,0.96961
hnsw,1,16,64,17.2236,152785984,10000,180,0.424526,24126811,0.9709
hnsw,1,16,64,17.2236,152785984,10000,190,0.444268,25156020,0.9723
hnsw,1,16,64,17.2236,152785984,10000,200,0.505819,26176901,0.97357
hnsw,1,16,64,17.2236,152785984,10000,210,0.616442,27187364,0.97493
hnsw,1,16,64,17.2236,152785984,10000,220,0.650336,28186471,0.97575
hnsw,1,16,64,17.2236,152785984,10000,230,0.684544,29180032,0.97655
hnsw,1,16,64,17.2236,152785984,10000,240,0.706658,30163109,0.97739
hnsw,1,16,64,17.2236,152785984,10000,250,0.554489,31135244,0.97803
hnsw,1,16,64,17.2236,152785984,10000,260,0.571151,32097527,0.97861
hnsw,1,16,64,17.2236,152785984,10000,270,0.593977,33052259,0.97915
hnsw,1,16,64,17.2236,152785984,10000,280,0.602841,33999626,0.97969
hnsw,1,16,64,17.2236,152785984,10000,290,0.612241,34942556,0.9802
hnsw,1,16,64,17.2236,152785984,10000,300,0.712025,35874761,0.98065
hnsw,1,16,128,37.3869,152785912,10000,10,0.0605375,3930141,0.68973
hnsw,1,16,128,37.3869,152785912,10000,20,0.0899192,5601872,0.81566
hnsw,1,16,128,37.3869,152785912,10000,30,0.121032,7154064,0.8739
hnsw,1,16,128,37.3869,152785912,10000,40,0.144938,8633245,0.90531
hnsw,1,16,128,37.3869,152785912,10000,50,0.17037,10080870,0.92582
hnsw,1,16,128,37.3869,152785912,10000,60,0.195613,11489494,0.94024
hnsw,1,16,128,37.3869,152785912,10000,70,0.218524,12867844,0.95009
hnsw,1,16,128,37.3869,152785912,10000,80,0.245681,14210458,0.95782
hnsw,1,16,128,37.3869,152785912,10000,90,0.26906,15528349,0.96318
hnsw,1,16,128,37.3869,152785912,10000,100,0.292375,16824070,0.96777
hnsw,1,16,128,37.3869,152785912,10000,110,0.315878,18091161,0.9714
hnsw,1,16,128,37.3869,152785912,10000,120,0.328526,19343403,0.97428
hnsw,1,16,128,37.3869,152785912,10000,130,0.349631,20576654,0.97687
hnsw,1,16,128,37.3869,152785912,10000,140,0.369811,21791112,0.97868
hnsw,1,16,128,37.3869,152785912,10000,150,0.393038,22984674,0.98022
hnsw,1,16,128,37.3869,152785912,10000,160,0.427121,24169873,0.98164
hnsw,1,16,128,37.3869,152785912,10000,170,0.429548,25336099,0.98261
hnsw,1,16,128,37.3869,152785912,10000,180,0.44532,26486848,0.98365
hnsw,1,16,128,37.3869,152785912,10000,190,0.469765,27626456,0.98461
hnsw,1,16,128,37.3869,152785912,10000,200,0.488106,28756862,0.98547
hnsw,1,16,128,37.3869,152785912,10000,210,0.503903,29873076,0.98629
hnsw,1,16,128,37.3869,152785912,10000,220,0.530817,30981543,0.98705
hnsw,1,16,128,37.3869,152785912,10000,230,0.551651,32074701,0.98764
hnsw,1,16,128,37.3869,152785912,10000,240,0.563176,33163663,0.98824
