index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,16,128,29.7721,152786416,10000,10,0.0576277,3952921,0.68888
hnsw,1,16,128,29.7721,152786416,10000,20,0.0866736,5629903,0.81625
hnsw,1,16,128,29.7721,152786416,10000,30,0.113878,7174373,0.87434
hnsw,1,16,128,29.7721,152786416,10000,40,0.137108,8659909,0.90612
hnsw,1,16,128,29.7721,152786416,10000,50,0.163089,10109754,0.92671
hnsw,1,16,128,29.7721,152786416,10000,60,0.186775,11519806,0.94053
hnsw,1,16,128,29.7721,152786416,10000,70,0.208537,12898229,0.95055
hnsw,1,16,128,29.7721,152786416,10000,80,0.229137,14244697,0.95813
hnsw,1,16,128,29.7721,152786416,10000,90,0.256289,15554886,0.9636
hnsw,1,16,128,29.7721,152786416,10000,100,0.277513,16852640,0.96832
hnsw,1,16,128,29.7721,152786416,10000,110,0.29666,18119230,0.972
hnsw,1,16,128,29.7721,152786416,10000,120,0.315984,19371374,0.97479
hnsw,1,16,128,29.7721,152786416,10000,130,0.339822,20605285,0.97729
hnsw,1,16,128,29.7721,152786416,10000,140,0.359554,21821162,0.97904
hnsw,1,16,128,29.7721,152786416,10000,150,0.372809,23011487,0.98044
hnsw,1,16,128,29.7721,152786416,10000,160,0.39145,24199093,0.98195
hnsw,1,16,128,29.7721,152786416,10000,170,0.40954,25366888,0.98305
hnsw,1,16,128,29.7721,152786416,10000,180,0.431202,26517161,0.98402
hnsw,1,16,128,29.7721,152786416,10000,190,0.451358,27656862,0.98496
hnsw,1,16,128,29.7721,152786416,10000,200,0.465033,28786481,0.98574
hnsw,1,16,128,29.7721,152786416,10000,210,0.484962,29902278,0.98657
hnsw,1,16,128,29.7721,152786416,10000,220,0.500901,31009792,0.98718
hnsw,1,16,128,29.7721,152786416,10000,230,0.54167,32104518,0.9878
hnsw,1,16,128,29.7721,152786416,10000,240,0.544801,33192301,0.98841
hnsw,1,16,128,29.7721,152786416,10000,250,0.555927,34267810,0.98878
hnsw,1,16,128,29.7721,152786416,10000,260,0.574398,35334926,0.98924
hnsw,1,16,128,29.7721,152786416,10000,270,0.59014,36393502,0.98957
hnsw,1,16,128,29.7721,152786416,10000,280,0.612437,37441250,0.98988
hnsw,1,16,128,29.7721,152786416,10000,290,0.630806,38486858,0.99015
hnsw,1,16,128,29.7721,152786416,10000,300,0.647725,39521015,0.99048
