index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,16,64,24.0891,80000000,10000,10,0.0297327,1364876,0.10249
nsg,1,16,64,24.0891,80000000,10000,20,0.0496098,2621369,0.48419
nsg,1,16,64,24.0891,80000000,10000,30,0.0717695,3834439,0.64751
nsg,1,16,64,24.0891,80000000,10000,40,0.0938567,5027951,0.72486
nsg,1,16,64,24.0891,80000000,10000,50,0.118036,6202291,0.77057
nsg,1,16,64,24.0891,80000000,10000,60,0.140964,7372377,0.8015
nsg,1,16,64,24.0891,80000000,10000,70,0.166891,8532962,0.82257
nsg,1,16,64,24.0891,80000000,10000,80,0.195056,9681368,0.84033
nsg,1,16,64,24.0891,80000000,10000,90,0.226388,10827061,0.85468
nsg,1,16,64,24.0891,80000000,10000,100,0.258644,11963086,0.86563
nsg,1,16,64,24.0891,80000000,10000,110,0.293939,13098744,0.87499
nsg,1,16,64,24.0891,80000000,10000,120,0.341378,14226856,0.88232
nsg,1,16,64,24.0891,80000000,10000,130,0.379156,15352386,0.88913
nsg,1,16,64,24.0891,80000000,10000,140,0.423424,16472024,0.89443
nsg,1,16,64,24.0891,80000000,10000,150,0.466336,17593916,0.89937
nsg,1,16,64,24.0891,80000000,10000,160,0.516711,18705361,0.90393
nsg,1,16,64,24.0891,80000000,10000,170,0.569337,19816855,0.90816
nsg,1,16,64,24.0891,80000000,10000,180,0.623122,20930670,0.91198
nsg,1,16,64,24.0891,80000000,10000,190,0.66728,22040700,0.91479
nsg,1,16,64,24.0891,80000000,10000,200,0.738902,23149949,0.91834
nsg,1,16,64,24.0891,80000000,10000,210,0.796921,24249040,0.92116
nsg,1,16,64,24.0891,80000000,10000,220,0.908577,25352551,0.92398
nsg,1,16,64,24.0891,80000000,10000,230,0.946357,26450722,0.92574
nsg,1,16,64,24.0891,80000000,10000,240,1.02105,27554055,0.92835
nsg,1,16,64,24.0891,80000000,10000,250,1.08097,28649434,0.93015
nsg,1,16,64,24.0891,80000000,10000,260,1.16867,29745495,0.93186
nsg,1,16,64,24.0891,80000000,10000,270,1.23171,30839605,0.93326
nsg,1,16,64,24.0891,80000000,10000,280,1.31763,31925275,0.93523
nsg,1,16,64,24.0891,80000000,10000,290,1.41607,33023438,0.9371
nsg,1,16,64,24.0891,80000000,10000,300,1.48311,34109577,0.93848
nsg,1,16,128,46.2711,80000000,10000,10,0.0298043,1424622,0.10238
nsg,1,16,128,46.2711,80000000,10000,20,0.0555529,2754402,0.51459
nsg,1,16,128,46.2711,80000000,10000,30,0.0791723,4043421,0.68533
nsg,1,16,128,46.2711,80000000,10000,40,0.102447,5312663,0.7608
nsg,1,16,128,46.2711,80000000,10000,50,0.12712,6566349,0.80644
nsg,1,16,128,46.2711,80000000,10000,60,0.153488,7806259,0.8351
nsg,1,16,128,46.2711,80000000,10000,70,0.183579,9041118,0.85681
nsg,1,16,128,46.2711,80000000,10000,80,0.213614,10266566,0.87161
nsg,1,16,128,46.2711,80000000,10000,90,0.249286,11485902,0.88352
nsg,1,16,128,46.2711,80000000,10000,100,0.274037,12702530,0.89395
nsg,1,16,128,46.2711,80000000,10000,110,0.316543,13910113,0.90224
nsg,1,16,128,46.2711,80000000,10000,120,0.352014,15112259,0.90934
nsg,1,16,128,46.2711,80000000,10000,130,0.391858,16309917,0.91522
nsg,1,16,128,46.2711,80000000,10000,140,0.442236,17506056,0.92008
nsg,1,16,128,46.2711,80000000,10000,150,0.482363,18696479,0.92501
nsg,1,16,128,46.2711,80000000,10000,160,0.54589,19885883,0.92839
nsg,1,16,128,46.2711,80000000,10000,170,0.594241,21075196,0.93209
nsg,1,16,128,46.2711,80000000,10000,180,0.646408,22257988,0.93469
nsg,1,16,128,46.2711,80000000,10000,190,0.687637,23436892,0.93824
nsg,1,16,128,46.2711,80000000,10000,200,0.74899,24615144,0.94109
nsg,1,16,128,46.2711,80000000,10000,210,0.81408,25787038,0.94323
nsg,1,16,128,46.2711,80000000,10000,220,0.87363,26965623,0.94516
nsg,1,16,128,46.2711,80000000,10000,230,0.945471,28130995,0.94703
nsg,1,16,128,46.2711,80000000,10000,240,1.01129,29303824,0.94894
nsg,1,16,128,46.2711,80000000,10000,250,1.07436,30469184,0.95059
nsg,1,16,128,46.2711,80000000,10000,260,1.15583,31632293,0.95232
nsg,1,16,128,46.2711,80000000,10000,270,1.24821,32795535,0.95346
nsg,1,16,128,46.2711,80000000,10000,280,1.31638,33960715,0.95501
nsg,1,16,128,46.2711,80000000,10000,290,1.40658,35113712,0.95603
nsg,1,16,128,46.2711,80000000,10000,300,1.48939,36272874,0.95716
nsg,1,16,256,120.507,80000000,10000,10,0.0290273,1441728,0.10018
nsg,1,16,256,120.507,80000000,10000,20,0.0527969,2810437,0.52628
