index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,32,256,131.05,144000000,10000,10,0.0380115,2280040,0.20241
nsg,1,32,256,131.05,144000000,10000,20,0.0730492,4418234,0.67063
nsg,1,32,256,131.05,144000000,10000,30,0.10541,6511543,0.80474
nsg,1,32,256,131.05,144000000,10000,40,0.136603,8576760,0.86039
nsg,1,32,256,131.05,144000000,10000,50,0.16334,10631643,0.89135
nsg,1,32,256,131.05,144000000,10000,60,0.19119,12670618,0.9113
nsg,1,32,256,131.05,144000000,10000,70,0.228784,14691143,0.92489
nsg,1,32,256,131.05,144000000,10000,80,0.259231,16713960,0.93602
nsg,1,32,256,131.05,144000000,10000,90,0.294915,18723767,0.94308
nsg,1,32,256,131.05,144000000,10000,100,0.332584,20739469,0.94869
nsg,1,32,256,131.05,144000000,10000,110,0.370483,22746148,0.95395
nsg,1,32,256,131.05,144000000,10000,120,0.416761,24752749,0.95766
nsg,1,32,256,131.05,144000000,10000,130,0.460905,26748641,0.96136
nsg,1,32,256,131.05,144000000,10000,140,0.502385,28750738,0.96334
nsg,1,32,256,131.05,144000000,10000,150,0.55134,30730817,0.9658
nsg,1,32,256,131.05,144000000,10000,160,0.609397,32715927,0.96817
nsg,1,32,256,131.05,144000000,10000,170,0.667322,34699735,0.97022
nsg,1,32,256,131.05,144000000,10000,180,0.719795,36678383,0.97169
nsg,1,32,256,131.05,144000000,10000,190,0.777629,38662508,0.97325
nsg,1,32,256,131.05,144000000,10000,200,0.837907,40636455,0.97458
nsg,1,32,256,131.05,144000000,10000,210,0.904388,42606034,0.97549
nsg,1,32,256,131.05,144000000,10000,220,0.963971,44581371,0.97679
nsg,1,32,256,131.05,144000000,10000,230,1.0428,46528520,0.97782
nsg,1,32,256,131.05,144000000,10000,240,1.11328,48492415,0.97866
nsg,1,32,256,131.05,144000000,10000,250,1.19597,50445320,0.97961
nsg,1,32,256,131.05,144000000,10000,260,1.2727,52392555,0.98032
nsg,1,32,256,131.05,144000000,10000,270,1.36053,54336476,0.9812
nsg,1,32,256,131.05,144000000,10000,280,1.43097,56290202,0.98168
nsg,1,32,256,131.05,144000000,10000,290,1.52263,58236454,0.98239
nsg,1,32,256,131.05,144000000,10000,300,1.62724,60198341,0.98285
