index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,256,195.322,216000000,10000,1|10,0.0645187,4731792,0.8393
cspg,2,32,256,195.322,216000000,10000,1|20,0.0934524,6474766,0.93371
cspg,2,32,256,195.322,216000000,10000,1|30,0.123321,8071843,0.9648
cspg,2,32,256,195.322,216000000,10000,1|40,0.148201,9593561,0.97966
cspg,2,32,256,195.322,216000000,10000,1|50,0.172761,11075131,0.98691
cspg,2,32,256,195.322,216000000,10000,1|60,0.199771,12538227,0.99118
cspg,2,32,256,195.322,216000000,10000,1|70,0.22122,13973881,0.99401
cspg,2,32,256,195.322,216000000,10000,1|80,0.245491,15382430,0.99554
cspg,2,32,256,195.322,216000000,10000,1|90,0.26451,16769276,0.99667
cspg,2,32,256,195.322,216000000,10000,1|100,0.290047,18129745,0.99741
cspg,2,32,256,195.322,216000000,10000,1|110,0.310477,19477991,0.99798
cspg,2,32,256,195.322,216000000,10000,1|120,0.334511,20810537,0.99829
cspg,2,32,256,195.322,216000000,10000,1|130,0.355375,22115124,0.99862
cspg,2,32,256,195.322,216000000,10000,1|140,0.37726,23407903,0.99886
cspg,2,32,256,195.322,216000000,10000,1|150,0.401697,24682410,0.9991
cspg,2,32,256,195.322,216000000,10000,1|160,0.420941,25946786,0.99931
cspg,2,32,256,195.322,216000000,10000,1|170,0.442071,27194795,0.99942
cspg,2,32,256,195.322,216000000,10000,1|180,0.460103,28428279,0.99949
cspg,2,32,256,195.322,216000000,10000,1|190,0.488418,29652586,0.99955
cspg,2,32,256,195.322,216000000,10000,1|200,0.503789,30862009,0.99958
cspg,2,32,256,195.322,216000000,10000,1|210,0.527141,32068601,0.99963
cspg,2,32,256,195.322,216000000,10000,1|220,0.542996,33253555,0.99971
cspg,2,32,256,195.322,216000000,10000,1|230,0.556506,34430119,0.99975
cspg,2,32,256,195.322,216000000,10000,1|240,0.575378,35599518,0.99976
cspg,2,32,256,195.322,216000000,10000,1|250,0.603679,36762759,0.99976
cspg,2,32,256,195.322,216000000,10000,1|260,0.621484,37909694,0.99977
cspg,2,32,256,195.322,216000000,10000,1|270,0.633664,39055549,0.99978
cspg,2,32,256,195.322,216000000,10000,1|280,0.703869,40191016,0.99979
cspg,2,32,256,195.322,216000000,10000,1|290,0.680316,41319883,0.99981
cspg,2,32,256,195.322,216000000,10000,1|300,0.709807,42438047,0.99982
