index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,16,1,64,40.246,80000000,10000,10,0.028836,1437103,0.10822
vamana,1,16,1,64,40.246,80000000,10000,20,0.053595,2763574,0.52349
vamana,1,16,1,64,40.246,80000000,10000,30,0.0769731,4049247,0.68954
vamana,1,16,1,64,40.246,80000000,10000,40,0.0984296,5308069,0.76485
vamana,1,16,1,64,40.246,80000000,10000,50,0.125726,6552766,0.80849
vamana,1,16,1,64,40.246,80000000,10000,60,0.146941,7785550,0.83673
vamana,1,16,1,64,40.246,80000000,10000,70,0.176424,9010086,0.85802
vamana,1,16,1,64,40.246,80000000,10000,80,0.203736,10232959,0.87425
vamana,1,16,1,64,40.246,80000000,10000,90,0.238215,11444958,0.88603
vamana,1,16,1,64,40.246,80000000,10000,100,0.268375,12647987,0.89522
vamana,1,16,1,64,40.246,80000000,10000,110,0.307775,13849930,0.90333
vamana,1,16,1,64,40.246,80000000,10000,120,0.346996,15044144,0.91046
vamana,1,16,1,64,40.246,80000000,10000,130,0.385715,16233705,0.91651
vamana,1,16,1,64,40.246,80000000,10000,140,0.431269,17420798,0.92188
vamana,1,16,1,64,40.246,80000000,10000,150,0.485687,18604566,0.92619
vamana,1,16,1,64,40.246,80000000,10000,160,0.535303,19788915,0.93001
vamana,1,16,1,64,40.246,80000000,10000,170,0.594614,20968925,0.93366
vamana,1,16,1,64,40.246,80000000,10000,180,0.649811,22142278,0.93673
vamana,1,16,1,64,40.246,80000000,10000,190,0.697304,23317037,0.93931
vamana,1,16,1,64,40.246,80000000,10000,200,0.741689,24484156,0.94206
vamana,1,16,1,64,40.246,80000000,10000,210,0.83709,25654331,0.94442
vamana,1,16,1,64,40.246,80000000,10000,220,0.897367,26818548,0.94678
vamana,1,16,1,64,40.246,80000000,10000,230,0.981899,27988897,0.94889
vamana,1,16,1,64,40.246,80000000,10000,240,1.03332,29151413,0.95041
vamana,1,16,1,64,40.246,80000000,10000,250,1.15101,30313019,0.95222
vamana,1,16,1,64,40.246,80000000,10000,260,1.23389,31468223,0.95347
vamana,1,16,1,64,40.246,80000000,10000,270,1.38123,32624694,0.95487
vamana,1,16,1,64,40.246,80000000,10000,280,1.3966,33781353,0.95624
vamana,1,16,1,64,40.246,80000000,10000,290,1.49646,34939286,0.95778
vamana,1,16,1,64,40.246,80000000,10000,300,1.56878,36095427,0.95864
vamana,1,16,1,128,85.691,80000000,10000,10,0.0285145,1482047,0.10695
vamana,1,16,1,128,85.691,80000000,10000,20,0.0550584,2870820,0.53763
vamana,1,16,1,128,85.691,80000000,10000,30,0.0780749,4219409,0.70606
vamana,1,16,1,128,85.691,80000000,10000,40,0.102797,5543110,0.7787
vamana,1,16,1,128,85.691,80000000,10000,50,0.126129,6852166,0.82236
vamana,1,16,1,128,85.691,80000000,10000,60,0.151574,8150876,0.85075
vamana,1,16,1,128,85.691,80000000,10000,70,0.179129,9441758,0.8701
vamana,1,16,1,128,85.691,80000000,10000,80,0.210086,10718936,0.88425
vamana,1,16,1,128,85.691,80000000,10000,90,0.238805,11993757,0.89632
vamana,1,16,1,128,85.691,80000000,10000,100,0.272638,13261325,0.90562
vamana,1,16,1,128,85.691,80000000,10000,110,0.308133,14524928,0.91363
vamana,1,16,1,128,85.691,80000000,10000,120,0.346462,15786383,0.92039
vamana,1,16,1,128,85.691,80000000,10000,130,0.395848,17045808,0.92579
vamana,1,16,1,128,85.691,80000000,10000,140,0.440449,18294849,0.93067
vamana,1,16,1,128,85.691,80000000,10000,150,0.492625,19543744,0.93469
vamana,1,16,1,128,85.691,80000000,10000,160,0.543625,20786789,0.93815
vamana,1,16,1,128,85.691,80000000,10000,170,0.597727,22026170,0.9411
vamana,1,16,1,128,85.691,80000000,10000,180,0.652381,23264957,0.94405
vamana,1,16,1,128,85.691,80000000,10000,190,0.714827,24499721,0.94672
vamana,1,16,1,128,85.691,80000000,10000,200,0.761568,25730682,0.94886
vamana,1,16,1,128,85.691,80000000,10000,210,0.83175,26963650,0.95088
vamana,1,16,1,128,85.691,80000000,10000,220,0.915171,28186127,0.95287
vamana,1,16,1,128,85.691,80000000,10000,230,0.994696,29415410,0.955
vamana,1,16,1,128,85.691,80000000,10000,240,1.07125,30641964,0.95685
vamana,1,16,1,128,85.691,80000000,10000,250,1.15182,31864869,0.95805
vamana,1,16,1,128,85.691,80000000,10000,260,1.22145,33083687,0.95959
vamana,1,16,1,128,85.691,80000000,10000,270,1.32177,34309219,0.96085
vamana,1,16,1,128,85.691,80000000,10000,280,1.40782,35521786,0.96205
vamana,1,16,1,128,85.691,80000000,10000,290,1.47334,36739248,0.963
vamana,1,16,1,128,85.691,80000000,10000,300,1.4978,37957135,0.96411
vamana,1,16,1,256,237.26,80000000,10000,10,0.0293074,1503284,0.10937
vamana,1,16,1,256,237.26,80000000,10000,20,0.0553693,2925436,0.54254
vamana,1,16,1,256,237.26,80000000,10000,30,0.0794412,4307624,0.71493
vamana,1,16,1,256,237.26,80000000,10000,40,0.103904,5665456,0.78623
vamana,1,16,1,256,237.26,80000000,10000,50,0.127699,7010500,0.82857
vamana,1,16,1,256,237.26,80000000,10000,60,0.153896,8342987,0.85593
vamana,1,16,1,256,237.26,80000000,10000,70,0.180352,9665481,0.87469
vamana,1,16,1,256,237.26,80000000,10000,80,0.211461,10983323,0.89018
vamana,1,16,1,256,237.26,80000000,10000,90,0.252713,12290661,0.90123
vamana,1,16,1,256,237.26,80000000,10000,100,0.274315,13594042,0.91005
vamana,1,16,1,256,237.26,80000000,10000,110,0.31483,14893582,0.91774
vamana,1,16,1,256,237.26,80000000,10000,120,0.355053,16188644,0.924
vamana,1,16,1,256,237.26,80000000,10000,130,0.405968,17473995,0.92851
vamana,1,16,1,256,237.26,80000000,10000,140,0.432571,18759036,0.93359
vamana,1,16,1,256,237.26,80000000,10000,150,0.483841,20040129,0.93761
vamana,1,16,1,256,237.26,80000000,10000,160,0.521436,21320404,0.94103
vamana,1,16,1,256,237.26,80000000,10000,170,0.575298,22596246,0.94381
vamana,1,16,1,256,237.26,80000000,10000,180,0.635432,23870135,0.94662
vamana,1,16,1,256,237.26,80000000,10000,190,0.691345,25137816,0.94947
vamana,1,16,1,256,237.26,80000000,10000,200,0.746218,26403014,0.95171
vamana,1,16,1,256,237.26,80000000,10000,210,0.809237,27669020,0.95395
vamana,1,16,1,256,237.26,80000000,10000,220,0.880832,28934461,0.95596
vamana,1,16,1,256,237.26,80000000,10000,230,0.959366,30191583,0.95768
vamana,1,16,1,256,237.26,80000000,10000,240,1.04844,31446737,0.95918
vamana,1,16,1,256,237.26,80000000,10000,250,1.14525,32701857,0.96051
vamana,1,16,1,256,237.26,80000000,10000,260,1.24679,33954914,0.96204
vamana,1,16,1,256,237.26,80000000,10000,270,1.33144,35207673,0.96342
vamana,1,16,1,256,237.26,80000000,10000,280,1.37003,36466347,0.96468
vamana,1,16,1,256,237.26,80000000,10000,290,1.4726,37713966,0.96605
vamana,1,16,1,256,237.26,80000000,10000,300,1.59366,38963268,0.96675
vamana,1,16,1.2,64,41.0579,80000000,10000,10,0.0267157,1536870,0.07347
