index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,32,1.2,64,53.8212,144000000,10000,10,0.0451001,2840652,0.23783
vamana,1,32,1.2,64,53.8212,144000000,10000,20,0.0826233,5436075,0.75015
vamana,1,32,1.2,64,53.8212,144000000,10000,30,0.117793,7978195,0.8492
vamana,1,32,1.2,64,53.8212,144000000,10000,40,0.147165,10494380,0.89042
vamana,1,32,1.2,64,53.8212,144000000,10000,50,0.172332,12991571,0.91088
vamana,1,32,1.2,64,53.8212,144000000,10000,60,0.198523,15474006,0.92469
vamana,1,32,1.2,64,53.8212,144000000,10000,70,0.230948,17947077,0.93545
vamana,1,32,1.2,64,53.8212,144000000,10000,80,0.267357,20407872,0.94225
vamana,1,32,1.2,64,53.8212,144000000,10000,90,0.302579,22863410,0.9485
vamana,1,32,1.2,64,53.8212,144000000,10000,100,0.343903,25314121,0.95339
vamana,1,32,1.2,64,53.8212,144000000,10000,110,0.368482,27753143,0.95654
vamana,1,32,1.2,64,53.8212,144000000,10000,120,0.40685,30184681,0.95931
vamana,1,32,1.2,64,53.8212,144000000,10000,130,0.454059,32610190,0.96252
vamana,1,32,1.2,64,53.8212,144000000,10000,140,0.513823,35050872,0.96464
vamana,1,32,1.2,64,53.8212,144000000,10000,150,0.56469,37490954,0.96724
vamana,1,32,1.2,64,53.8212,144000000,10000,160,0.602167,39910197,0.96851
vamana,1,32,1.2,64,53.8212,144000000,10000,170,0.658681,42334433,0.97038
vamana,1,32,1.2,64,53.8212,144000000,10000,180,0.720396,44740685,0.97171
vamana,1,32,1.2,64,53.8212,144000000,10000,190,0.777121,47163762,0.9727
vamana,1,32,1.2,64,53.8212,144000000,10000,200,0.835528,49577709,0.97393
vamana,1,32,1.2,64,53.8212,144000000,10000,210,0.897513,51993989,0.97496
vamana,1,32,1.2,64,53.8212,144000000,10000,220,1.0296,54399759,0.97592
vamana,1,32,1.2,64,53.8212,144000000,10000,230,1.05106,56813465,0.97697
vamana,1,32,1.2,64,53.8212,144000000,10000,240,1.11965,59219795,0.97743
vamana,1,32,1.2,64,53.8212,144000000,10000,250,1.24305,61618177,0.97813
vamana,1,32,1.2,64,53.8212,144000000,10000,260,1.31107,64015717,0.97862
vamana,1,32,1.2,64,53.8212,144000000,10000,270,1.38281,66418946,0.9794
vamana,1,32,1.2,64,53.8212,144000000,10000,280,1.44893,68830645,0.98054
vamana,1,32,1.2,64,53.8212,144000000,10000,290,1.51727,71207798,0.9811
vamana,1,32,1.2,64,53.8212,144000000,10000,300,1.63116,73598762,0.98127
