index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng,1,5,750,3,251.883,44492184,1000,10,0.0380166,112959,0.0227
hcnng,1,5,750,3,251.883,44492184,1000,20,0.0284297,228246,0.1243
hcnng,1,5,750,3,251.883,44492184,1000,30,0.0405912,340889,0.239
hcnng,1,5,750,3,251.883,44492184,1000,40,0.0511176,453965,0.3213
hcnng,1,5,750,3,251.883,44492184,1000,50,0.0624748,564777,0.3758
hcnng,1,5,750,3,251.883,44492184,1000,60,0.0716515,676132,0.4232
hcnng,1,5,750,3,251.883,44492184,1000,70,0.0810599,786685,0.4694
hcnng,1,5,750,3,251.883,44492184,1000,80,0.0919346,897986,0.5015
hcnng,1,5,750,3,251.883,44492184,1000,90,0.102946,1007747,0.5404
hcnng,1,5,750,3,251.883,44492184,1000,100,0.112192,1118541,0.5621
hcnng,1,5,750,3,251.883,44492184,1000,110,0.120704,1227817,0.588
hcnng,1,5,750,3,251.883,44492184,1000,120,0.130901,1339130,0.6068
hcnng,1,5,750,3,251.883,44492184,1000,130,0.138756,1447649,0.6234
hcnng,1,5,750,3,251.883,44492184,1000,140,0.150262,1555567,0.6424
hcnng,1,5,750,3,251.883,44492184,1000,150,0.159213,1663701,0.6597
hcnng,1,5,750,3,251.883,44492184,1000,160,0.16796,1774550,0.6733
hcnng,1,5,750,3,251.883,44492184,1000,170,0.178361,1880833,0.6853
hcnng,1,5,750,3,251.883,44492184,1000,180,0.19039,1989740,0.7025
hcnng,1,5,750,3,251.883,44492184,1000,190,0.198815,2096282,0.7137
hcnng,1,5,750,3,251.883,44492184,1000,200,0.207185,2205279,0.7233
hcnng,1,5,750,3,251.883,44492184,1000,210,0.217676,2312437,0.7357
hcnng,1,5,750,3,251.883,44492184,1000,220,0.228727,2420678,0.7428
hcnng,1,5,750,3,251.883,44492184,1000,230,0.23385,2526883,0.7528
hcnng,1,5,750,3,251.883,44492184,1000,240,0.247295,2634585,0.7587
hcnng,1,5,750,3,251.883,44492184,1000,250,0.258038,2739560,0.7652
hcnng,1,5,750,3,251.883,44492184,1000,260,0.268768,2847306,0.7741
hcnng,1,5,750,3,251.883,44492184,1000,270,0.280023,2954719,0.7803
hcnng,1,5,750,3,251.883,44492184,1000,280,0.292294,3061704,0.7867
hcnng,1,5,750,3,251.883,44492184,1000,290,0.303031,3167616,0.7922
hcnng,1,5,750,3,251.883,44492184,1000,300,0.315976,3274423,0.7983
hcnng,1,5,750,5,250.623,44370600,1000,10,0.041881,150183,0.0241
hcnng,1,5,750,5,250.623,44370600,1000,20,0.0354585,308423,0.1621
hcnng,1,5,750,5,250.623,44370600,1000,30,0.0492489,462041,0.2835
hcnng,1,5,750,5,250.623,44370600,1000,40,0.0635149,611197,0.3726
hcnng,1,5,750,5,250.623,44370600,1000,50,0.0759726,762749,0.4307
hcnng,1,5,750,5,250.623,44370600,1000,60,0.089865,912099,0.4722
hcnng,1,5,750,5,250.623,44370600,1000,70,0.10345,1061308,0.5182
hcnng,1,5,750,5,250.623,44370600,1000,80,0.11658,1208247,0.5489
hcnng,1,5,750,5,250.623,44370600,1000,90,0.129687,1356475,0.5808
hcnng,1,5,750,5,250.623,44370600,1000,100,0.143837,1502119,0.607
hcnng,1,5,750,5,250.623,44370600,1000,110,0.156306,1647746,0.6265
hcnng,1,5,750,5,250.623,44370600,1000,120,0.170027,1793585,0.6489
hcnng,1,5,750,5,250.623,44370600,1000,130,0.183083,1938138,0.6691
hcnng,1,5,750,5,250.623,44370600,1000,140,0.196296,2083033,0.6823
hcnng,1,5,750,5,250.623,44370600,1000,150,0.210563,2230196,0.6958
hcnng,1,5,750,5,250.623,44370600,1000,160,0.219657,2376004,0.7116
hcnng,1,5,750,5,250.623,44370600,1000,170,0.232291,2515496,0.7219
hcnng,1,5,750,5,250.623,44370600,1000,180,0.244334,2660464,0.7359
hcnng,1,5,750,5,250.623,44370600,1000,190,0.259328,2806633,0.747
hcnng,1,5,750,5,250.623,44370600,1000,200,0.271535,2946304,0.7546
hcnng,1,5,750,5,250.623,44370600,1000,210,0.282324,3091660,0.7618
hcnng,1,5,750,5,250.623,44370600,1000,220,0.295665,3233549,0.7682
hcnng,1,5,750,5,250.623,44370600,1000,230,0.31011,3371455,0.7769
hcnng,1,5,750,5,250.623,44370600,1000,240,0.322804,3516713,0.7827
hcnng,1,5,750,5,250.623,44370600,1000,250,0.335288,3658412,0.7903
hcnng,1,5,750,5,250.623,44370600,1000,260,0.345539,3800473,0.7978
hcnng,1,5,750,5,250.623,44370600,1000,270,0.360512,3941049,0.8033
hcnng,1,5,750,5,250.623,44370600,1000,280,0.374722,4083997,0.8094
hcnng,1,5,750,5,250.623,44370600,1000,290,0.389686,4220514,0.8157
hcnng,1,5,750,5,250.623,44370600,1000,300,0.403855,4364936,0.8207
hcnng,1,5,750,7,246.394,44358088,1000,10,0.048175,177577,0.0267
hcnng,1,5,750,7,246.394,44358088,1000,20,0.0377203,359915,0.171
hcnng,1,5,750,7,246.394,44358088,1000,30,0.0547257,539374,0.296
hcnng,1,5,750,7,246.394,44358088,1000,40,0.0708926,719255,0.3806
hcnng,1,5,750,7,246.394,44358088,1000,50,0.0856543,891736,0.4527
hcnng,1,5,750,7,246.394,44358088,1000,60,0.101387,1065734,0.4971
hcnng,1,5,750,7,246.394,44358088,1000,70,0.116215,1234949,0.5404
hcnng,1,5,750,7,246.394,44358088,1000,80,0.130237,1410500,0.5708
hcnng,1,5,750,7,246.394,44358088,1000,90,0.144037,1575568,0.6
hcnng,1,5,750,7,246.394,44358088,1000,100,0.158334,1748922,0.6222
hcnng,1,5,750,7,246.394,44358088,1000,110,0.170843,1916548,0.6463
hcnng,1,5,750,7,246.394,44358088,1000,120,0.186757,2089656,0.6635
hcnng,1,5,750,7,246.394,44358088,1000,130,0.199623,2257824,0.684
hcnng,1,5,750,7,246.394,44358088,1000,140,0.212852,2422602,0.6987
hcnng,1,5,750,7,246.394,44358088,1000,150,0.229498,2589660,0.7126
hcnng,1,5,750,7,246.394,44358088,1000,160,0.242041,2756486,0.7281
hcnng,1,5,750,7,246.394,44358088,1000,170,0.253263,2925159,0.7393
hcnng,1,5,750,7,246.394,44358088,1000,180,0.268835,3089751,0.7489
hcnng,1,5,750,7,246.394,44358088,1000,190,0.2836,3253910,0.7593
hcnng,1,5,750,7,246.394,44358088,1000,200,0.296847,3417638,0.767
hcnng,1,5,750,7,246.394,44358088,1000,210,0.310541,3584951,0.7779
hcnng,1,5,750,7,246.394,44358088,1000,220,0.326495,3744578,0.7844
