index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng,1,15,1250,3,553.541,102279872,1000,10,0.0356785,307822,0.0967
hcnng,1,15,1250,3,553.541,102279872,1000,20,0.0561357,608479,0.4047
hcnng,1,15,1250,3,553.541,102279872,1000,30,0.0769056,904326,0.5529
hcnng,1,15,1250,3,553.541,102279872,1000,40,0.0950013,1196109,0.6409
hcnng,1,15,1250,3,553.541,102279872,1000,50,0.116792,1489104,0.7002
hcnng,1,15,1250,3,553.541,102279872,1000,60,0.134067,1780362,0.7429
hcnng,1,15,1250,3,553.541,102279872,1000,70,0.148292,2071977,0.7717
hcnng,1,15,1250,3,553.541,102279872,1000,80,0.164119,2360859,0.7936
hcnng,1,15,1250,3,553.541,102279872,1000,90,0.182079,2653543,0.821
hcnng,1,15,1250,3,553.541,102279872,1000,100,0.192589,2941005,0.8358
hcnng,1,15,1250,3,553.541,102279872,1000,110,0.209376,3231327,0.8497
hcnng,1,15,1250,3,553.541,102279872,1000,120,0.226682,3517250,0.8606
hcnng,1,15,1250,3,553.541,102279872,1000,130,0.241404,3800251,0.8699
hcnng,1,15,1250,3,553.541,102279872,1000,140,0.258811,4093416,0.8812
hcnng,1,15,1250,3,553.541,102279872,1000,150,0.272462,4376809,0.8881
hcnng,1,15,1250,3,553.541,102279872,1000,160,0.286575,4667355,0.8952
hcnng,1,15,1250,3,553.541,102279872,1000,170,0.30228,4953509,0.9
hcnng,1,15,1250,3,553.541,102279872,1000,180,0.317688,5243458,0.9057
hcnng,1,15,1250,3,553.541,102279872,1000,190,0.346847,5522936,0.9128
hcnng,1,15,1250,3,553.541,102279872,1000,200,0.356284,5812474,0.918
hcnng,1,15,1250,3,553.541,102279872,1000,210,0.359139,6094960,0.9215
hcnng,1,15,1250,3,553.541,102279872,1000,220,0.370385,6379371,0.923
hcnng,1,15,1250,3,553.541,102279872,1000,230,0.386255,6661694,0.9277
hcnng,1,15,1250,3,553.541,102279872,1000,240,0.401515,6947831,0.9299
hcnng,1,15,1250,3,553.541,102279872,1000,250,0.417312,7234815,0.9329
hcnng,1,15,1250,3,553.541,102279872,1000,260,0.432947,7514695,0.9366
hcnng,1,15,1250,3,553.541,102279872,1000,270,0.448389,7796284,0.938
hcnng,1,15,1250,3,553.541,102279872,1000,280,0.471189,8083628,0.9402
hcnng,1,15,1250,3,553.541,102279872,1000,290,0.479805,8366528,0.9436
hcnng,1,15,1250,3,553.541,102279872,1000,300,0.496372,8648998,0.9447
