index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,16,64,96.2528,152785840,1000,10,0.0291929,402548,0.3464
hnsw,1,16,64,96.2528,152785840,1000,20,0.0475737,591696,0.4611
hnsw,1,16,64,96.2528,152785840,1000,30,0.0639191,761582,0.5369
hnsw,1,16,64,96.2528,152785840,1000,40,0.0782625,920485,0.591
hnsw,1,16,64,96.2528,152785840,1000,50,0.0940215,1073057,0.6286
hnsw,1,16,64,96.2528,152785840,1000,60,0.10879,1223396,0.6584
hnsw,1,16,64,96.2528,152785840,1000,70,0.122725,1366275,0.6839
hnsw,1,16,64,96.2528,152785840,1000,80,0.134994,1509426,0.7048
hnsw,1,16,64,96.2528,152785840,1000,90,0.149965,1650549,0.7242
hnsw,1,16,64,96.2528,152785840,1000,100,0.164015,1791604,0.7399
hnsw,1,16,64,96.2528,152785840,1000,110,0.176034,1925980,0.7533
hnsw,1,16,64,96.2528,152785840,1000,120,0.187556,2060850,0.7677
hnsw,1,16,64,96.2528,152785840,1000,130,0.202256,2191776,0.7782
hnsw,1,16,64,96.2528,152785840,1000,140,0.21501,2328143,0.7898
hnsw,1,16,64,96.2528,152785840,1000,150,0.227263,2459724,0.7991
hnsw,1,16,64,96.2528,152785840,1000,160,0.239039,2590163,0.8061
hnsw,1,16,64,96.2528,152785840,1000,170,0.248614,2717800,0.8129
hnsw,1,16,64,96.2528,152785840,1000,180,0.262819,2845968,0.8193
hnsw,1,16,64,96.2528,152785840,1000,190,0.274242,2973463,0.826
hnsw,1,16,64,96.2528,152785840,1000,200,0.285122,3100002,0.832
hnsw,1,16,64,96.2528,152785840,1000,210,0.297857,3226779,0.8367
hnsw,1,16,64,96.2528,152785840,1000,220,0.308858,3351385,0.8416
hnsw,1,16,64,96.2528,152785840,1000,230,0.319329,3477066,0.8484
hnsw,1,16,64,96.2528,152785840,1000,240,0.327478,3597519,0.8527
hnsw,1,16,64,96.2528,152785840,1000,250,0.341432,3720222,0.8569
hnsw,1,16,64,96.2528,152785840,1000,260,0.354713,3840630,0.8607
hnsw,1,16,64,96.2528,152785840,1000,270,0.36594,3960156,0.865
hnsw,1,16,64,96.2528,152785840,1000,280,0.379355,4081897,0.8681
hnsw,1,16,64,96.2528,152785840,1000,290,0.384097,4199727,0.8708
hnsw,1,16,64,96.2528,152785840,1000,300,0.399461,4318115,0.8739
hnsw,1,16,128,184.986,152786704,1000,10,0.0329137,440567,0.39
hnsw,1,16,128,184.986,152786704,1000,20,0.0523858,645949,0.5167
hnsw,1,16,128,184.986,152786704,1000,30,0.069029,838675,0.5998
hnsw,1,16,128,184.986,152786704,1000,40,0.0866697,1016704,0.6524
hnsw,1,16,128,184.986,152786704,1000,50,0.100577,1186695,0.6903
hnsw,1,16,128,184.986,152786704,1000,60,0.115127,1355893,0.7225
hnsw,1,16,128,184.986,152786704,1000,70,0.130484,1518326,0.7478
hnsw,1,16,128,184.986,152786704,1000,80,0.144723,1680023,0.7691
hnsw,1,16,128,184.986,152786704,1000,90,0.160164,1839859,0.7894
hnsw,1,16,128,184.986,152786704,1000,100,0.174017,1999540,0.8036
hnsw,1,16,128,184.986,152786704,1000,110,0.187784,2155924,0.814
hnsw,1,16,128,184.986,152786704,1000,120,0.2023,2312850,0.8264
hnsw,1,16,128,184.986,152786704,1000,130,0.215423,2466300,0.8367
hnsw,1,16,128,184.986,152786704,1000,140,0.228815,2617903,0.8451
hnsw,1,16,128,184.986,152786704,1000,150,0.243048,2768904,0.8546
hnsw,1,16,128,184.986,152786704,1000,160,0.255051,2917956,0.8625
hnsw,1,16,128,184.986,152786704,1000,170,0.269224,3064570,0.8686
hnsw,1,16,128,184.986,152786704,1000,180,0.281052,3212588,0.8742
hnsw,1,16,128,184.986,152786704,1000,190,0.294202,3356713,0.8802
hnsw,1,16,128,184.986,152786704,1000,200,0.305253,3501029,0.8857
hnsw,1,16,128,184.986,152786704,1000,210,0.321425,3646724,0.8893
hnsw,1,16,128,184.986,152786704,1000,220,0.332748,3789728,0.8944
hnsw,1,16,128,184.986,152786704,1000,230,0.343966,3929670,0.8976
hnsw,1,16,128,184.986,152786704,1000,240,0.358596,4068298,0.9012
hnsw,1,16,128,184.986,152786704,1000,250,0.371951,4207018,0.905
hnsw,1,16,128,184.986,152786704,1000,260,0.379492,4348508,0.9091
hnsw,1,16,128,184.986,152786704,1000,270,0.39301,4482297,0.9124
hnsw,1,16,128,184.986,152786704,1000,280,0.406902,4618291,0.9144
hnsw,1,16,128,184.986,152786704,1000,290,0.41875,4753304,0.9168
hnsw,1,16,128,184.986,152786704,1000,300,0.433215,4884202,0.9182
hnsw,1,16,256,357.776,152786344,1000,10,0.0355551,464179,0.4101
hnsw,1,16,256,357.776,152786344,1000,20,0.0545284,683552,0.5392
hnsw,1,16,256,357.776,152786344,1000,30,0.0740441,890983,0.6227
hnsw,1,16,256,357.776,152786344,1000,40,0.0903722,1083855,0.6795
hnsw,1,16,256,357.776,152786344,1000,50,0.106138,1265443,0.72
hnsw,1,16,256,357.776,152786344,1000,60,0.121124,1449112,0.75
hnsw,1,16,256,357.776,152786344,1000,70,0.134939,1627990,0.7757
hnsw,1,16,256,357.776,152786344,1000,80,0.155526,1806606,0.7972
hnsw,1,16,256,357.776,152786344,1000,90,0.170386,1983486,0.8166
hnsw,1,16,256,357.776,152786344,1000,100,0.18517,2157234,0.8336
hnsw,1,16,256,357.776,152786344,1000,110,0.199285,2328771,0.846
hnsw,1,16,256,357.776,152786344,1000,120,0.215513,2500869,0.8575
hnsw,1,16,256,357.776,152786344,1000,130,0.228231,2666976,0.8663
hnsw,1,16,256,357.776,152786344,1000,140,0.242971,2834480,0.878
hnsw,1,16,256,357.776,152786344,1000,150,0.258852,3000903,0.8848
hnsw,1,16,256,357.776,152786344,1000,160,0.276113,3162723,0.8923
hnsw,1,16,256,357.776,152786344,1000,170,0.287985,3327289,0.8977
hnsw,1,16,256,357.776,152786344,1000,180,0.303932,3485949,0.9029
hnsw,1,16,256,357.776,152786344,1000,190,0.31766,3645422,0.9079
hnsw,1,16,256,357.776,152786344,1000,200,0.33117,3803368,0.9129
hnsw,1,16,256,357.776,152786344,1000,210,0.343134,3959623,0.9174
hnsw,1,16,256,357.776,152786344,1000,220,0.364521,4118979,0.9231
hnsw,1,16,256,357.776,152786344,1000,230,0.373222,4271824,0.9261
hnsw,1,16,256,357.776,152786344,1000,240,0.387566,4423599,0.9292
hnsw,1,16,256,357.776,152786344,1000,250,0.399196,4576362,0.9331
hnsw,1,16,256,357.776,152786344,1000,260,0.414578,4726738,0.9362
hnsw,1,16,256,357.776,152786344,1000,270,0.426513,4877222,0.9387
hnsw,1,16,256,357.776,152786344,1000,280,0.442237,5027174,0.9409
hnsw,1,16,256,357.776,152786344,1000,290,0.453273,5175575,0.9437
hnsw,1,16,256,357.776,152786344,1000,300,0.466271,5323373,0.9454
hnsw,1,32,64,119.079,280377024,1000,10,0.0398753,559039,0.3983
hnsw,1,32,64,119.079,280377024,1000,20,0.0644933,812569,0.5246
hnsw,1,32,64,119.079,280377024,1000,30,0.0821638,1033411,0.5992
hnsw,1,32,64,119.079,280377024,1000,40,0.100125,1241939,0.6506
hnsw,1,32,64,119.079,280377024,1000,50,0.118151,1445583,0.6898
hnsw,1,32,64,119.079,280377024,1000,60,0.136569,1644634,0.7198
hnsw,1,32,64,119.079,280377024,1000,70,0.152628,1839474,0.7446
hnsw,1,32,64,119.079,280377024,1000,80,0.169215,2028199,0.7627
hnsw,1,32,64,119.079,280377024,1000,90,0.188941,2217765,0.7832
hnsw,1,32,64,119.079,280377024,1000,100,0.203446,2402426,0.7973
hnsw,1,32,64,119.079,280377024,1000,110,0.216776,2582283,0.8128
hnsw,1,32,64,119.079,280377024,1000,120,0.231472,2763783,0.8249
hnsw,1,32,64,119.079,280377024,1000,130,0.248534,2940885,0.8362
hnsw,1,32,64,119.079,280377024,1000,140,0.264928,3114621,0.8437
hnsw,1,32,64,119.079,280377024,1000,150,0.280121,3289233,0.8509
hnsw,1,32,64,119.079,280377024,1000,160,0.297038,3462744,0.8584
hnsw,1,32,64,119.079,280377024,1000,170,0.311319,3633164,0.8655
hnsw,1,32,64,119.079,280377024,1000,180,0.326284,3798509,0.8719
hnsw,1,32,64,119.079,280377024,1000,190,0.341628,3963199,0.8779
hnsw,1,32,64,119.079,280377024,1000,200,0.357889,4128561,0.8835
hnsw,1,32,64,119.079,280377024,1000,210,0.369042,4290160,0.8886
hnsw,1,32,64,119.079,280377024,1000,220,0.380121,4448565,0.8923
hnsw,1,32,64,119.079,280377024,1000,230,0.390628,4607224,0.8966
hnsw,1,32,64,119.079,280377024,1000,240,0.411058,4767122,0.9009
hnsw,1,32,64,119.079,280377024,1000,250,0.423103,4924610,0.9045
hnsw,1,32,64,119.079,280377024,1000,260,0.4389,5082327,0.908
hnsw,1,32,64,119.079,280377024,1000,270,0.449939,5238152,0.9106
hnsw,1,32,64,119.079,280377024,1000,280,0.465489,5389765,0.9133
hnsw,1,32,64,119.079,280377024,1000,290,0.477799,5545016,0.9162
hnsw,1,32,64,119.079,280377024,1000,300,0.490357,5695053,0.9193
hnsw,1,32,128,240.217,280376616,1000,10,0.0460683,626714,0.4586
hnsw,1,32,128,240.217,280376616,1000,20,0.0710694,913622,0.5915
hnsw,1,32,128,240.217,280376616,1000,30,0.0942217,1179865,0.671
hnsw,1,32,128,240.217,280376616,1000,40,0.11732,1429031,0.7269
hnsw,1,32,128,240.217,280376616,1000,50,0.139225,1670712,0.7629
hnsw,1,32,128,240.217,280376616,1000,60,0.156938,1902294,0.79
hnsw,1,32,128,240.217,280376616,1000,70,0.176433,2132478,0.8137
hnsw,1,32,128,240.217,280376616,1000,80,0.195087,2356872,0.8314
hnsw,1,32,128,240.217,280376616,1000,90,0.214079,2582196,0.845
hnsw,1,32,128,240.217,280376616,1000,100,0.233868,2807613,0.8592
hnsw,1,32,128,240.217,280376616,1000,110,0.259934,3025841,0.8713
hnsw,1,32,128,240.217,280376616,1000,120,0.272525,3240131,0.8814
hnsw,1,32,128,240.217,280376616,1000,130,0.290251,3454637,0.8895
hnsw,1,32,128,240.217,280376616,1000,140,0.309354,3659246,0.8961
hnsw,1,32,128,240.217,280376616,1000,150,0.323481,3868164,0.9014
hnsw,1,32,128,240.217,280376616,1000,160,0.340415,4072367,0.9067
hnsw,1,32,128,240.217,280376616,1000,170,0.359755,4274724,0.9122
hnsw,1,32,128,240.217,280376616,1000,180,0.379958,4472067,0.9171
hnsw,1,32,128,240.217,280376616,1000,190,0.392572,4669835,0.9219
hnsw,1,32,128,240.217,280376616,1000,200,0.40386,4865026,0.9259
hnsw,1,32,128,240.217,280376616,1000,210,0.428352,5059863,0.9294
hnsw,1,32,128,240.217,280376616,1000,220,0.447402,5252805,0.9325
hnsw,1,32,128,240.217,280376616,1000,230,0.461017,5446144,0.935
hnsw,1,32,128,240.217,280376616,1000,240,0.479122,5633782,0.9374
hnsw,1,32,128,240.217,280376616,1000,250,0.493934,5818428,0.9407
hnsw,1,32,128,240.217,280376616,1000,260,0.515442,6000838,0.9432
hnsw,1,32,128,240.217,280376616,1000,270,0.531021,6184282,0.9446
hnsw,1,32,128,240.217,280376616,1000,280,0.543556,6368078,0.9473
hnsw,1,32,128,240.217,280376616,1000,290,0.557363,6550221,0.9495
hnsw,1,32,128,240.217,280376616,1000,300,0.579984,6729706,0.9523
hnsw,1,32,256,480.407,280377024,1000,10,0.050802,694559,0.4994
hnsw,1,32,256,480.407,280377024,1000,20,0.080376,1027167,0.6399
hnsw,1,32,256,480.407,280377024,1000,30,0.107932,1322818,0.7216
hnsw,1,32,256,480.407,280377024,1000,40,0.130187,1606318,0.7731
hnsw,1,32,256,480.407,280377024,1000,50,0.155757,1885403,0.8106
hnsw,1,32,256,480.407,280377024,1000,60,0.178117,2160902,0.8381
hnsw,1,32,256,480.407,280377024,1000,70,0.202588,2432979,0.858
hnsw,1,32,256,480.407,280377024,1000,80,0.22467,2696919,0.8753
hnsw,1,32,256,480.407,280377024,1000,90,0.245207,2955691,0.8884
hnsw,1,32,256,480.407,280377024,1000,100,0.268755,3214691,0.9002
hnsw,1,32,256,480.407,280377024,1000,110,0.28971,3466803,0.9075
hnsw,1,32,256,480.407,280377024,1000,120,0.306368,3717898,0.9168
hnsw,1,32,256,480.407,280377024,1000,130,0.326408,3963095,0.9236
hnsw,1,32,256,480.407,280377024,1000,140,0.351147,4205028,0.929
hnsw,1,32,256,480.407,280377024,1000,150,0.374839,4446253,0.9354
hnsw,1,32,256,480.407,280377024,1000,160,0.399379,4683066,0.9387
hnsw,1,32,256,480.407,280377024,1000,170,0.415728,4918477,0.9427
hnsw,1,32,256,480.407,280377024,1000,180,0.434277,5149197,0.9466
hnsw,1,32,256,480.407,280377024,1000,190,0.453108,5379881,0.9501
hnsw,1,32,256,480.407,280377024,1000,200,0.470026,5606729,0.9541
hnsw,1,32,256,480.407,280377024,1000,210,0.490566,5830878,0.9564
hnsw,1,32,256,480.407,280377024,1000,220,0.509358,6054589,0.9587
hnsw,1,32,256,480.407,280377024,1000,230,0.528155,6273245,0.9604
hnsw,1,32,256,480.407,280377024,1000,240,0.542012,6494149,0.963
hnsw,1,32,256,480.407,280377024,1000,250,0.566686,6710913,0.964
hnsw,1,32,256,480.407,280377024,1000,260,0.585753,6921948,0.9655
hnsw,1,32,256,480.407,280377024,1000,270,0.602817,7135303,0.9681
hnsw,1,32,256,480.407,280377024,1000,280,0.620544,7345306,0.9699
hnsw,1,32,256,480.407,280377024,1000,290,0.650502,7555924,0.9706
hnsw,1,32,256,480.407,280377024,1000,300,0.657791,7762440,0.9716
hnsw,1,64,64,135.983,536144008,1000,10,0.0495763,631498,0.431
hnsw,1,64,64,135.983,536144008,1000,20,0.0750092,933700,0.5561
hnsw,1,64,64,135.983,536144008,1000,30,0.0997995,1196147,0.6277
hnsw,1,64,64,135.983,536144008,1000,40,0.126129,1441649,0.6756
hnsw,1,64,64,135.983,536144008,1000,50,0.142329,1679414,0.7166
hnsw,1,64,64,135.983,536144008,1000,60,0.161103,1912795,0.7451
hnsw,1,64,64,135.983,536144008,1000,70,0.177239,2134283,0.7695
hnsw,1,64,64,135.983,536144008,1000,80,0.195679,2355555,0.788
hnsw,1,64,64,135.983,536144008,1000,90,0.213327,2573349,0.8032
hnsw,1,64,64,135.983,536144008,1000,100,0.232752,2792527,0.8201
hnsw,1,64,64,135.983,536144008,1000,110,0.254751,3002397,0.8353
hnsw,1,64,64,135.983,536144008,1000,120,0.274458,3209207,0.8458
hnsw,1,64,64,135.983,536144008,1000,130,0.288022,3412093,0.8551
hnsw,1,64,64,135.983,536144008,1000,140,0.30605,3618403,0.8649
hnsw,1,64,64,135.983,536144008,1000,150,0.328903,3819221,0.8732
hnsw,1,64,64,135.983,536144008,1000,160,0.34847,4018534,0.8802
hnsw,1,64,64,135.983,536144008,1000,170,0.359723,4212592,0.8852
hnsw,1,64,64,135.983,536144008,1000,180,0.373235,4401848,0.8918
hnsw,1,64,64,135.983,536144008,1000,190,0.389095,4593198,0.8974
hnsw,1,64,64,135.983,536144008,1000,200,0.411597,4786149,0.9037
