index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,32,256,489.695,280377024,1000,10,0.0514138,689558,0.5025
hnsw,1,32,256,489.695,280377024,1000,20,0.0830076,1026417,0.6359
hnsw,1,32,256,489.695,280377024,1000,30,0.108865,1319615,0.7187
hnsw,1,32,256,489.695,280377024,1000,40,0.129355,1602616,0.7698
hnsw,1,32,256,489.695,280377024,1000,50,0.153488,1878047,0.807
hnsw,1,32,256,489.695,280377024,1000,60,0.177303,2155089,0.8357
hnsw,1,32,256,489.695,280377024,1000,70,0.196736,2425684,0.8567
hnsw,1,32,256,489.695,280377024,1000,80,0.219145,2690488,0.8735
hnsw,1,32,256,489.695,280377024,1000,90,0.241827,2952781,0.8873
hnsw,1,32,256,489.695,280377024,1000,100,0.267767,3209655,0.8982
hnsw,1,32,256,489.695,280377024,1000,110,0.289628,3460699,0.9058
hnsw,1,32,256,489.695,280377024,1000,120,0.311841,3711068,0.9155
hnsw,1,32,256,489.695,280377024,1000,130,0.330742,3956307,0.9229
hnsw,1,32,256,489.695,280377024,1000,140,0.348998,4197033,0.9281
hnsw,1,32,256,489.695,280377024,1000,150,0.371106,4440396,0.9345
hnsw,1,32,256,489.695,280377024,1000,160,0.386054,4676759,0.9381
hnsw,1,32,256,489.695,280377024,1000,170,0.408304,4910573,0.9418
hnsw,1,32,256,489.695,280377024,1000,180,0.433855,5142418,0.9464
hnsw,1,32,256,489.695,280377024,1000,190,0.445811,5373527,0.9495
hnsw,1,32,256,489.695,280377024,1000,200,0.461676,5600790,0.9537
hnsw,1,32,256,489.695,280377024,1000,210,0.483108,5824683,0.9561
hnsw,1,32,256,489.695,280377024,1000,220,0.506439,6048136,0.9586
hnsw,1,32,256,489.695,280377024,1000,230,0.532603,6268858,0.9607
hnsw,1,32,256,489.695,280377024,1000,240,0.547044,6487325,0.9629
hnsw,1,32,256,489.695,280377024,1000,250,0.57347,6705799,0.9643
hnsw,1,32,256,489.695,280377024,1000,260,0.585659,6917219,0.9655
hnsw,1,32,256,489.695,280377024,1000,270,0.59951,7129336,0.9681
hnsw,1,32,256,489.695,280377024,1000,280,0.603083,7341100,0.9697
hnsw,1,32,256,489.695,280377024,1000,290,0.637616,7549145,0.9703
hnsw,1,32,256,489.695,280377024,1000,300,0.65368,7755716,0.9712
