index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,256,690.458,420607424,1000,1|10,0.102233,726199,0.5874
cspg,2,32,256,690.458,420607424,1000,1|20,0.147131,1094343,0.7605
cspg,2,32,256,690.458,420607424,1000,1|30,0.181257,1402214,0.8289
cspg,2,32,256,690.458,420607424,1000,1|40,0.211708,1701674,0.8694
cspg,2,32,256,690.458,420607424,1000,1|50,0.248313,1996198,0.9067
cspg,2,32,256,690.458,420607424,1000,1|60,0.266257,2278952,0.9281
cspg,2,32,256,690.458,420607424,1000,1|70,0.282521,2552794,0.9432
cspg,2,32,256,690.458,420607424,1000,1|80,0.316608,2822211,0.9546
cspg,2,32,256,690.458,420607424,1000,1|90,0.352228,3089765,0.9637
cspg,2,32,256,690.458,420607424,1000,1|100,0.377167,3354301,0.9701
cspg,2,32,256,690.458,420607424,1000,1|110,0.399182,3608797,0.9746
cspg,2,32,256,690.458,420607424,1000,1|120,0.435818,3869663,0.9785
cspg,2,32,256,690.458,420607424,1000,1|130,0.472246,4123130,0.9822
cspg,2,32,256,690.458,420607424,1000,1|140,0.501974,4374327,0.9847
cspg,2,32,256,690.458,420607424,1000,1|150,0.496127,4630329,0.9863
cspg,2,32,256,690.458,420607424,1000,1|160,0.548768,4874367,0.9868
cspg,2,32,256,690.458,420607424,1000,1|170,0.53763,5123638,0.9884
cspg,2,32,256,690.458,420607424,1000,1|180,0.560209,5370712,0.9895
cspg,2,32,256,690.458,420607424,1000,1|190,0.579854,5611012,0.9902
cspg,2,32,256,690.458,420607424,1000,1|200,0.620484,5848135,0.9915
cspg,2,32,256,690.458,420607424,1000,1|210,0.651535,6085068,0.9923
cspg,2,32,256,690.458,420607424,1000,1|220,0.669233,6318703,0.9932
cspg,2,32,256,690.458,420607424,1000,1|230,0.677122,6553830,0.9934
cspg,2,32,256,690.458,420607424,1000,1|240,0.703285,6780492,0.9939
cspg,2,32,256,690.458,420607424,1000,1|250,0.780044,7013280,0.994
cspg,2,32,256,690.458,420607424,1000,1|260,0.767321,7243696,0.9944
cspg,2,32,256,690.458,420607424,1000,1|270,0.760823,7470221,0.9946
cspg,2,32,256,690.458,420607424,1000,1|280,0.786179,7696691,0.9948
cspg,2,32,256,690.458,420607424,1000,1|290,0.805354,7920933,0.9953
cspg,2,32,256,690.458,420607424,1000,1|300,0.886636,8144109,0.9956
