index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,16,64,70.5775,80000000,1000,10,0.0150179,116289,0.0439
nsg,1,16,64,70.5775,80000000,1000,20,0.0358122,234207,0.1849
nsg,1,16,64,70.5775,80000000,1000,30,0.0532792,348847,0.2862
nsg,1,16,64,70.5775,80000000,1000,40,0.0671348,461915,0.3546
nsg,1,16,64,70.5775,80000000,1000,50,0.0833828,575220,0.3983
nsg,1,16,64,70.5775,80000000,1000,60,0.099709,686413,0.44
nsg,1,16,64,70.5775,80000000,1000,70,0.122931,795098,0.4733
nsg,1,16,64,70.5775,80000000,1000,80,0.133077,903453,0.4936
nsg,1,16,64,70.5775,80000000,1000,90,0.149822,1012026,0.5151
nsg,1,16,64,70.5775,80000000,1000,100,0.155339,1120717,0.5342
nsg,1,16,64,70.5775,80000000,1000,110,0.167863,1228920,0.5508
nsg,1,16,64,70.5775,80000000,1000,120,0.19212,1336929,0.5624
nsg,1,16,64,70.5775,80000000,1000,130,0.199483,1445022,0.5735
nsg,1,16,64,70.5775,80000000,1000,140,0.215656,1551866,0.5844
nsg,1,16,64,70.5775,80000000,1000,150,0.248571,1658674,0.5923
nsg,1,16,64,70.5775,80000000,1000,160,0.25099,1763222,0.6025
nsg,1,16,64,70.5775,80000000,1000,170,0.250326,1867925,0.6112
nsg,1,16,64,70.5775,80000000,1000,180,0.272849,1973724,0.6188
nsg,1,16,64,70.5775,80000000,1000,190,0.290925,2078693,0.625
nsg,1,16,64,70.5775,80000000,1000,200,0.297559,2182306,0.6314
nsg,1,16,64,70.5775,80000000,1000,210,0.317602,2287856,0.6382
nsg,1,16,64,70.5775,80000000,1000,220,0.317907,2393402,0.6459
nsg,1,16,64,70.5775,80000000,1000,230,0.34668,2498541,0.6522
nsg,1,16,64,70.5775,80000000,1000,240,0.401299,2603067,0.6581
nsg,1,16,64,70.5775,80000000,1000,250,0.381031,2706742,0.6634
nsg,1,16,64,70.5775,80000000,1000,260,0.395247,2811407,0.6677
nsg,1,16,64,70.5775,80000000,1000,270,0.417238,2916365,0.6733
nsg,1,16,64,70.5775,80000000,1000,280,0.437907,3018431,0.677
nsg,1,16,64,70.5775,80000000,1000,290,0.435767,3123563,0.6797
nsg,1,16,64,70.5775,80000000,1000,300,0.479705,3226729,0.6839
nsg,1,16,128,125.803,80000000,1000,10,0.0164706,129147,0.0509
nsg,1,16,128,125.803,80000000,1000,20,0.0390098,256836,0.2178
nsg,1,16,128,125.803,80000000,1000,30,0.0595622,380936,0.3341
nsg,1,16,128,125.803,80000000,1000,40,0.0764054,503145,0.4095
nsg,1,16,128,125.803,80000000,1000,50,0.0947282,625417,0.4597
nsg,1,16,128,125.803,80000000,1000,60,0.112953,745615,0.4999
nsg,1,16,128,125.803,80000000,1000,70,0.127568,864555,0.5331
nsg,1,16,128,125.803,80000000,1000,80,0.14665,983510,0.5598
nsg,1,16,128,125.803,80000000,1000,90,0.152008,1103188,0.5852
nsg,1,16,128,125.803,80000000,1000,100,0.176796,1220325,0.6004
nsg,1,16,128,125.803,80000000,1000,110,0.186289,1339387,0.6187
nsg,1,16,128,125.803,80000000,1000,120,0.203712,1455659,0.6343
nsg,1,16,128,125.803,80000000,1000,130,0.227617,1572675,0.649
nsg,1,16,128,125.803,80000000,1000,140,0.238967,1689807,0.6626
nsg,1,16,128,125.803,80000000,1000,150,0.232121,1805484,0.6736
nsg,1,16,128,125.803,80000000,1000,160,0.258813,1921061,0.6839
nsg,1,16,128,125.803,80000000,1000,170,0.264845,2036850,0.6945
nsg,1,16,128,125.803,80000000,1000,180,0.287593,2151685,0.6987
nsg,1,16,128,125.803,80000000,1000,190,0.30364,2266573,0.708
nsg,1,16,128,125.803,80000000,1000,200,0.29329,2383323,0.7148
nsg,1,16,128,125.803,80000000,1000,210,0.33877,2497196,0.7203
nsg,1,16,128,125.803,80000000,1000,220,0.331585,2611117,0.7257
nsg,1,16,128,125.803,80000000,1000,230,0.344,2724833,0.73
nsg,1,16,128,125.803,80000000,1000,240,0.367418,2838002,0.735
nsg,1,16,128,125.803,80000000,1000,250,0.37804,2952780,0.7398
nsg,1,16,128,125.803,80000000,1000,260,0.400966,3065822,0.744
nsg,1,16,128,125.803,80000000,1000,270,0.424249,3178743,0.7483
nsg,1,16,128,125.803,80000000,1000,280,0.444872,3292103,0.7531
nsg,1,16,128,125.803,80000000,1000,290,0.466768,3405499,0.7551
nsg,1,16,128,125.803,80000000,1000,300,0.477617,3519880,0.7581
nsg,1,16,256,264.771,80000000,1000,10,0.0191307,134960,0.0654
nsg,1,16,256,264.771,80000000,1000,20,0.0412362,268660,0.2508
nsg,1,16,256,264.771,80000000,1000,30,0.0604947,398584,0.3685
nsg,1,16,256,264.771,80000000,1000,40,0.0798748,527161,0.4539
nsg,1,16,256,264.771,80000000,1000,50,0.102781,654352,0.5044
