index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,64,256,442.739,272000000,1000,10,0.0532375,326327,0.1615
nsg,1,64,256,442.739,272000000,1000,20,0.100642,645014,0.4429
nsg,1,64,256,442.739,272000000,1000,30,0.13641,949234,0.5758
nsg,1,64,256,442.739,272000000,1000,40,0.178927,1254102,0.6541
nsg,1,64,256,442.739,272000000,1000,50,0.206519,1554241,0.7052
nsg,1,64,256,442.739,272000000,1000,60,0.239939,1849955,0.7438
nsg,1,64,256,442.739,272000000,1000,70,0.261287,2149187,0.7702
nsg,1,64,256,442.739,272000000,1000,80,0.281532,2443691,0.7893
nsg,1,64,256,442.739,272000000,1000,90,0.328295,2740674,0.8072
nsg,1,64,256,442.739,272000000,1000,100,0.333138,3040555,0.8239
nsg,1,64,256,442.739,272000000,1000,110,0.384427,3338720,0.8367
nsg,1,64,256,442.739,272000000,1000,120,0.371475,3638862,0.8485
nsg,1,64,256,442.739,272000000,1000,130,0.415517,3929937,0.8575
nsg,1,64,256,442.739,272000000,1000,140,0.430256,4230327,0.8675
nsg,1,64,256,442.739,272000000,1000,150,0.475948,4522961,0.8752
nsg,1,64,256,442.739,272000000,1000,160,0.473451,4816203,0.8814
nsg,1,64,256,442.739,272000000,1000,170,0.485966,5104435,0.8872
nsg,1,64,256,442.739,272000000,1000,180,0.550532,5410537,0.8918
nsg,1,64,256,442.739,272000000,1000,190,0.553324,5712728,0.8944
nsg,1,64,256,442.739,272000000,1000,200,0.5528,6004824,0.8991
nsg,1,64,256,442.739,272000000,1000,210,0.581726,6297504,0.9043
nsg,1,64,256,442.739,272000000,1000,220,0.654605,6592490,0.9078
nsg,1,64,256,442.739,272000000,1000,230,0.659101,6890229,0.9094
nsg,1,64,256,442.739,272000000,1000,240,0.6817,7183576,0.9116
nsg,1,64,256,442.739,272000000,1000,250,0.756962,7482297,0.9137
nsg,1,64,256,442.739,272000000,1000,260,0.736565,7773370,0.9163
nsg,1,64,256,442.739,272000000,1000,270,0.764144,8068777,0.919
nsg,1,64,256,442.739,272000000,1000,280,0.759651,8374058,0.9209
nsg,1,64,256,442.739,272000000,1000,290,0.804986,8674442,0.9223
nsg,1,64,256,442.739,272000000,1000,300,0.820425,8969743,0.9238
