index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,64,256,621.12,408000000,1000,1|10,0.101213,690242,0.5837
cspg,2,64,256,621.12,408000000,1000,1|20,0.148865,991301,0.7582
cspg,2,64,256,621.12,408000000,1000,1|30,0.177525,1254199,0.8344
cspg,2,64,256,621.12,408000000,1000,1|40,0.194585,1495297,0.8798
cspg,2,64,256,621.12,408000000,1000,1|50,0.233491,1732560,0.9113
cspg,2,64,256,621.12,408000000,1000,1|60,0.278025,1961305,0.9327
cspg,2,64,256,621.12,408000000,1000,1|70,0.300747,2187950,0.9456
cspg,2,64,256,621.12,408000000,1000,1|80,0.308029,2412684,0.9579
cspg,2,64,256,621.12,408000000,1000,1|90,0.340359,2638369,0.9658
cspg,2,64,256,621.12,408000000,1000,1|100,0.358415,2858878,0.9729
cspg,2,64,256,621.12,408000000,1000,1|110,0.37878,3081363,0.9778
cspg,2,64,256,621.12,408000000,1000,1|120,0.443274,3295517,0.9809
cspg,2,64,256,621.12,408000000,1000,1|130,0.429878,3510678,0.9836
cspg,2,64,256,621.12,408000000,1000,1|140,0.474956,3725237,0.9861
cspg,2,64,256,621.12,408000000,1000,1|150,0.500899,3936114,0.9893
cspg,2,64,256,621.12,408000000,1000,1|160,0.524532,4148233,0.9904
cspg,2,64,256,621.12,408000000,1000,1|170,0.546894,4351104,0.991
cspg,2,64,256,621.12,408000000,1000,1|180,0.564634,4556054,0.9915
cspg,2,64,256,621.12,408000000,1000,1|190,0.577158,4759212,0.9929
cspg,2,64,256,621.12,408000000,1000,1|200,0.590653,4961083,0.9937
cspg,2,64,256,621.12,408000000,1000,1|210,0.630653,5161359,0.9948
cspg,2,64,256,621.12,408000000,1000,1|220,0.646018,5361248,0.9953
cspg,2,64,256,621.12,408000000,1000,1|230,0.705103,5558701,0.9957
cspg,2,64,256,621.12,408000000,1000,1|240,0.699626,5750605,0.9959
cspg,2,64,256,621.12,408000000,1000,1|250,0.746157,5945392,0.9963
cspg,2,64,256,621.12,408000000,1000,1|260,0.797072,6136575,0.9967
cspg,2,64,256,621.12,408000000,1000,1|270,0.749598,6326739,0.9969
cspg,2,64,256,621.12,408000000,1000,1|280,0.774165,6514675,0.9969
cspg,2,64,256,621.12,408000000,1000,1|290,0.818104,6703438,0.9974
cspg,2,64,256,621.12,408000000,1000,1|300,0.868383,6892709,0.9977
