index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,16,1,64,132.248,80000000,1000,10,0.0159468,125363,0.0541
vamana,1,16,1,64,132.248,80000000,1000,20,0.0372473,253099,0.2226
vamana,1,16,1,64,132.248,80000000,1000,30,0.0565508,377834,0.3392
vamana,1,16,1,64,132.248,80000000,1000,40,0.0742892,499825,0.4153
vamana,1,16,1,64,132.248,80000000,1000,50,0.0950469,620458,0.4668
vamana,1,16,1,64,132.248,80000000,1000,60,0.109028,741485,0.5072
vamana,1,16,1,64,132.248,80000000,1000,70,0.122492,861084,0.5401
vamana,1,16,1,64,132.248,80000000,1000,80,0.135615,978954,0.5697
vamana,1,16,1,64,132.248,80000000,1000,90,0.152966,1096802,0.5952
vamana,1,16,1,64,132.248,80000000,1000,100,0.166134,1215203,0.6153
vamana,1,16,1,64,132.248,80000000,1000,110,0.185141,1332924,0.631
vamana,1,16,1,64,132.248,80000000,1000,120,0.198751,1449386,0.6435
vamana,1,16,1,64,132.248,80000000,1000,130,0.210784,1564657,0.6593
vamana,1,16,1,64,132.248,80000000,1000,140,0.237174,1679356,0.6718
vamana,1,16,1,64,132.248,80000000,1000,150,0.23551,1794218,0.6806
vamana,1,16,1,64,132.248,80000000,1000,160,0.248336,1908704,0.6899
vamana,1,16,1,64,132.248,80000000,1000,170,0.268413,2024662,0.6978
vamana,1,16,1,64,132.248,80000000,1000,180,0.292511,2138866,0.7049
vamana,1,16,1,64,132.248,80000000,1000,190,0.289431,2252677,0.7114
vamana,1,16,1,64,132.248,80000000,1000,200,0.315069,2365542,0.7201
vamana,1,16,1,64,132.248,80000000,1000,210,0.321783,2480791,0.7261
vamana,1,16,1,64,132.248,80000000,1000,220,0.337828,2595078,0.7307
vamana,1,16,1,64,132.248,80000000,1000,230,0.353084,2707988,0.7363
vamana,1,16,1,64,132.248,80000000,1000,240,0.372425,2822992,0.7414
vamana,1,16,1,64,132.248,80000000,1000,250,0.375335,2935703,0.7481
vamana,1,16,1,64,132.248,80000000,1000,260,0.398182,3048805,0.7529
vamana,1,16,1,64,132.248,80000000,1000,270,0.413969,3162537,0.7561
vamana,1,16,1,64,132.248,80000000,1000,280,0.440139,3274660,0.7607
vamana,1,16,1,64,132.248,80000000,1000,290,0.485868,3387831,0.7644
vamana,1,16,1,64,132.248,80000000,1000,300,0.486795,3500477,0.7671
vamana,1,16,1,128,254.43,80000000,1000,10,0.0175678,130110,0.0572
vamana,1,16,1,128,254.43,80000000,1000,20,0.0414469,265552,0.2443
vamana,1,16,1,128,254.43,80000000,1000,30,0.0656015,397940,0.3766
vamana,1,16,1,128,254.43,80000000,1000,40,0.0871893,528046,0.4493
vamana,1,16,1,128,254.43,80000000,1000,50,0.101994,656284,0.51
vamana,1,16,1,128,254.43,80000000,1000,60,0.120482,783364,0.5503
vamana,1,16,1,128,254.43,80000000,1000,70,0.130126,910263,0.5863
vamana,1,16,1,128,254.43,80000000,1000,80,0.156029,1037843,0.6125
vamana,1,16,1,128,254.43,80000000,1000,90,0.170313,1164164,0.6358
vamana,1,16,1,128,254.43,80000000,1000,100,0.190298,1289628,0.6537
vamana,1,16,1,128,254.43,80000000,1000,110,0.200203,1413421,0.6701
vamana,1,16,1,128,254.43,80000000,1000,120,0.208262,1538332,0.6839
vamana,1,16,1,128,254.43,80000000,1000,130,0.223953,1664256,0.6982
vamana,1,16,1,128,254.43,80000000,1000,140,0.225755,1786232,0.7096
vamana,1,16,1,128,254.43,80000000,1000,150,0.253312,1909646,0.7191
vamana,1,16,1,128,254.43,80000000,1000,160,0.259853,2033262,0.7296
vamana,1,16,1,128,254.43,80000000,1000,170,0.279929,2154890,0.7365
vamana,1,16,1,128,254.43,80000000,1000,180,0.276277,2277131,0.744
vamana,1,16,1,128,254.43,80000000,1000,190,0.305319,2399574,0.7511
vamana,1,16,1,128,254.43,80000000,1000,200,0.318594,2521432,0.7586
vamana,1,16,1,128,254.43,80000000,1000,210,0.338101,2642733,0.7639
vamana,1,16,1,128,254.43,80000000,1000,220,0.328998,2765025,0.7705
vamana,1,16,1,128,254.43,80000000,1000,230,0.375655,2885807,0.7749
vamana,1,16,1,128,254.43,80000000,1000,240,0.393759,3006946,0.7798
vamana,1,16,1,128,254.43,80000000,1000,250,0.418048,3127297,0.7853
vamana,1,16,1,128,254.43,80000000,1000,260,0.435217,3248305,0.7895
vamana,1,16,1,128,254.43,80000000,1000,270,0.431501,3369837,0.7937
vamana,1,16,1,128,254.43,80000000,1000,280,0.463527,3490858,0.7974
vamana,1,16,1,128,254.43,80000000,1000,290,0.483713,3611769,0.8011
vamana,1,16,1,128,254.43,80000000,1000,300,0.474495,3732653,0.8051
vamana,1,16,1,256,536.227,80000000,1000,10,0.018118,134607,0.0648
vamana,1,16,1,256,536.227,80000000,1000,20,0.040294,274983,0.2608
vamana,1,16,1,256,536.227,80000000,1000,30,0.0663026,411411,0.3821
vamana,1,16,1,256,536.227,80000000,1000,40,0.0851787,546893,0.4587
vamana,1,16,1,256,536.227,80000000,1000,50,0.10728,680639,0.5232
vamana,1,16,1,256,536.227,80000000,1000,60,0.118212,812477,0.5664
vamana,1,16,1,256,536.227,80000000,1000,70,0.136056,944300,0.6013
vamana,1,16,1,256,536.227,80000000,1000,80,0.151599,1076770,0.6251
vamana,1,16,1,256,536.227,80000000,1000,90,0.15537,1207980,0.6498
vamana,1,16,1,256,536.227,80000000,1000,100,0.191551,1338398,0.6682
