index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,64,1.2,128,614.731,272000000,1000,10,0.08043,542790,0.2839
vamana,1,64,1.2,128,614.731,272000000,1000,20,0.144573,1048434,0.6572
vamana,1,64,1.2,128,614.731,272000000,1000,30,0.187826,1542772,0.7536
vamana,1,64,1.2,128,614.731,272000000,1000,40,0.216857,2041564,0.8094
vamana,1,64,1.2,128,614.731,272000000,1000,50,0.249605,2539935,0.84
vamana,1,64,1.2,128,614.731,272000000,1000,60,0.267978,3032484,0.8584
vamana,1,64,1.2,128,614.731,272000000,1000,70,0.299409,3527724,0.8732
vamana,1,64,1.2,128,614.731,272000000,1000,80,0.338335,4025225,0.8827
vamana,1,64,1.2,128,614.731,272000000,1000,90,0.342972,4517990,0.894
vamana,1,64,1.2,128,614.731,272000000,1000,100,0.394109,5014234,0.9011
vamana,1,64,1.2,128,614.731,272000000,1000,110,0.429322,5512037,0.909
vamana,1,64,1.2,128,614.731,272000000,1000,120,0.462165,6014549,0.9148
vamana,1,64,1.2,128,614.731,272000000,1000,130,0.454587,6507163,0.9198
vamana,1,64,1.2,128,614.731,272000000,1000,140,0.478471,7000246,0.9251
vamana,1,64,1.2,128,614.731,272000000,1000,150,0.567225,7495179,0.9281
vamana,1,64,1.2,128,614.731,272000000,1000,160,0.518486,7991868,0.9316
vamana,1,64,1.2,128,614.731,272000000,1000,170,0.564281,8491593,0.9359
vamana,1,64,1.2,128,614.731,272000000,1000,180,0.60124,8992039,0.9378
vamana,1,64,1.2,128,614.731,272000000,1000,190,0.585168,9498685,0.9408
vamana,1,64,1.2,128,614.731,272000000,1000,200,0.671292,9997013,0.9416
vamana,1,64,1.2,128,614.731,272000000,1000,210,0.651727,10493748,0.9449
vamana,1,64,1.2,128,614.731,272000000,1000,220,0.663164,10993026,0.9481
vamana,1,64,1.2,128,614.731,272000000,1000,230,0.696889,11500354,0.9482
vamana,1,64,1.2,128,614.731,272000000,1000,240,0.717896,12000095,0.9507
vamana,1,64,1.2,128,614.731,272000000,1000,250,0.785507,12504621,0.9519
vamana,1,64,1.2,128,614.731,272000000,1000,260,0.776993,13001253,0.9524
vamana,1,64,1.2,128,614.731,272000000,1000,270,0.820246,13488531,0.954
vamana,1,64,1.2,128,614.731,272000000,1000,280,0.833428,13988316,0.9533
vamana,1,64,1.2,128,614.731,272000000,1000,290,0.885823,14484511,0.9548
vamana,1,64,1.2,128,614.731,272000000,1000,300,0.944007,14975741,0.9559
