index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,64,1.2,128,864.593,408000000,1000,1|10,0.121841,997200,0.76
cspg,2,64,1.2,128,864.593,408000000,1000,1|20,0.182568,1413253,0.8884
cspg,2,64,1.2,128,864.593,408000000,1000,1|30,0.214938,1778495,0.9352
cspg,2,64,1.2,128,864.593,408000000,1000,1|40,0.270248,2144410,0.9607
cspg,2,64,1.2,128,864.593,408000000,1000,1|50,0.306587,2496473,0.9734
cspg,2,64,1.2,128,864.593,408000000,1000,1|60,0.332033,2839899,0.9847
cspg,2,64,1.2,128,864.593,408000000,1000,1|70,0.367014,3172904,0.9884
cspg,2,64,1.2,128,864.593,408000000,1000,1|80,0.409203,3504617,0.992
cspg,2,64,1.2,128,864.593,408000000,1000,1|90,0.482347,3834730,0.993
cspg,2,64,1.2,128,864.593,408000000,1000,1|100,0.477429,4154343,0.9951
cspg,2,64,1.2,128,864.593,408000000,1000,1|110,0.530371,4469752,0.9961
cspg,2,64,1.2,128,864.593,408000000,1000,1|120,0.54107,4780841,0.9961
cspg,2,64,1.2,128,864.593,408000000,1000,1|130,0.574782,5089241,0.9968
cspg,2,64,1.2,128,864.593,408000000,1000,1|140,0.604614,5392072,0.9973
cspg,2,64,1.2,128,864.593,408000000,1000,1|150,0.645795,5689846,0.9976
cspg,2,64,1.2,128,864.593,408000000,1000,1|160,0.655815,5986031,0.9978
cspg,2,64,1.2,128,864.593,408000000,1000,1|170,0.709733,6277866,0.9982
cspg,2,64,1.2,128,864.593,408000000,1000,1|180,0.726955,6565925,0.9986
cspg,2,64,1.2,128,864.593,408000000,1000,1|190,0.755109,6851109,0.9988
cspg,2,64,1.2,128,864.593,408000000,1000,1|200,0.789878,7132887,0.999
cspg,2,64,1.2,128,864.593,408000000,1000,1|210,0.809506,7408913,0.9991
cspg,2,64,1.2,128,864.593,408000000,1000,1|220,0.877351,7686931,0.9991
cspg,2,64,1.2,128,864.593,408000000,1000,1|230,0.876695,7958951,0.9993
cspg,2,64,1.2,128,864.593,408000000,1000,1|240,0.941971,8229312,0.9996
cspg,2,64,1.2,128,864.593,408000000,1000,1|250,0.9281,8497730,0.9996
cspg,2,64,1.2,128,864.593,408000000,1000,1|260,0.986088,8763324,0.9996
cspg,2,64,1.2,128,864.593,408000000,1000,1|270,1.02379,9027122,0.9996
cspg,2,64,1.2,128,864.593,408000000,1000,1|280,1.03816,9286710,0.9996
cspg,2,64,1.2,128,864.593,408000000,1000,1|290,1.08774,9544326,0.9996
cspg,2,64,1.2,128,864.593,408000000,1000,1|300,1.17305,9798936,0.9996
