index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng,1,5,750,3,69.7387,41200368,10000,10,0.0432756,805482,0.01376
hcnng,1,5,750,3,69.7387,41200368,10000,20,0.0386686,1638728,0.14501
hcnng,1,5,750,3,69.7387,41200368,10000,30,0.0564876,2484148,0.33347
hcnng,1,5,750,3,69.7387,41200368,10000,40,0.0757239,3319618,0.48223
hcnng,1,5,750,3,69.7387,41200368,10000,50,0.0947442,4151678,0.57695
hcnng,1,5,750,3,69.7387,41200368,10000,60,0.116205,4975731,0.64562
hcnng,1,5,750,3,69.7387,41200368,10000,70,0.138787,5790673,0.69435
hcnng,1,5,750,3,69.7387,41200368,10000,80,0.163345,6606428,0.73368
hcnng,1,5,750,3,69.7387,41200368,10000,90,0.190522,7412675,0.762
hcnng,1,5,750,3,69.7387,41200368,10000,100,0.219265,8213334,0.78582
hcnng,1,5,750,3,69.7387,41200368,10000,110,0.252427,9014726,0.80477
hcnng,1,5,750,3,69.7387,41200368,10000,120,0.283458,9814556,0.82253
hcnng,1,5,750,3,69.7387,41200368,10000,130,0.323296,10611574,0.83677
hcnng,1,5,750,3,69.7387,41200368,10000,140,0.360725,11403694,0.84787
hcnng,1,5,750,3,69.7387,41200368,10000,150,0.401104,12194581,0.85947
hcnng,1,5,750,3,69.7387,41200368,10000,160,0.443693,12981548,0.868
hcnng,1,5,750,3,69.7387,41200368,10000,170,0.491278,13769683,0.8769
hcnng,1,5,750,3,69.7387,41200368,10000,180,0.536783,14552320,0.88315
hcnng,1,5,750,3,69.7387,41200368,10000,190,0.584801,15337417,0.89005
hcnng,1,5,750,3,69.7387,41200368,10000,200,0.637671,16119491,0.89617
hcnng,1,5,750,3,69.7387,41200368,10000,210,0.686386,16898084,0.90146
hcnng,1,5,750,3,69.7387,41200368,10000,220,0.749186,17673406,0.90598
hcnng,1,5,750,3,69.7387,41200368,10000,230,0.804214,18448759,0.91106
hcnng,1,5,750,3,69.7387,41200368,10000,240,0.860436,19223210,0.91492
hcnng,1,5,750,3,69.7387,41200368,10000,250,0.93456,19998434,0.91923
hcnng,1,5,750,3,69.7387,41200368,10000,260,1.00291,20773978,0.92256
hcnng,1,5,750,3,69.7387,41200368,10000,270,1.0655,21539568,0.92587
hcnng,1,5,750,3,69.7387,41200368,10000,280,1.13812,22309172,0.92883
hcnng,1,5,750,3,69.7387,41200368,10000,290,1.21331,23070086,0.93186
hcnng,1,5,750,3,69.7387,41200368,10000,300,1.29923,23839868,0.93444
hcnng,1,5,750,5,69.3217,40833312,10000,10,0.05339,851555,0.01668
hcnng,1,5,750,5,69.3217,40833312,10000,20,0.0397212,1760658,0.16484
hcnng,1,5,750,5,69.3217,40833312,10000,30,0.0585473,2702243,0.35739
hcnng,1,5,750,5,69.3217,40833312,10000,40,0.0786059,3631349,0.50936
hcnng,1,5,750,5,69.3217,40833312,10000,50,0.0996199,4532285,0.5981
hcnng,1,5,750,5,69.3217,40833312,10000,60,0.121784,5449517,0.66817
hcnng,1,5,750,5,69.3217,40833312,10000,70,0.14561,6336408,0.7149
hcnng,1,5,750,5,69.3217,40833312,10000,80,0.172574,7236459,0.75078
hcnng,1,5,750,5,69.3217,40833312,10000,90,0.199322,8125904,0.77811
hcnng,1,5,750,5,69.3217,40833312,10000,100,0.229645,9011656,0.80003
hcnng,1,5,750,5,69.3217,40833312,10000,110,0.259187,9898268,0.81968
hcnng,1,5,750,5,69.3217,40833312,10000,120,0.294712,10773764,0.83545
hcnng,1,5,750,5,69.3217,40833312,10000,130,0.330161,11648060,0.84821
hcnng,1,5,750,5,69.3217,40833312,10000,140,0.370399,12525245,0.85955
hcnng,1,5,750,5,69.3217,40833312,10000,150,0.411291,13395795,0.86955
hcnng,1,5,750,5,69.3217,40833312,10000,160,0.453696,14264980,0.87864
hcnng,1,5,750,5,69.3217,40833312,10000,170,0.499183,15124718,0.88531
hcnng,1,5,750,5,69.3217,40833312,10000,180,0.54814,16003676,0.89326
hcnng,1,5,750,5,69.3217,40833312,10000,190,0.597615,16860520,0.89838
hcnng,1,5,750,5,69.3217,40833312,10000,200,0.650979,17720654,0.90431
hcnng,1,5,750,5,69.3217,40833312,10000,210,0.703207,18577623,0.90882
hcnng,1,5,750,5,69.3217,40833312,10000,220,0.763032,19443075,0.9134
hcnng,1,5,750,5,69.3217,40833312,10000,230,0.812105,20289153,0.91734
hcnng,1,5,750,5,69.3217,40833312,10000,240,0.876291,21139897,0.92169
hcnng,1,5,750,5,69.3217,40833312,10000,250,0.949467,22009171,0.92472
hcnng,1,5,750,5,69.3217,40833312,10000,260,1.02732,22858431,0.92787
hcnng,1,5,750,5,69.3217,40833312,10000,270,1.09092,23702728,0.93017
hcnng,1,5,750,5,69.3217,40833312,10000,280,1.16798,24562321,0.9332
hcnng,1,5,750,5,69.3217,40833312,10000,290,1.24051,25411373,0.93552
hcnng,1,5,750,5,69.3217,40833312,10000,300,1.32798,26253273,0.93788
hcnng,1,5,750,7,68.4529,40736912,10000,10,0.0396866,870495,0.01772
hcnng,1,5,750,7,68.4529,40736912,10000,20,0.0411712,1805544,0.16674
hcnng,1,5,750,7,68.4529,40736912,10000,30,0.061449,2778918,0.36917
hcnng,1,5,750,7,68.4529,40736912,10000,40,0.0811867,3728799,0.51466
hcnng,1,5,750,7,68.4529,40736912,10000,50,0.101296,4682374,0.60561
hcnng,1,5,750,7,68.4529,40736912,10000,60,0.125307,5616615,0.67194
hcnng,1,5,750,7,68.4529,40736912,10000,70,0.148627,6536322,0.71918
hcnng,1,5,750,7,68.4529,40736912,10000,80,0.175352,7459329,0.75415
hcnng,1,5,750,7,68.4529,40736912,10000,90,0.200552,8377555,0.78115
hcnng,1,5,750,7,68.4529,40736912,10000,100,0.229306,9286571,0.80378
hcnng,1,5,750,7,68.4529,40736912,10000,110,0.260106,10192999,0.82062
hcnng,1,5,750,7,68.4529,40736912,10000,120,0.295037,11106487,0.83522
hcnng,1,5,750,7,68.4529,40736912,10000,130,0.329712,12008827,0.84793
hcnng,1,5,750,7,68.4529,40736912,10000,140,0.37403,12924073,0.86062
hcnng,1,5,750,7,68.4529,40736912,10000,150,0.415968,13813962,0.87003
hcnng,1,5,750,7,68.4529,40736912,10000,160,0.462075,14713063,0.87808
hcnng,1,5,750,7,68.4529,40736912,10000,170,0.505548,15605097,0.88658
hcnng,1,5,750,7,68.4529,40736912,10000,180,0.550825,16494881,0.89305
hcnng,1,5,750,7,68.4529,40736912,10000,190,0.601709,17394109,0.89921
hcnng,1,5,750,7,68.4529,40736912,10000,200,0.656122,18279256,0.90428
hcnng,1,5,750,7,68.4529,40736912,10000,210,0.711833,19155630,0.90817
