index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng,1,15,1000,3,109.531,84412496,10000,10,0.0392533,2006694,0.0813
hcnng,1,15,1000,3,109.531,84412496,10000,20,0.073731,4034530,0.51039
hcnng,1,15,1000,3,109.531,84412496,10000,30,0.104642,6005386,0.74195
hcnng,1,15,1000,3,109.531,84412496,10000,40,0.127736,7951221,0.8291
hcnng,1,15,1000,3,109.531,84412496,10000,50,0.151829,9882592,0.87104
hcnng,1,15,1000,3,109.531,84412496,10000,60,0.181089,11807399,0.89757
hcnng,1,15,1000,3,109.531,84412496,10000,70,0.217391,13722611,0.9173
hcnng,1,15,1000,3,109.531,84412496,10000,80,0.248114,15624646,0.92983
hcnng,1,15,1000,3,109.531,84412496,10000,90,0.266683,17521812,0.94021
hcnng,1,15,1000,3,109.531,84412496,10000,100,0.293119,19420842,0.94822
hcnng,1,15,1000,3,109.531,84412496,10000,110,0.33853,21311015,0.95415
hcnng,1,15,1000,3,109.531,84412496,10000,120,0.369917,23190884,0.95846
hcnng,1,15,1000,3,109.531,84412496,10000,130,0.41665,25088912,0.9629
hcnng,1,15,1000,3,109.531,84412496,10000,140,0.452329,26964946,0.96588
hcnng,1,15,1000,3,109.531,84412496,10000,150,0.497999,28846248,0.96908
hcnng,1,15,1000,3,109.531,84412496,10000,160,0.542031,30711500,0.97142
hcnng,1,15,1000,3,109.531,84412496,10000,170,0.596045,32580121,0.97345
hcnng,1,15,1000,3,109.531,84412496,10000,180,0.646689,34443413,0.97549
hcnng,1,15,1000,3,109.531,84412496,10000,190,0.698722,36318787,0.9768
hcnng,1,15,1000,3,109.531,84412496,10000,200,0.773782,38191015,0.97827
hcnng,1,15,1000,3,109.531,84412496,10000,210,0.822318,40052181,0.97989
hcnng,1,15,1000,3,109.531,84412496,10000,220,0.882833,41909331,0.98079
hcnng,1,15,1000,3,109.531,84412496,10000,230,0.946619,43771959,0.98196
hcnng,1,15,1000,3,109.531,84412496,10000,240,1.01744,45609524,0.98299
hcnng,1,15,1000,3,109.531,84412496,10000,250,1.0808,47479268,0.98406
hcnng,1,15,1000,3,109.531,84412496,10000,260,1.15103,49324257,0.98508
hcnng,1,15,1000,3,109.531,84412496,10000,270,1.22001,51170942,0.98548
hcnng,1,15,1000,3,109.531,84412496,10000,280,1.29024,53024936,0.98604
hcnng,1,15,1000,3,109.531,84412496,10000,290,1.37255,54877619,0.9866
hcnng,1,15,1000,3,109.531,84412496,10000,300,1.47922,56738224,0.98728
