index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,15,1000,3,167.995,124531680,10000,1|10,0.0709041,4593849,0.78736
cspg,2,15,1000,3,167.995,124531680,10000,1|20,0.100412,6243585,0.90958
cspg,2,15,1000,3,167.995,124531680,10000,1|30,0.132478,7712285,0.95039
cspg,2,15,1000,3,167.995,124531680,10000,1|40,0.159983,9130478,0.97101
cspg,2,15,1000,3,167.995,124531680,10000,1|50,0.187779,10511607,0.98125
cspg,2,15,1000,3,167.995,124531680,10000,1|60,0.215611,11887209,0.98787
cspg,2,15,1000,3,167.995,124531680,10000,1|70,0.242154,13246185,0.99184
cspg,2,15,1000,3,167.995,124531680,10000,1|80,0.266092,14580606,0.99413
cspg,2,15,1000,3,167.995,124531680,10000,1|90,0.292373,15903814,0.99583
cspg,2,15,1000,3,167.995,124531680,10000,1|100,0.315252,17211990,0.99678
cspg,2,15,1000,3,167.995,124531680,10000,1|110,0.341041,18510630,0.99748
cspg,2,15,1000,3,167.995,124531680,10000,1|120,0.365307,19791880,0.99792
cspg,2,15,1000,3,167.995,124531680,10000,1|130,0.393742,21063483,0.99835
cspg,2,15,1000,3,167.995,124531680,10000,1|140,0.419751,22323810,0.99866
cspg,2,15,1000,3,167.995,124531680,10000,1|150,0.442923,23557949,0.9989
cspg,2,15,1000,3,167.995,124531680,10000,1|160,0.462022,24784140,0.99908
cspg,2,15,1000,3,167.995,124531680,10000,1|170,0.487548,26000113,0.9993
cspg,2,15,1000,3,167.995,124531680,10000,1|180,0.514617,27211650,0.99943
cspg,2,15,1000,3,167.995,124531680,10000,1|190,0.5384,28412367,0.9995
cspg,2,15,1000,3,167.995,124531680,10000,1|200,0.562217,29601707,0.99954
cspg,2,15,1000,3,167.995,124531680,10000,1|210,0.580531,30778093,0.9996
cspg,2,15,1000,3,167.995,124531680,10000,1|220,0.600458,31945762,0.9996
cspg,2,15,1000,3,167.995,124531680,10000,1|230,0.626935,33109187,0.99966
cspg,2,15,1000,3,167.995,124531680,10000,1|240,0.650393,34261791,0.99969
cspg,2,15,1000,3,167.995,124531680,10000,1|250,0.676231,35403443,0.99972
cspg,2,15,1000,3,167.995,124531680,10000,1|260,0.691766,36540410,0.99974
cspg,2,15,1000,3,167.995,124531680,10000,1|270,0.719808,37667312,0.99983
cspg,2,15,1000,3,167.995,124531680,10000,1|280,0.733676,38785605,0.99984
cspg,2,15,1000,3,167.995,124531680,10000,1|290,0.756626,39900577,0.99985
cspg,2,15,1000,3,167.995,124531680,10000,1|300,0.776632,41006466,0.99985
