index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,16,64,18.3191,152786200,10000,10,0.0616032,3575565,0.66386
hnsw,1,16,64,18.3191,152786200,10000,20,0.0920327,5095704,0.79373
hnsw,1,16,64,18.3191,152786200,10000,30,0.117756,6493449,0.8553
hnsw,1,16,64,18.3191,152786200,10000,40,0.142837,7847917,0.8909
hnsw,1,16,64,18.3191,152786200,10000,50,0.167275,9168771,0.9133
hnsw,1,16,64,18.3191,152786200,10000,60,0.191662,10465337,0.92902
hnsw,1,16,64,18.3191,152786200,10000,70,0.21597,11740609,0.94012
hnsw,1,16,64,18.3191,152786200,10000,80,0.241463,12994931,0.94817
hnsw,1,16,64,18.3191,152786200,10000,90,0.265795,14222580,0.9543
hnsw,1,16,64,18.3191,152786200,10000,100,0.302367,15437238,0.95914
hnsw,1,16,64,18.3191,152786200,10000,110,0.332052,16630763,0.96337
hnsw,1,16,64,18.3191,152786200,10000,120,0.350581,17811988,0.96646
hnsw,1,16,64,18.3191,152786200,10000,130,0.374715,18974412,0.96924
hnsw,1,16,64,18.3191,152786200,10000,140,0.41147,20126125,0.97155
hnsw,1,16,64,18.3191,152786200,10000,150,0.434692,21260284,0.97339
hnsw,1,16,64,18.3191,152786200,10000,160,0.450779,22387467,0.97519
hnsw,1,16,64,18.3191,152786200,10000,170,0.466657,23497580,0.97654
hnsw,1,16,64,18.3191,152786200,10000,180,0.48143,24596594,0.97773
hnsw,1,16,64,18.3191,152786200,10000,190,0.508776,25687419,0.97892
hnsw,1,16,64,18.3191,152786200,10000,200,0.523554,26772801,0.97994
hnsw,1,16,64,18.3191,152786200,10000,210,0.543601,27840068,0.98077
hnsw,1,16,64,18.3191,152786200,10000,220,0.559594,28899773,0.98161
hnsw,1,16,64,18.3191,152786200,10000,230,0.568852,29952341,0.98215
hnsw,1,16,64,18.3191,152786200,10000,240,0.5916,30993702,0.98284
hnsw,1,16,64,18.3191,152786200,10000,250,0.617647,32025619,0.98323
hnsw,1,16,64,18.3191,152786200,10000,260,0.638797,33049643,0.98378
hnsw,1,16,64,18.3191,152786200,10000,270,0.666518,34069085,0.98418
hnsw,1,16,64,18.3191,152786200,10000,280,0.681817,35079962,0.9846
hnsw,1,16,64,18.3191,152786200,10000,290,0.710389,36083881,0.98497
hnsw,1,16,64,18.3191,152786200,10000,300,0.735779,37080092,0.98528
hnsw,1,16,128,33.2157,152785840,10000,10,0.0605673,3767500,0.7018
hnsw,1,16,128,33.2157,152785840,10000,20,0.0937098,5439626,0.82936
