index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw,1,16,256,60.904,152786920,10000,10,0.0641032,3988378,0.70795
hnsw,1,16,256,60.904,152786920,10000,20,0.0986763,5746218,0.83829
hnsw,1,16,256,60.904,152786920,10000,30,0.132914,7381268,0.89435
hnsw,1,16,256,60.904,152786920,10000,40,0.163341,8972957,0.92551
hnsw,1,16,256,60.904,152786920,10000,50,0.193721,10530193,0.94459
hnsw,1,16,256,60.904,152786920,10000,60,0.221555,12061579,0.95762
hnsw,1,16,256,60.904,152786920,10000,70,0.25036,13569716,0.96728
hnsw,1,16,256,60.904,152786920,10000,80,0.278876,15045565,0.97314
hnsw,1,16,256,60.904,152786920,10000,90,0.307092,16500088,0.97759
hnsw,1,16,256,60.904,152786920,10000,100,0.332119,17931248,0.98127
hnsw,1,16,256,60.904,152786920,10000,110,0.356623,19339154,0.98414
hnsw,1,16,256,60.904,152786920,10000,120,0.381629,20728895,0.98628
hnsw,1,16,256,60.904,152786920,10000,130,0.417024,22099504,0.98785
hnsw,1,16,256,60.904,152786920,10000,140,0.437063,23450276,0.98915
hnsw,1,16,256,60.904,152786920,10000,150,0.458641,24789221,0.99031
hnsw,1,16,256,60.904,152786920,10000,160,0.470462,26111377,0.99119
hnsw,1,16,256,60.904,152786920,10000,170,0.499562,27415419,0.99197
hnsw,1,16,256,60.904,152786920,10000,180,0.52532,28707308,0.99249
hnsw,1,16,256,60.904,152786920,10000,190,0.546478,29988418,0.99302
hnsw,1,16,256,60.904,152786920,10000,200,0.572767,31255154,0.99349
hnsw,1,16,256,60.904,152786920,10000,210,0.595909,32509763,0.9939
hnsw,1,16,256,60.904,152786920,10000,220,0.608718,33753841,0.99418
hnsw,1,16,256,60.904,152786920,10000,230,0.632661,34986497,0.99457
hnsw,1,16,256,60.904,152786920,10000,240,0.661331,36209762,0.99475
hnsw,1,16,256,60.904,152786920,10000,250,0.67402,37421160,0.99494
hnsw,1,16,256,60.904,152786920,10000,260,0.719902,38622087,0.99516
hnsw,1,16,256,60.904,152786920,10000,270,0.734438,39817132,0.99536
hnsw,1,16,256,60.904,152786920,10000,280,0.752466,41002910,0.99554
hnsw,1,16,256,60.904,152786920,10000,290,0.785398,42178213,0.99572
hnsw,1,16,256,60.904,152786920,10000,300,0.814374,43345628,0.99582
