index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,16,64,24.9093,80000000,10000,10,0.0300853,1240023,0.08047
nsg,1,16,64,24.9093,80000000,10000,20,0.0553,2414162,0.45105
nsg,1,16,64,24.9093,80000000,10000,30,0.0801993,3556900,0.6336
nsg,1,16,64,24.9093,80000000,10000,40,0.104294,4679586,0.72158
nsg,1,16,64,24.9093,80000000,10000,50,0.129537,5788819,0.77283
nsg,1,16,64,24.9093,80000000,10000,60,0.156731,6895069,0.8097
nsg,1,16,64,24.9093,80000000,10000,70,0.18856,7994059,0.83516
nsg,1,16,64,24.9093,80000000,10000,80,0.222627,9083379,0.85233
nsg,1,16,64,24.9093,80000000,10000,90,0.246632,10172360,0.86778
nsg,1,16,64,24.9093,80000000,10000,100,0.278849,11256764,0.87973
nsg,1,16,64,24.9093,80000000,10000,110,0.315352,12338059,0.88964
nsg,1,16,64,24.9093,80000000,10000,120,0.356886,13415273,0.89925
nsg,1,16,64,24.9093,80000000,10000,130,0.399105,14486923,0.90628
nsg,1,16,64,24.9093,80000000,10000,140,0.450324,15559033,0.91234
nsg,1,16,64,24.9093,80000000,10000,150,0.495284,16628651,0.91731
nsg,1,16,64,24.9093,80000000,10000,160,0.544271,17698953,0.92168
nsg,1,16,64,24.9093,80000000,10000,170,0.600057,18763483,0.92565
nsg,1,16,64,24.9093,80000000,10000,180,0.653452,19829125,0.92937
nsg,1,16,64,24.9093,80000000,10000,190,0.704163,20887146,0.93315
nsg,1,16,64,24.9093,80000000,10000,200,0.774206,21943535,0.93556
nsg,1,16,64,24.9093,80000000,10000,210,0.834307,23002383,0.93809
nsg,1,16,64,24.9093,80000000,10000,220,0.907288,24062267,0.94066
nsg,1,16,64,24.9093,80000000,10000,230,0.971376,25121490,0.943
nsg,1,16,64,24.9093,80000000,10000,240,1.04206,26172068,0.94496
nsg,1,16,64,24.9093,80000000,10000,250,1.11199,27230053,0.94704
nsg,1,16,64,24.9093,80000000,10000,260,1.18696,28279654,0.94893
nsg,1,16,64,24.9093,80000000,10000,270,1.26745,29331582,0.95047
nsg,1,16,64,24.9093,80000000,10000,280,1.33728,30374082,0.95225
nsg,1,16,64,24.9093,80000000,10000,290,1.43352,31418627,0.95369
nsg,1,16,64,24.9093,80000000,10000,300,1.52361,32456948,0.95488
nsg,1,16,128,48.4622,80000000,10000,10,0.0310199,1360186,0.09434
nsg,1,16,128,48.4622,80000000,10000,20,0.0564546,2624301,0.49066
nsg,1,16,128,48.4622,80000000,10000,30,0.0813012,3854318,0.68103
nsg,1,16,128,48.4622,80000000,10000,40,0.106068,5066730,0.76614
nsg,1,16,128,48.4622,80000000,10000,50,0.134476,6268910,0.81592
nsg,1,16,128,48.4622,80000000,10000,60,0.161996,7462946,0.8477
nsg,1,16,128,48.4622,80000000,10000,70,0.192882,8647398,0.87112
nsg,1,16,128,48.4622,80000000,10000,80,0.228884,9833623,0.88797
nsg,1,16,128,48.4622,80000000,10000,90,0.257944,11008778,0.90108
nsg,1,16,128,48.4622,80000000,10000,100,0.290677,12181511,0.91162
nsg,1,16,128,48.4622,80000000,10000,110,0.326211,13349094,0.92
nsg,1,16,128,48.4622,80000000,10000,120,0.37206,14509243,0.92686
nsg,1,16,128,48.4622,80000000,10000,130,0.413628,15666195,0.9329
nsg,1,16,128,48.4622,80000000,10000,140,0.456456,16821483,0.93794
nsg,1,16,128,48.4622,80000000,10000,150,0.505223,17982257,0.94224
nsg,1,16,128,48.4622,80000000,10000,160,0.559592,19132007,0.94566
nsg,1,16,128,48.4622,80000000,10000,170,0.612634,20285079,0.94905
