index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,64,256,154.428,272000000,10000,10,0.0646893,2946923,0.27824
nsg,1,64,256,154.428,272000000,10000,20,0.105292,5446427,0.75031
nsg,1,64,256,154.428,272000000,10000,30,0.139782,7932559,0.85571
nsg,1,64,256,154.428,272000000,10000,40,0.17669,10406089,0.89953
nsg,1,64,256,154.428,272000000,10000,50,0.21612,12884811,0.92376
nsg,1,64,256,154.428,272000000,10000,60,0.252018,15363515,0.94029
nsg,1,64,256,154.428,272000000,10000,70,0.287664,17839381,0.95023
nsg,1,64,256,154.428,272000000,10000,80,0.329414,20332563,0.95803
nsg,1,64,256,154.428,272000000,10000,90,0.372941,22812114,0.96406
nsg,1,64,256,154.428,272000000,10000,100,0.418528,25290229,0.96815
nsg,1,64,256,154.428,272000000,10000,110,0.451364,27795551,0.97162
nsg,1,64,256,154.428,272000000,10000,120,0.501208,30273866,0.97427
nsg,1,64,256,154.428,272000000,10000,130,0.55135,32754062,0.97657
nsg,1,64,256,154.428,272000000,10000,140,0.605113,35255438,0.97843
nsg,1,64,256,154.428,272000000,10000,150,0.653777,37733668,0.98011
nsg,1,64,256,154.428,272000000,10000,160,0.729013,40239375,0.98173
nsg,1,64,256,154.428,272000000,10000,170,0.770576,42741032,0.98283
nsg,1,64,256,154.428,272000000,10000,180,0.84277,45210301,0.984
nsg,1,64,256,154.428,272000000,10000,190,0.911193,47676414,0.98484
nsg,1,64,256,154.428,272000000,10000,200,0.97454,50139715,0.98581
nsg,1,64,256,154.428,272000000,10000,210,1.05,52616792,0.9865
nsg,1,64,256,154.428,272000000,10000,220,1.11243,55123623,0.98723
nsg,1,64,256,154.428,272000000,10000,230,1.18352,57564785,0.98775
nsg,1,64,256,154.428,272000000,10000,240,1.27141,60070160,0.98833
nsg,1,64,256,154.428,272000000,10000,250,1.3566,62523636,0.9889
nsg,1,64,256,154.428,272000000,10000,260,1.44626,65004666,0.98927
nsg,1,64,256,154.428,272000000,10000,270,1.52491,67511166,0.98963
nsg,1,64,256,154.428,272000000,10000,280,1.62352,69992601,0.9902
nsg,1,64,256,154.428,272000000,10000,290,1.70072,72424781,0.99036
nsg,1,64,256,154.428,272000000,10000,300,1.78812,74900093,0.99069
