index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,64,256,231.337,408000000,10000,1|10,0.086805,5559474,0.8485
cspg,2,64,256,231.337,408000000,10000,1|20,0.126316,7556070,0.94277
cspg,2,64,256,231.337,408000000,10000,1|30,0.164946,9391042,0.97092
cspg,2,64,256,231.337,408000000,10000,1|40,0.203108,11181175,0.98421
cspg,2,64,256,231.337,408000000,10000,1|50,0.238483,12923491,0.99016
cspg,2,64,256,231.337,408000000,10000,1|60,0.267004,14647189,0.99366
cspg,2,64,256,231.337,408000000,10000,1|70,0.310312,16339286,0.99575
cspg,2,64,256,231.337,408000000,10000,1|80,0.342831,18025946,0.99688
cspg,2,64,256,231.337,408000000,10000,1|90,0.377678,19670736,0.99764
cspg,2,64,256,231.337,408000000,10000,1|100,0.409809,21298155,0.99811
cspg,2,64,256,231.337,408000000,10000,1|110,0.440086,22902323,0.99848
cspg,2,64,256,231.337,408000000,10000,1|120,0.47132,24485791,0.99876
cspg,2,64,256,231.337,408000000,10000,1|130,0.50733,26039201,0.9989
cspg,2,64,256,231.337,408000000,10000,1|140,0.54073,27582801,0.99904
cspg,2,64,256,231.337,408000000,10000,1|150,0.573631,29104008,0.99916
cspg,2,64,256,231.337,408000000,10000,1|160,0.58235,30607780,0.99933
cspg,2,64,256,231.337,408000000,10000,1|170,0.626385,32094880,0.99944
cspg,2,64,256,231.337,408000000,10000,1|180,0.663363,33573625,0.99948
cspg,2,64,256,231.337,408000000,10000,1|190,0.690442,35029793,0.99951
cspg,2,64,256,231.337,408000000,10000,1|200,0.714482,36477793,0.99954
