index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,16,1,64,41.6524,80000000,10000,10,0.0301154,1374737,0.09322
vamana,1,16,1,64,41.6524,80000000,10000,20,0.0550319,2614481,0.49287
vamana,1,16,1,64,41.6524,80000000,10000,30,0.0826592,3814953,0.68424
vamana,1,16,1,64,41.6524,80000000,10000,40,0.10844,4997497,0.76825
vamana,1,16,1,64,41.6524,80000000,10000,50,0.134339,6167967,0.8167
vamana,1,16,1,64,41.6524,80000000,10000,60,0.160436,7335934,0.8496
vamana,1,16,1,64,41.6524,80000000,10000,70,0.192125,8494214,0.8714
vamana,1,16,1,64,41.6524,80000000,10000,80,0.227937,9644934,0.88873
vamana,1,16,1,64,41.6524,80000000,10000,90,0.255774,10791573,0.90231
vamana,1,16,1,64,41.6524,80000000,10000,100,0.292427,11934163,0.91267
vamana,1,16,1,64,41.6524,80000000,10000,110,0.32698,13072078,0.9209
vamana,1,16,1,64,41.6524,80000000,10000,120,0.367588,14205598,0.92757
vamana,1,16,1,64,41.6524,80000000,10000,130,0.409573,15340194,0.93363
vamana,1,16,1,64,41.6524,80000000,10000,140,0.456543,16471774,0.93864
vamana,1,16,1,64,41.6524,80000000,10000,150,0.508263,17600301,0.94341
vamana,1,16,1,64,41.6524,80000000,10000,160,0.557928,18722814,0.94727
vamana,1,16,1,64,41.6524,80000000,10000,170,0.611671,19845481,0.95065
vamana,1,16,1,64,41.6524,80000000,10000,180,0.668563,20964110,0.95333
vamana,1,16,1,64,41.6524,80000000,10000,190,0.721223,22079574,0.95602
vamana,1,16,1,64,41.6524,80000000,10000,200,0.78657,23195892,0.95842
vamana,1,16,1,64,41.6524,80000000,10000,210,0.844876,24310074,0.96041
vamana,1,16,1,64,41.6524,80000000,10000,220,0.904767,25420009,0.96244
vamana,1,16,1,64,41.6524,80000000,10000,230,0.967393,26536146,0.96401
vamana,1,16,1,64,41.6524,80000000,10000,240,1.03661,27647660,0.96565
vamana,1,16,1,64,41.6524,80000000,10000,250,1.10758,28750454,0.96724
vamana,1,16,1,64,41.6524,80000000,10000,260,1.21171,29859708,0.96842
