index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,1.2,64,82.0651,216000000,10000,1|10,0.0777791,5021126,0.84794
cspg,2,32,1.2,64,82.0651,216000000,10000,1|20,0.116953,6910399,0.94146
cspg,2,32,1.2,64,82.0651,216000000,10000,1|30,0.15036,8659896,0.97134
cspg,2,32,1.2,64,82.0651,216000000,10000,1|40,0.183735,10339180,0.98476
cspg,2,32,1.2,64,82.0651,216000000,10000,1|50,0.214567,11972897,0.99056
cspg,2,32,1.2,64,82.0651,216000000,10000,1|60,0.24472,13597756,0.99409
cspg,2,32,1.2,64,82.0651,216000000,10000,1|70,0.278085,15192818,0.99605
cspg,2,32,1.2,64,82.0651,216000000,10000,1|80,0.306215,16762177,0.99705
cspg,2,32,1.2,64,82.0651,216000000,10000,1|90,0.340425,18299352,0.9977
cspg,2,32,1.2,64,82.0651,216000000,10000,1|100,0.370393,19821611,0.99824
cspg,2,32,1.2,64,82.0651,216000000,10000,1|110,0.401234,21327655,0.99872
cspg,2,32,1.2,64,82.0651,216000000,10000,1|120,0.426355,22808165,0.99897
cspg,2,32,1.2,64,82.0651,216000000,10000,1|130,0.444443,24272330,0.99918
cspg,2,32,1.2,64,82.0651,216000000,10000,1|140,0.468642,25722990,0.99931
cspg,2,32,1.2,64,82.0651,216000000,10000,1|150,0.516772,27141583,0.99948
cspg,2,32,1.2,64,82.0651,216000000,10000,1|160,0.523116,28554480,0.99957
cspg,2,32,1.2,64,82.0651,216000000,10000,1|170,0.573103,29947748,0.9996
cspg,2,32,1.2,64,82.0651,216000000,10000,1|180,0.588274,31327896,0.99966
cspg,2,32,1.2,64,82.0651,216000000,10000,1|190,0.630138,32699083,0.99971
cspg,2,32,1.2,64,82.0651,216000000,10000,1|200,0.641737,34047863,0.99977
