index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,k,efq,query_time,comparison,recall
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|30,0.00649453,75800,0.9905
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|40,0.00841729,88784,0.994
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|50,0.00869596,101217,0.9965
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|60,0.0110183,112977,0.997
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|70,0.0110429,125049,0.9995
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|80,0.0133151,136492,0.9995
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|90,0.0142667,147935,0.9995
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|100,0.0169414,158730,0.9995
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|110,0.0156841,169610,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|120,0.0178867,180452,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|130,0.0183564,190363,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|140,0.0214492,201142,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|150,0.0242774,211228,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|160,0.0216946,221333,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|170,0.02393,231425,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|180,0.0265497,241308,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|190,0.0271598,251126,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|200,0.0255641,260667,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|210,0.0291201,270410,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|220,0.0297777,279909,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|230,0.0308052,289021,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|240,0.0312568,297965,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|250,0.0327445,307178,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|260,0.0320415,315750,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|270,0.0336151,324909,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|280,0.0359151,333738,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|290,0.0356872,342335,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,10,1|300,0.0363146,350764,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|30,0.00623504,75800,0.99275
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|40,0.00760456,88784,0.99675
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|50,0.00889256,101217,0.9985
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|60,0.0102347,112977,0.9995
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|70,0.0116708,125049,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|80,0.0129184,136492,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|90,0.0135976,147935,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|100,0.0135521,158730,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|110,0.015129,169610,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|120,0.0161823,180452,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|130,0.0198326,190363,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|140,0.019754,201142,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|150,0.0211819,211228,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|160,0.0229424,221333,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|170,0.026243,231425,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|180,0.0256608,241308,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|190,0.0261505,251126,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|200,0.0272778,260667,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|210,0.028077,270410,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|220,0.0297252,279909,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|230,0.0320114,289021,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|240,0.0316848,297965,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|250,0.0329437,307178,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|260,0.0332981,315750,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|270,0.0360262,324909,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|280,0.0329612,333738,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|290,0.0353283,342335,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,20,1|300,0.0400274,350764,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|30,0.00686942,75800,0.995
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|40,0.00785906,88784,0.9985
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|50,0.00936308,101217,0.999
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|60,0.0113433,112977,0.999833
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|70,0.0119043,125049,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|80,0.0122561,136492,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|90,0.0143265,147935,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|100,0.0144258,158730,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|110,0.0161318,169610,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|120,0.0181378,180452,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|130,0.0197753,190363,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|140,0.0213691,201142,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|150,0.0230498,211228,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|160,0.0240026,221333,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|170,0.0257142,231425,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|180,0.0235859,241308,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|190,0.027,251126,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|200,0.028545,260667,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|210,0.0311563,270410,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|220,0.0295747,279909,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|230,0.0310811,289021,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|240,0.0306443,297965,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|250,0.0325162,307178,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|260,0.0360109,315750,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|270,0.0346519,324909,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|280,0.036496,333738,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|290,0.0363855,342335,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,30,1|300,0.0390504,350764,1
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,40,1|40,0.00723721,88784,0.997625
CSPG-HCNNG,2,10,1000,5,9.42751,3669808,200,40,1|50,0.00907859,101217,0.99875
