index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,k,efq,query_time,comparison,recall
cspg,2,32,128,3.82427,11704320,200,10,1|50,0.0105094,112727,0.995
cspg,2,32,128,3.82427,11704320,200,10,1|60,0.0113881,126441,0.9965
cspg,2,32,128,3.82427,11704320,200,10,1|70,0.0129797,139795,0.997
cspg,2,32,128,3.82427,11704320,200,10,1|80,0.0145371,152872,0.997
cspg,2,32,128,3.82427,11704320,200,10,1|90,0.0160289,165566,0.997
cspg,2,32,128,3.82427,11704320,200,10,1|100,0.0179749,178255,0.997
cspg,2,32,128,3.82427,11704320,200,10,1|110,0.020816,190548,0.998
cspg,2,32,128,3.82427,11704320,200,10,1|120,0.0206734,202354,0.9985
cspg,2,32,128,3.82427,11704320,200,10,1|130,0.0213872,213865,0.9985
cspg,2,32,128,3.82427,11704320,200,10,1|140,0.0232953,225504,0.9985
cspg,2,32,128,3.82427,11704320,200,10,1|150,0.0228428,236665,0.9985
cspg,2,32,128,3.82427,11704320,200,10,1|160,0.0262043,247875,0.999
cspg,2,32,128,3.82427,11704320,200,10,1|170,0.0296453,258531,0.999
cspg,2,32,128,3.82427,11704320,200,10,1|180,0.0268771,268959,0.999
cspg,2,32,128,3.82427,11704320,200,10,1|190,0.0297866,279867,0.999
cspg,2,32,128,3.82427,11704320,200,10,1|200,0.0303731,290452,0.999
cspg,2,32,128,3.82427,11704320,200,20,1|40,0.00834983,97706,0.99175
cspg,2,32,128,3.82427,11704320,200,20,1|50,0.0101551,112727,0.99725
cspg,2,32,128,3.82427,11704320,200,20,1|60,0.012465,126441,0.999
cspg,2,32,128,3.82427,11704320,200,20,1|70,0.0134101,139795,0.999
cspg,2,32,128,3.82427,11704320,200,20,1|80,0.0147374,152872,0.999
cspg,2,32,128,3.82427,11704320,200,20,1|90,0.0145853,165566,0.999
cspg,2,32,128,3.82427,11704320,200,20,1|100,0.0175859,178255,0.999
cspg,2,32,128,3.82427,11704320,200,20,1|110,0.0204098,190548,0.99975
