index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,k,efq,query_time,comparison,recall
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|30,0.00817349,104566,0.9985
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|40,0.0108001,123185,0.9995
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|50,0.0123144,141296,0.9995
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|60,0.0134574,157820,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|70,0.0171789,174801,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|80,0.0172105,191084,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|90,0.0232879,206367,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|100,0.0233906,222036,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|110,0.0234738,236470,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|120,0.0259317,250789,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|130,0.0265091,264402,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|140,0.0274402,278616,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|150,0.0286559,292227,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|160,0.029868,305473,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|170,0.0325086,318724,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|180,0.0324716,331358,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|190,0.0351551,344134,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,10,1|200,0.0382078,356713,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,20,1|20,0.00691759,84245,0.9925
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,20,1|30,0.00865652,104566,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,20,1|40,0.0105461,123185,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,20,1|50,0.0129614,141296,1
CSPG-Vamana,2,32,1.2,128,6.78166,11704320,200,20,1|60,0.0139185,157820,1
