index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 10, 0.175206, 7399654, 0.61523
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 20, 0.259443, 10681001, 0.75351
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 30, 0.339551, 13752305, 0.82241
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 40, 0.41676, 16726999, 0.86362
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 50, 0.485058, 19673973, 0.89127
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 60, 0.564756, 22601044, 0.91197
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 70, 0.642579, 25460176, 0.92606
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 80, 0.723129, 28302635, 0.93688
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 90, 0.794404, 31110633, 0.94534
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 100, 0.883646, 33899502, 0.95247
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 110, 0.943547, 36643657, 0.9579
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 120, 1.01061, 39374395, 0.96252
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 130, 1.08795, 42077036, 0.96637
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 140, 1.18265, 44764522, 0.96991
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 150, 1.24761, 47412902, 0.97275
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 160, 1.3181, 50051603, 0.97502
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 170, 1.35165, 52676381, 0.97729
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 180, 1.4607, 55268782, 0.97902
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 190, 1.54722, 57853796, 0.98054
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 200, 1.58884, 60421734, 0.98184
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 210, 1.66092, 62967396, 0.98291
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 220, 1.75643, 65498599, 0.98417
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 230, 1.81755, 68009703, 0.98522
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 240, 1.8896, 70513956, 0.9861
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 250, 1.95962, 73007298, 0.98698
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 260, 2.00232, 75486077, 0.98762
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 270, 2.10583, 77946372, 0.98821
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 280, 2.17226, 80405827, 0.98874
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 290, 2.23275, 82846892, 0.98934
hnsw, 1, 32, 128, 9620, 28038849832, 10000, 300, 2.31006, 85272029, 0.98991
