index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,128,13751.9,42058641336,10000, 1|10,0.18413,7769353,0.72282
cspg,2,32,128,13751.9,42058641336,10000, 1|20,0.27757,11289164,0.85745
cspg,2,32,128,13751.9,42058641336,10000, 1|30,0.356162,14458680,0.91228
cspg,2,32,128,13751.9,42058641336,10000, 1|40,0.435005,17507727,0.94198
cspg,2,32,128,13751.9,42058641336,10000, 1|50,0.491252,20478922,0.95859
cspg,2,32,128,13751.9,42058641336,10000, 1|60,0.599624,23423620,0.96952
cspg,2,32,128,13751.9,42058641336,10000, 1|70,0.63919,26323479,0.97638
cspg,2,32,128,13751.9,42058641336,10000, 1|80,0.709885,29184229,0.98103
cspg,2,32,128,13751.9,42058641336,10000, 1|90,0.857786,32040467,0.98436
cspg,2,32,128,13751.9,42058641336,10000, 1|100,0.897611,34895639,0.98729
cspg,2,32,128,13751.9,42058641336,10000, 1|110,0.953471,37709387,0.98908
cspg,2,32,128,13751.9,42058641336,10000, 1|120,1.03981,40493221,0.99037
cspg,2,32,128,13751.9,42058641336,10000, 1|130,1.158473,43275921,0.99157
cspg,2,32,128,13751.9,42058641336,10000, 1|140,1.224548,46044375,0.9924
cspg,2,32,128,13751.9,42058641336,10000, 1|150,1.260764,48770904,0.99311
cspg,2,32,128,13751.9,42058641336,10000, 1|160,1.4187,51474453,0.99367
cspg,2,32,128,13751.9,42058641336,10000, 1|170,1.420756,54179471,0.99416
cspg,2,32,128,13751.9,42058641336,10000, 1|180,1.43824,56860916,0.99453
cspg,2,32,128,13751.9,42058641336,10000, 1|190,1.56497,59546705,0.99488
cspg,2,32,128,13751.9,42058641336,10000, 1|200,1.569982,62199049,0.99518
cspg,2,32,128,13751.9,42058641336,10000, 1|210,1.717497,64851868,0.99547
cspg,2,32,128,13751.9,42058641336,10000, 1|220,1.74429,67472974,0.9957
cspg,2,32,128,13751.9,42058641336,10000, 1|230,1.782579,70076681,0.99585
cspg,2,32,128,13751.9,42058641336,10000, 1|240,1.853437,72686347,0.99607
cspg,2,32,128,13751.9,42058641336,10000, 1|250,2.052697,75260767,0.99615
cspg,2,32,128,13751.9,42058641336,10000, 1|260,2.06746,77839152,0.99629
cspg,2,32,128,13751.9,42058641336,10000, 1|270,2.214707,80400704,0.99631
cspg,2,32,128,13751.9,42058641336,10000, 1|280,2.18486,82944624,0.99645
cspg,2,32,128,13751.9,42058641336,10000, 1|290,2.243055,85491161,0.99652
cspg,2,32,128,13751.9,42058641336,10000, 1|300,2.285378,88026683,0.99658
