index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 10, 0.169646, 5255362, 0.0342067
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 20, 0.273459, 10530596, 0.231667
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 30, 0.362623, 15666765, 0.396923
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 40, 0.445973, 20692449, 0.50006
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 50, 0.530145, 25679439, 0.566963
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 60, 0.623891, 30610625, 0.61068
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 70, 0.710141, 35519273, 0.646567
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 80, 0.835086, 40395262, 0.675563
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 90, 0.936977, 45275808, 0.695043
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 100, 1.05335, 50073624, 0.712247
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 110, 1.16198, 54844369, 0.72867
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 120, 1.29928, 59673261, 0.740203
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 130, 1.39076, 64445728, 0.75362
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 140, 1.54299, 69254161, 0.76213
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 150, 1.70155, 73956469, 0.769583
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 160, 1.88172, 78782311, 0.778013
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 170, 2.00514, 83431192, 0.786043
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 180, 2.18731, 88196339, 0.792517
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 190, 2.30582, 92940625, 0.796437
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 200, 2.57093, 97614589, 0.802483
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 210, 2.65603, 102297400, 0.809503
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 220, 2.84623, 107018969, 0.812573
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 230, 3.19472, 111674901, 0.81799
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 240, 3.25838, 116334334, 0.8193
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 250, 3.46405, 121006207, 0.82498
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 260, 3.70751, 125699522, 0.825747
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 270, 3.95146, 130336186, 0.830437
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 280, 4.15487, 135007970, 0.834567
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 290, 4.42785, 139668703, 0.835407
hcnng, 1, 10, 1000, 5, 123.007, 75136600, 30000, 300, 4.70813, 144329459, 0.83827
