index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|10, 0.239727, 13162142, 0.40875
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|20, 0.392583, 19155471, 0.59798
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|30, 0.503671, 23890950, 0.689963
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|40, 0.596369, 28120126, 0.74661
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|50, 0.69459, 32083417, 0.784983
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|60, 0.790099, 35884251, 0.81341
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|70, 0.888406, 39518576, 0.834333
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|80, 0.978835, 43076836, 0.85205
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|90, 1.06372, 46521157, 0.8654
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|100, 1.14465, 49933300, 0.87733
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|110, 1.22768, 53263045, 0.886893
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|120, 1.29645, 56516744, 0.894873
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|130, 1.3859, 59742364, 0.902213
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|140, 1.47287, 62890205, 0.90836
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|150, 1.55039, 66038401, 0.914027
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|160, 1.73398, 69123405, 0.91896
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|170, 1.75051, 72208897, 0.923373
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|180, 1.78056, 75229827, 0.927107
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|190, 1.85508, 78198909, 0.930183
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|200, 1.93107, 81216274, 0.934337
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|210, 1.99211, 84174213, 0.937377
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|220, 2.05261, 87064776, 0.939643
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|230, 2.14724, 89936622, 0.941937
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|240, 2.23265, 92808886, 0.944353
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|250, 2.31917, 95672173, 0.946563
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|260, 2.5498, 98551147, 0.949137
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|270, 2.44759, 101368076, 0.951077
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|280, 2.53077, 104145507, 0.952647
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|290, 2.60116, 106893459, 0.954073
cspg, 2, 10, 1000, 5, 190.877, 111595712, 30000, 1|300, 2.6677, 109660766, 0.955673
