index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 10, 0.29402, 15024080, 0.513403
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 20, 0.444364, 21137984, 0.64458
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 30, 0.578935, 26624256, 0.710693
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 40, 0.71211, 31775458, 0.75224
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 50, 0.838084, 36759177, 0.783393
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 60, 0.95307, 41559900, 0.806017
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 70, 1.06629, 46191484, 0.822777
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 80, 1.23317, 50741788, 0.836407
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 90, 1.39621, 55186907, 0.84776
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 100, 1.46009, 59546146, 0.857397
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 110, 1.57393, 63830636, 0.865903
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 120, 1.66515, 68025694, 0.872767
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 130, 1.7953, 72147815, 0.87881
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 140, 1.8819, 76209866, 0.884183
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 150, 1.99012, 80230288, 0.88899
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 160, 2.10528, 84196156, 0.89338
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 170, 2.21349, 88136754, 0.897197
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 180, 2.2864, 91998689, 0.90061
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 190, 2.42823, 95869258, 0.904207
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 200, 2.53696, 99707567, 0.9077
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 210, 2.59791, 103476596, 0.91045
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 220, 2.69328, 107193219, 0.91305
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 230, 2.81316, 110891331, 0.915413
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 240, 2.90374, 114581309, 0.917897
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 250, 2.9855, 118249118, 0.920293
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 260, 3.10381, 121872612, 0.922397
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 270, 3.19705, 125437572, 0.924163
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 280, 3.24772, 129020398, 0.926127
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 290, 3.3654, 132565457, 0.927853
hnsw, 1, 32, 128, 46.0931, 280377296, 30000, 300, 3.47245, 136133595, 0.929737
