index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|10, 0.264443, 15508589, 0.569073
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|20, 0.412185, 22145430, 0.697793
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|30, 0.538979, 27915937, 0.76006
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|40, 0.639186, 33362566, 0.79839
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|50, 0.751426, 38541705, 0.823153
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|60, 0.885364, 43579315, 0.842533
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|70, 0.956421, 48448861, 0.857133
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|80, 1.08587, 53223199, 0.868783
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|90, 1.18844, 57934476, 0.878383
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|100, 1.296, 62521699, 0.88605
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|110, 1.37626, 67046528, 0.892873
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|120, 1.48128, 71477431, 0.89845
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|130, 1.592, 75859719, 0.90397
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|140, 1.65143, 80128239, 0.907777
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|150, 1.73948, 84374164, 0.911477
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|160, 1.85863, 88606734, 0.91533
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|170, 1.93519, 92751569, 0.91849
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|180, 2.03333, 96872951, 0.921753
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|190, 2.13469, 100939916, 0.924593
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|200, 2.17856, 104979257, 0.9271
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|210, 2.27945, 108982411, 0.929753
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|220, 2.36798, 112905817, 0.931397
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|230, 2.49659, 116855356, 0.93364
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|240, 2.58076, 120793810, 0.93557
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|250, 2.68408, 124649968, 0.937273
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|260, 2.74502, 128506512, 0.939053
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|270, 2.81728, 132325750, 0.940473
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|280, 2.92949, 136126008, 0.941977
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|290, 3.04427, 139933357, 0.943583
cspg, 2, 32, 128, 66.2706, 420609736, 30000, 1|300, 3.07769, 143703297, 0.945187
