index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 10, 0.178338, 8310229, 0.11097
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 20, 0.339488, 15612127, 0.462093
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 30, 0.460786, 22672173, 0.625293
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 40, 0.572093, 29656564, 0.700857
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 50, 0.678627, 36577307, 0.745157
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 60, 0.819602, 43405377, 0.774157
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 70, 0.886175, 50239264, 0.79585
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 80, 0.993215, 57026313, 0.811437
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 90, 1.11453, 63786649, 0.825773
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 100, 1.24046, 70553272, 0.836357
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 110, 1.39655, 77250926, 0.84509
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 120, 1.52899, 83982816, 0.852477
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 130, 1.66017, 90673576, 0.858907
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 140, 1.82189, 97343215, 0.864857
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 150, 2.02405, 104012922, 0.870543
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 160, 2.1504, 110613815, 0.874747
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 170, 2.3353, 117321731, 0.879917
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 180, 2.49297, 123948476, 0.883263
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 190, 2.70507, 130564480, 0.88636
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 200, 2.91859, 137178111, 0.888703
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 210, 3.1097, 143766485, 0.89169
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 220, 3.33688, 150364480, 0.893437
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 230, 3.55178, 156990813, 0.897643
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 240, 3.79093, 163542921, 0.899557
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 250, 4.03701, 170079136, 0.900957
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 260, 4.26439, 176649716, 0.903243
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 270, 4.52262, 183248121, 0.905687
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 280, 4.81694, 189785041, 0.907083
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 290, 5.14197, 196310888, 0.90885
vamana, 1, 32, 1.2, 128, 108.787, 144000000, 30000, 300, 5.36953, 202899163, 0.91057
