index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|10, 0.296757, 15334028, 0.635223
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|20, 0.463501, 21955883, 0.786293
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|30, 0.610199, 27562617, 0.85264
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|40, 0.740479, 32697036, 0.888177
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|50, 0.862977, 37576658, 0.91012
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|60, 0.975947, 42328162, 0.925287
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|70, 1.08486, 46956929, 0.93654
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|80, 1.16352, 51459807, 0.944683
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|90, 1.25503, 55850114, 0.950743
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|100, 1.3859, 60226809, 0.956297
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|110, 1.4821, 64535854, 0.961333
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|120, 1.59475, 68779540, 0.96494
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|130, 1.67434, 72985903, 0.96828
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|140, 1.75828, 77098137, 0.970727
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|150, 1.88733, 81213131, 0.973343
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|160, 2.05867, 85279923, 0.97555
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|170, 2.11308, 89304858, 0.977447
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|180, 2.21702, 93260235, 0.978603
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|190, 2.32348, 97225486, 0.98006
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|200, 2.4114, 101157798, 0.981257
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|210, 2.50644, 105070338, 0.9823
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|220, 2.62726, 108940520, 0.983437
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|230, 2.6609, 112801788, 0.98438
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|240, 2.82089, 116638697, 0.98517
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|250, 2.80532, 120431457, 0.98584
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|260, 3.03116, 124216428, 0.986573
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|270, 3.11717, 127942614, 0.987
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|280, 3.11225, 131692796, 0.98773
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|290, 3.34584, 135427469, 0.988367
cspg, 2, 32, 1.2, 128, 159.295, 216000000, 30000, 1|300, 3.28258, 139128905, 0.988993
