index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 10, 0.0578647, 2306740, 0.0445
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 20, 0.0734789, 4618502, 0.21568
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 30, 0.10442, 6839128, 0.33521
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 40, 0.133886, 9032508, 0.40977
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 50, 0.164538, 11178130, 0.45612
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 60, 0.194969, 13335685, 0.49584
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 70, 0.229959, 15459892, 0.52937
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 80, 0.274077, 17581662, 0.55552
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 90, 0.311803, 19685026, 0.57802
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 100, 0.35203, 21809556, 0.59636
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 110, 0.392218, 23931954, 0.61079
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 120, 0.42148, 26008531, 0.6267
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 130, 0.462773, 28116879, 0.63926
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 140, 0.517234, 30223789, 0.65072
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 150, 0.562658, 32337059, 0.66103
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 160, 0.614454, 34429849, 0.67091
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 170, 0.673739, 36535448, 0.67821
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 180, 0.750598, 38641232, 0.6856
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 190, 0.80858, 40746638, 0.69444
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 200, 0.855342, 42841429, 0.70075
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 210, 0.916704, 44937071, 0.70711
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 220, 0.981634, 47070916, 0.71283
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 230, 1.05861, 49137259, 0.71868
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 240, 1.11865, 51256070, 0.72239
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 250, 1.20021, 53383399, 0.72937
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 260, 1.29651, 55432979, 0.73297
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 270, 1.36747, 57528486, 0.73885
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 280, 1.46667, 59666137, 0.74377
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 290, 1.54414, 61735275, 0.74815
hcnng, 1, 10, 1000, 5, 98.1874, 83879232, 10000, 300, 1.62842, 63864891, 0.75217
