index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|10, 0.0726323, 5274047, 0.38979
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|20, 0.112416, 7907343, 0.54339
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|30, 0.148679, 10147035, 0.63264
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|40, 0.181089, 12204007, 0.68842
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|50, 0.212785, 14165475, 0.72819
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|60, 0.248354, 16104285, 0.76074
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|70, 0.280493, 18004532, 0.78594
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|80, 0.298153, 19843558, 0.80686
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|90, 0.329713, 21668354, 0.82405
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|100, 0.356076, 23491312, 0.83968
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|110, 0.388988, 25300056, 0.85263
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|120, 0.414603, 27122251, 0.86415
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|130, 0.450322, 28921076, 0.87465
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|140, 0.470553, 30698250, 0.8829
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|150, 0.493403, 32492375, 0.89142
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|160, 0.521085, 34271942, 0.89816
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|170, 0.545443, 36048707, 0.90394
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|180, 0.588392, 37828318, 0.90933
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|190, 0.614183, 39637468, 0.91517
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|200, 0.641738, 41406502, 0.91973
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|210, 0.676085, 43172924, 0.92344
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|220, 0.695481, 44970721, 0.92785
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|230, 0.723335, 46750785, 0.93171
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|240, 0.75694, 48540374, 0.93513
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|250, 0.78439, 50318277, 0.93792
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|260, 0.823566, 52107498, 0.94101
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|270, 0.831761, 53904652, 0.94407
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|280, 0.868382, 55672788, 0.94669
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|290, 0.90152, 57457707, 0.94888
cspg, 2, 10, 1000, 5, 160.34, 125143880, 10000, 1|300, 0.921705, 59214791, 0.95103
