index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 10, 0.0486538, 2715029, 0.10635
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 20, 0.0913621, 5152375, 0.3745
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 30, 0.130712, 7539810, 0.50658
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 40, 0.170462, 9895014, 0.58196
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 50, 0.203718, 12235265, 0.62887
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 60, 0.242763, 14582079, 0.66638
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 70, 0.281356, 16896562, 0.69108
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 80, 0.318856, 19222601, 0.71238
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 90, 0.368367, 21548495, 0.73021
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 100, 0.401056, 23845575, 0.7426
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 110, 0.440412, 26133621, 0.75398
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 120, 0.497437, 28452715, 0.76633
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 130, 0.554721, 30766490, 0.77647
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 140, 0.62114, 33063837, 0.78392
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 150, 0.657619, 35352153, 0.79046
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 160, 0.726982, 37656783, 0.79807
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 170, 0.780559, 39959862, 0.80556
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 180, 0.845054, 42224598, 0.80953
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 190, 0.924835, 44514363, 0.81502
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 200, 1.06949, 46804388, 0.82082
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 210, 1.08047, 49075389, 0.82394
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 220, 1.16031, 51366466, 0.82884
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 230, 1.219, 53620042, 0.83236
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 240, 1.30022, 55885877, 0.83572
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 250, 1.37835, 58182709, 0.83981
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 260, 1.48793, 60396482, 0.84223
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 270, 1.5632, 62686821, 0.84515
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 280, 1.65713, 64945125, 0.84867
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 290, 1.74391, 67199147, 0.85166
nsg, 1, 32, 128, 70.8679, 144000000, 10000, 300, 1.86614, 69475435, 0.85409
