index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|10, 0.0810868, 5451659, 0.49891
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|20, 0.129355, 8275768, 0.66388
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|30, 0.17227, 10669349, 0.7448
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|40, 0.208303, 12899077, 0.79472
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|50, 0.246209, 15080506, 0.83122
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|60, 0.281688, 17179668, 0.85851
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|70, 0.311529, 19219765, 0.87711
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|80, 0.347949, 21251799, 0.89308
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|90, 0.381715, 23221058, 0.90413
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|100, 0.415948, 25235888, 0.91438
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|110, 0.449873, 27183968, 0.92271
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|120, 0.482518, 29166784, 0.93014
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|130, 0.516876, 31126936, 0.93609
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|140, 0.544678, 33077637, 0.94095
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|150, 0.579047, 35038342, 0.94554
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|160, 0.61848, 36978576, 0.94939
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|170, 0.660495, 38952860, 0.953
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|180, 0.684183, 40895883, 0.95647
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|190, 0.711304, 42832359, 0.95877
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|200, 0.744394, 44766859, 0.96128
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|210, 0.775389, 46711801, 0.96374
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|220, 0.807757, 48650086, 0.96547
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|230, 0.828591, 50593178, 0.96705
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|240, 0.85113, 52542184, 0.96882
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|250, 0.975198, 54475167, 0.97056
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|260, 0.910479, 56405108, 0.97181
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|270, 0.951475, 58361349, 0.97316
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|280, 0.997899, 60297991, 0.97464
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|290, 0.997986, 62218408, 0.97568
cspg, 2, 32, 128, 105.877, 216000000, 10000, 1|300, 1.07574, 64143556, 0.97657
