index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
vamana,1,32,1.2,128,132.331,144000000,10000,10,0.0522448,3068391,0.11216
vamana,1,32,1.2,128,132.331,144000000,10000,20,0.0936128,5998698,0.40691
vamana,1,32,1.2,128,132.331,144000000,10000,30,0.130109,8877739,0.54436
vamana,1,32,1.2,128,132.331,144000000,10000,40,0.161982,11726795,0.61507
vamana,1,32,1.2,128,132.331,144000000,10000,50,0.196864,14544716,0.66389
vamana,1,32,1.2,128,132.331,144000000,10000,60,0.232505,17368666,0.69744
vamana,1,32,1.2,128,132.331,144000000,10000,70,0.264232,20156060,0.71929
vamana,1,32,1.2,128,132.331,144000000,10000,80,0.296755,22949787,0.73832
vamana,1,32,1.2,128,132.331,144000000,10000,90,0.339883,25732633,0.75386
vamana,1,32,1.2,128,132.331,144000000,10000,100,0.389963,28510662,0.76776
vamana,1,32,1.2,128,132.331,144000000,10000,110,0.432568,31268983,0.77956
vamana,1,32,1.2,128,132.331,144000000,10000,120,0.472069,34032678,0.78599
vamana,1,32,1.2,128,132.331,144000000,10000,130,0.517394,36795826,0.79885
vamana,1,32,1.2,128,132.331,144000000,10000,140,0.567704,39530946,0.80557
vamana,1,32,1.2,128,132.331,144000000,10000,150,0.625833,42284246,0.81224
vamana,1,32,1.2,128,132.331,144000000,10000,160,0.698662,45020583,0.82075
vamana,1,32,1.2,128,132.331,144000000,10000,170,0.7365,47756679,0.82488
vamana,1,32,1.2,128,132.331,144000000,10000,180,0.804691,50492926,0.831
vamana,1,32,1.2,128,132.331,144000000,10000,190,0.859596,53218525,0.83594
vamana,1,32,1.2,128,132.331,144000000,10000,200,0.939282,55954174,0.8412
vamana,1,32,1.2,128,132.331,144000000,10000,210,1.09587,58679431,0.84538
vamana,1,32,1.2,128,132.331,144000000,10000,220,1.0935,61389750,0.84912
vamana,1,32,1.2,128,132.331,144000000,10000,230,1.14739,64116925,0.8525
vamana,1,32,1.2,128,132.331,144000000,10000,240,1.247,66832768,0.85542
vamana,1,32,1.2,128,132.331,144000000,10000,250,1.34994,69531426,0.85859
vamana,1,32,1.2,128,132.331,144000000,10000,260,1.42542,72244593,0.86001
vamana,1,32,1.2,128,132.331,144000000,10000,270,1.49483,74976240,0.8645
vamana,1,32,1.2,128,132.331,144000000,10000,280,1.58729,77647132,0.86667
vamana,1,32,1.2,128,132.331,144000000,10000,290,1.69528,80404743,0.86857
vamana,1,32,1.2,128,132.331,144000000,10000,300,1.78296,83070756,0.87042
