index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,32,1.2,128,200.599,216000000,10000,1|10,0.0911527,6161410,0.5165
cspg,2,32,1.2,128,200.599,216000000,10000,1|20,0.152015,9273960,0.67841
cspg,2,32,1.2,128,200.599,216000000,10000,1|30,0.193281,11980282,0.76179
cspg,2,32,1.2,128,200.599,216000000,10000,1|40,0.236658,14492279,0.81543
cspg,2,32,1.2,128,200.599,216000000,10000,1|50,0.265037,16829934,0.8487
cspg,2,32,1.2,128,200.599,216000000,10000,1|60,0.294805,19093021,0.87191
cspg,2,32,1.2,128,200.599,216000000,10000,1|70,0.330794,21336120,0.89104
cspg,2,32,1.2,128,200.599,216000000,10000,1|80,0.372402,23566060,0.90641
cspg,2,32,1.2,128,200.599,216000000,10000,1|90,0.407466,25757469,0.91875
cspg,2,32,1.2,128,200.599,216000000,10000,1|100,0.444489,27908107,0.92776
cspg,2,32,1.2,128,200.599,216000000,10000,1|110,0.486104,30054930,0.936
cspg,2,32,1.2,128,200.599,216000000,10000,1|120,0.499478,32201220,0.94278
cspg,2,32,1.2,128,200.599,216000000,10000,1|130,0.566735,34343053,0.94902
cspg,2,32,1.2,128,200.599,216000000,10000,1|140,0.602822,36490480,0.95407
cspg,2,32,1.2,128,200.599,216000000,10000,1|150,0.651601,38629377,0.95857
cspg,2,32,1.2,128,200.599,216000000,10000,1|160,0.66459,40735099,0.9618
cspg,2,32,1.2,128,200.599,216000000,10000,1|170,0.65523,42848288,0.96474
cspg,2,32,1.2,128,200.599,216000000,10000,1|180,0.710257,45004307,0.9681
cspg,2,32,1.2,128,200.599,216000000,10000,1|190,0.742051,47130414,0.9707
cspg,2,32,1.2,128,200.599,216000000,10000,1|200,0.850128,49227380,0.97261
cspg,2,32,1.2,128,200.599,216000000,10000,1|210,1.65594,51366908,0.9749
cspg,2,32,1.2,128,200.599,216000000,10000,1|220,0.832586,53483686,0.97693
cspg,2,32,1.2,128,200.599,216000000,10000,1|230,0.857568,55588126,0.97851
cspg,2,32,1.2,128,200.599,216000000,10000,1|240,1.57791,57709026,0.97988
cspg,2,32,1.2,128,200.599,216000000,10000,1|250,0.985386,59830106,0.98131
cspg,2,32,1.2,128,200.599,216000000,10000,1|260,0.966353,61951048,0.98248
cspg,2,32,1.2,128,200.599,216000000,10000,1|270,1.06153,64056563,0.98341
cspg,2,32,1.2,128,200.599,216000000,10000,1|280,1.70309,66158702,0.98442
cspg,2,32,1.2,128,200.599,216000000,10000,1|290,1.0828,68267922,0.98525
cspg,2,32,1.2,128,200.599,216000000,10000,1|300,1.0965,70384778,0.98598
