index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 30, 0.0768006, 5771488, 0.70517
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 40, 0.102772, 7685474, 0.77976
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 50, 0.125266, 9576035, 0.82138
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 60, 0.152032, 11452621, 0.84958
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 70, 0.17673, 13308374, 0.86971
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 80, 0.19811, 15168255, 0.88446
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 90, 0.229499, 17013967, 0.89634
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 100, 0.256612, 18859017, 0.90546
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 110, 0.29294, 20688707, 0.91472
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 120, 0.320087, 22519995, 0.92139
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 130, 0.358778, 24350382, 0.9271
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 140, 0.404336, 26172528, 0.93198
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 150, 0.450207, 28010409, 0.93624
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 160, 0.46751, 29829744, 0.93937
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 170, 0.503391, 31658163, 0.94332
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 180, 0.550879, 33456329, 0.94587
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 190, 0.601739, 35271667, 0.94838
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 200, 0.672792, 37070746, 0.95112
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 210, 0.7144, 38882814, 0.95351
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 220, 0.756495, 40688949, 0.95475
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 230, 0.813639, 42477164, 0.9566
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 240, 0.897715, 44271856, 0.9586
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 250, 0.957557, 46071519, 0.96011
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 260, 1.02739, 47867788, 0.96168
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 270, 1.09394, 49655680, 0.96322
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 280, 1.16401, 51443028, 0.96446
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 290, 1.24156, 53213749, 0.96542
hcnng, 1, 10, 1000, 5, 99.8838, 449088928, 10000, 300, 1.38333, 55004850, 0.967
